task_id,capability_number,statement_zh,statement_en,source_id,source_locator_zh,source_locator_en
hsk26-task1-03,3,能简单介绍物品信息，如说出物品名称，并对物品特征进行简单描述。,"Can briefly introduce object information, such as 说出物品名称，并对物品特征进行简单描述.",hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:74,reference/HSK_SYLLABUS_EN.md:74
hsk26-task1-03,4,能在常见的生活场景中看懂某些简单的物品名称，以及关于物品大小、数量、领属等特征的简单描述。,"Can understand, in common life settings, some simple object names and simple descriptions of features such as object size, quantity, and possession.",hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:75,reference/HSK_SYLLABUS_EN.md:75
hsk26-task1-04,1,能听懂日常交流中关于天气好坏、冷热等的简单问题，或关于某地上述天气信息的简单介绍。,"Can understand simple questions in daily communication about weather being good or bad, hot or cold, and similar matters, or simple introductions of the above weather information for a place.",hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:79,reference/HSK_SYLLABUS_EN.md:79
hsk26-task1-04,2,能询问关于某地天气的好坏、冷热等简单信息；能回答关于上述天气简单信息的询问。,"Can ask for simple information about weather in a place, such as whether it is good or bad, hot or cold; can answer questions about the above simple weather information.",hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:80,reference/HSK_SYLLABUS_EN.md:80
hsk26-task1-04,3,能简单介绍某地的天气情况，如冷热、好坏、雨雪等，能简单表达对天气的喜好。,"Can briefly introduce the weather conditions of a place, such as 冷热、好坏、雨雪等, and can simply express preferences about the weather.",hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:81,reference/HSK_SYLLABUS_EN.md:81
hsk26-task1-04,4,能看懂关于某地天气情况的简单介绍，如冷热、雨雪等。,"Can understand simple introductions to the weather conditions of a place, such as 冷热、雨雪等.",hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:82,reference/HSK_SYLLABUS_EN.md:82
hsk26-task1-05,1,能听懂日常交流中关于某个地方怎么样的简单问题，或关于某个常见环境或场所的简单介绍，如学校、电影院、超市等。,"Can understand simple questions in daily communication about what a place is like, or simple introductions to common environments or venues such as 学校、电影院、超市等.",hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:86,reference/HSK_SYLLABUS_EN.md:86
hsk26-task1-05,2,能询问关于某个常见环境或场所的简单信息；能回答关于某个地方环境信息的简单问题，如大小、好坏、方位等；能询问或表达对该环境信息的好恶。,"Can ask for simple information about a common environment or venue; can answer simple questions about a place’s environmental information, such as 大小、好坏、方位等; can ask about or express likes and dislikes regarding that environment.",hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:87,reference/HSK_SYLLABUS_EN.md:87
hsk26-task1-05,3,能简单介绍某个环境或场所的信息，如大小、方位、自己的喜好等。,"Can briefly introduce information about an environment or venue, such as 大小、方位、自己的喜好等.",hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:88,reference/HSK_SYLLABUS_EN.md:88
hsk26-task1-05,4,能在日常标识中识别场所的名称、方位等简单信息。,Can identify simple information such as venue names and directions/locations on everyday signs.,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:89,reference/HSK_SYLLABUS_EN.md:89
hsk26-task1-06,1,能听懂在聚会、告别、结识新朋友等场景中对方的简单礼貌用语，并与对方互致简单礼貌用语。如你好、谢谢、对不起、再见等。,"Can understand another person’s simple polite expressions in settings such as gatherings, farewells, and meeting new friends, and can exchange simple polite expressions with the other person, such as 你好、谢谢、对不起、再见等.",hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:93,reference/HSK_SYLLABUS_EN.md:93
hsk26-task1-06,2,能听懂日常言语交往中对方的简单询问或请求；能在日常言语交往中向他人发出简单的询问或请求。如互相介绍、请求帮助、做出选择、接打电话等。,"Can understand simple questions or requests from others in everyday verbal interaction; can make simple questions or requests to others in everyday verbal interaction, such as 互相介绍、请求帮助、做出选择、接打电话等.",hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:94,reference/HSK_SYLLABUS_EN.md:94
hsk26-task1-06,3,能听懂他人关于自己需求或心情的简单表达；能简单表达自己的需求或心情。如要什么、是否高兴等。,"Can understand simple expressions by others about their own needs or moods; can simply express one’s own needs or moods, such as 要什么、是否高兴等.",hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:95,reference/HSK_SYLLABUS_EN.md:95
hsk26-task1-06,4,能看懂社交平台、短信、邮件中对方的简单礼貌用语和意愿表达。,"Can understand another person’s simple polite expressions and expressions of intention on social platforms, in text messages, and in emails.",hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:96,reference/HSK_SYLLABUS_EN.md:96
hsk26-task1-07,1,能听懂对方关于就餐的简单表达，如就餐意愿、就餐人员、喜欢的食物、三餐食物、饮食好坏、就餐时间和地点等。,"Can understand simple expressions by another person about dining, such as 就餐意愿、就餐人员、喜欢的食物、三餐食物、饮食好坏、就餐时间和地点等.",hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:100,reference/HSK_SYLLABUS_EN.md:100
hsk26-task1-07,2,能询问他人关于日常饮食、就餐、做饭的上述简单信息；能回答他人关于上述信息的简单询问。,"Can ask others for the above simple information about daily food and drink, dining, and cooking; can answer simple questions from others about the above information.",hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:101,reference/HSK_SYLLABUS_EN.md:101
hsk26-task1-07,3,能简单介绍自己的饮食喜好、做饭情况等。如喜欢的食物、一日三餐等。,"Can briefly introduce one’s own food and dining preferences and cooking situation, such as 喜欢的食物、一日三餐等.",hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:102,reference/HSK_SYLLABUS_EN.md:102
hsk26-task1-07,4,能在饭店、超市等场所看懂某些常见食物的名称。如水、牛奶、苹果、包子、饺子等。,"Can understand the names of some common foods in places such as restaurants and supermarkets, such as 水、牛奶、苹果、包子、饺子等.",hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:103,reference/HSK_SYLLABUS_EN.md:103
hsk26-task1-08,1,能听懂他人关于出行方式、出行安排的简单问题，或关于日常出行信息的简单介绍。如上班、上学、外出的方式、时间、目的地等。,"Can understand simple questions from others about modes of travel and travel arrangements, or simple introductions of daily travel information, such as 上班、上学、外出的方式、时间、目的地等.",hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:107,reference/HSK_SYLLABUS_EN.md:107
hsk26-task1-08,2,能询问关于日常出行的简单信息；能回答关于日常出行方式和出行安排的简单问题。,Can ask for simple information about daily travel; can answer simple questions about daily travel modes and travel arrangements.,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:108,reference/HSK_SYLLABUS_EN.md:108
hsk26-task1-08,3,能简单介绍自己、家人或朋友的出行信息。,"Can briefly introduce travel information about oneself, family members, or friends.",hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:109,reference/HSK_SYLLABUS_EN.md:109
hsk26-task1-08,4,能在问路时进行简单交流。如向对方询问或跟对方确认某处的地点、位置。,"Can carry out simple exchanges when asking for directions, such as 向对方询问或跟对方确认某处的地点、位置.",hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:110,reference/HSK_SYLLABUS_EN.md:110
hsk26-task1-08,5,能看懂火车、飞机等常见出行方式的基本信息。,Can understand basic information about common travel modes such as 火车、飞机.,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:111,reference/HSK_SYLLABUS_EN.md:111
hsk26-task1-09,1,能听懂超市、商店售货员，或同学、朋友等关于商品简单信息的介绍，如日常商品名称、价格；能听懂他人提出的关于选购意愿的简单提问。,"Can understand introductions of simple product information given by supermarket or shop sales staff, classmates, friends, and others, such as 日常商品名称、价格; can understand simple questions from others about purchase intentions.",hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:115,reference/HSK_SYLLABUS_EN.md:115
hsk26-task1-09,2,能向他人询问商品的简单信息，如商品价格、是否有货；能回答他人关于上述信息的简单询问。,"Can ask others for simple product information, such as 商品价格、是否有货; can answer simple questions from others about the above information.",hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:116,reference/HSK_SYLLABUS_EN.md:116
hsk26-task1-09,3,能向他人简单表达选购意愿；能向他人介绍所购商品的简单信息，如名称、价格等。,"Can simply express purchase intentions to others; can introduce simple information about purchased goods to others, such as 名称、价格等.",hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:117,reference/HSK_SYLLABUS_EN.md:117
hsk26-task1-09,4,能看懂一些日常商品的简单标签信息。如名称、价格、日期等。,"Can understand simple label information on some everyday goods, such as 名称、价格、日期等.",hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:118,reference/HSK_SYLLABUS_EN.md:118
hsk26-task1-10,1,能听懂别人生病、想要就医的简单表述；能听懂关于吃饭、睡觉等的简单医嘱；能听懂家人、朋友的简单安慰，如多休息等。,Can understand simple statements that someone is ill or wants to seek medical care; can understand simple medical advice about matters such as 多休息等.,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:122,reference/HSK_SYLLABUS_EN.md:122
hsk26-task1-10,2,能在自己生病时告知别人，简单表达就医意愿。,Can tell others when one is ill and simply express a wish to seek medical care.,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:123,reference/HSK_SYLLABUS_EN.md:123
hsk26-task1-10,3,能在亲友生病时简单表达想去看望的意愿，表达简单的安慰。,Can simply express the wish to visit a sick relative or friend and offer simple comfort when relatives or friends are ill.,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:124,reference/HSK_SYLLABUS_EN.md:124
hsk26-task1-11,1,能听懂他人关于日常休闲活动的简单问题，或关于某人喜好的日常休闲活动的简单信息介绍。如看书、唱歌、看电视等。,"Can understand simple questions from others about daily leisure activities, or simple information introductions about someone’s preferred daily leisure activities, such as 看书、唱歌、看电视等.",hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:128,reference/HSK_SYLLABUS_EN.md:128
hsk26-task1-11,2,能询问家人、朋友、同学等喜好的日常休闲活动；能回答关于自己、家人或朋友日常休闲活动的喜好、安排等简单问题。,"Can ask family members, friends, classmates, and others about their preferred daily leisure activities; can answer simple questions about the preferences and arrangements for one’s own, family members’, or friends’ daily leisure activities.",hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:129,reference/HSK_SYLLABUS_EN.md:129
hsk26-task1-11,3,能简单介绍自己对日常休闲活动的喜好、安排等。,Can briefly introduce one’s own preferences and arrangements for daily leisure activities.,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:130,reference/HSK_SYLLABUS_EN.md:130
hsk26-task1-11,4,能看懂关于日常休闲活动的简单信息，如活动的时间和地点等。,"Can understand simple information about daily leisure activities, such as 活动的时间和地点等.",hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:131,reference/HSK_SYLLABUS_EN.md:131
hsk26-task1-12,1,能听懂同学、老师、家人询问学习情况的简单问题，或同学、朋友关于学习情况的简单介绍。如所在学校、科目、上课时间等。,"Can understand simple questions from classmates, teachers, and family members about study situations, or simple introductions by classmates and friends about study situations, such as 所在学校、科目、上课时间等.",hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:135,reference/HSK_SYLLABUS_EN.md:135
hsk26-task1-12,2,能询问同学或朋友关于学习情况的简单信息；能回答关于学习情况的简单问题。,Can ask classmates or friends for simple information about study situations; can answer simple questions about study situations.,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:136,reference/HSK_SYLLABUS_EN.md:136
hsk26-task1-12,3,能向老师、同学、家人简单介绍自己的上述学习情况。,"Can briefly introduce one’s own above-mentioned study situation to teachers, classmates, and family members.",hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:137,reference/HSK_SYLLABUS_EN.md:137
hsk26-task1-12,4,能看懂课表中关于课程的简单信息，如科目、时间等。,"Can understand simple course information in a timetable, such as 科目、时间等.",hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:138,reference/HSK_SYLLABUS_EN.md:138
hsk26-task1-13,1,能听懂家人、同学、朋友等询问学校情况、课后活动的简单问题，或关于学校学习和课后活动信息的简单介绍。如学校、老师、同学的基本信息，课后安排等。,"Can understand simple questions from family members, classmates, friends, and others about school situations and after-class activities, or simple introductions to school study and after-class activity information, such as 学校、老师、同学的基本信息，课后安排等.",hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:142,reference/HSK_SYLLABUS_EN.md:142
hsk26-task1-13,2,能询问同学、朋友关于学校情况和课后活动的简单信息；能回答家人、朋友等关于学校情况和课后活动信息的简单问题。,"Can ask classmates and friends for simple information about school situations and after-class activities; can answer simple questions from family members, friends, and others about school situations and after-class activity information.",hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:143,reference/HSK_SYLLABUS_EN.md:143
hsk26-task1-13,3,能简单介绍自己的学校情况和课后活动信息。如老师、同学、学校、课后安排等。,"Can briefly introduce information about one’s own school situation and after-class activities, such as 老师、同学、学校、课后安排等.",hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:144,reference/HSK_SYLLABUS_EN.md:144
hsk26-task1-13,4,能看懂课表、学生信息表等材料中关于上述学习或课后活动的简单信息。,Can understand simple information about the above study or after-class activities in materials such as timetables and student information forms.,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:145,reference/HSK_SYLLABUS_EN.md:145
hsk26-task1-14,1,能听懂家人、同事、朋友等询问工作信息的简单问题，或他人关于工作信息的简单介绍。如做什么工作、工作时间、工作地点、喜欢与否等。,"Can understand simple questions from family members, colleagues, friends, and others about work information, or simple introductions by others about work information, such as 做什么工作、工作时间、工作地点、喜欢与否等.",hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:149,reference/HSK_SYLLABUS_EN.md:149
hsk26-task1-14,2,能询问他人关于上述工作信息或职业的简单情况；能回答他人关于工作信息或职业的简单问题。,Can ask others simple questions about the above work information or occupations; can answer simple questions from others about work information or occupations.,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:150,reference/HSK_SYLLABUS_EN.md:150
hsk26-task1-14,3,能简单介绍自己、家人、朋友的职业或工作内容。,"Can briefly introduce one’s own, family members’, or friends’ occupations or work content.",hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:151,reference/HSK_SYLLABUS_EN.md:151
hsk26-task1-14,4,能看懂关于某人或某种工作信息的简单介绍。如职业名称、工作时间、地点等。,"Can understand simple introductions to information about a person or a type of work, such as 职业名称、工作时间、地点等.",hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:152,reference/HSK_SYLLABUS_EN.md:152
hsk26-task1-15,1,能听懂他人关于中国传统饮食的简单问题，或关于中国传统饮食习惯的简单介绍。如中国人喜欢吃什么、喝什么等。,"Can understand simple questions from others about traditional Chinese food and drink, or simple introductions to traditional Chinese eating and drinking habits, such as 中国人喜欢吃什么、喝什么等.",hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:156,reference/HSK_SYLLABUS_EN.md:156
hsk26-task1-15,2,能询问关于中国传统饮食的简单问题，或简单介绍中国人的传统饮食习惯、表达自己或家人对中国传统饮食的喜好等。如中国人喜欢吃包子、饺子、面条儿、喝茶，自己或家人是否喜欢等。,"Can ask simple questions about traditional Chinese food and drink, or briefly introduce traditional Chinese eating and drinking habits and express one’s own or family members’ preferences about traditional Chinese food and drink, such as 中国人喜欢吃包子、饺子、面条儿、喝茶，自己或家人是否喜欢等.",hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:157,reference/HSK_SYLLABUS_EN.md:157
hsk26-task1-15,3,能看懂菜单上关于中国传统饮食的简单信息，如包子、饺子、面条儿、茶等。,"Can understand simple information about traditional Chinese food and drink on menus, such as 包子、饺子、面条儿、茶等.",hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:158,reference/HSK_SYLLABUS_EN.md:158
hsk26-task2-01,1,能听懂在聚会、参加游戏等场景中关于个人基本情况的简单问题，或关于个人基本情况的简单介绍，如外貌、穿着、生日、身份、习惯、爱好、来处等。,"Can understand simple questions about basic personal situations, or simple introductions of basic personal situations, in settings such as gatherings and games; examples include 外貌、穿着、生日、身份、习惯、爱好、来处等.",hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:164,reference/HSK_SYLLABUS_EN.md:164
hsk26-task2-01,2,能在上述场景中询问个人基本情况；能回答上述场景中关于个人基本情况的简单问题。,Can ask about basic personal situations in the above settings; can answer simple questions about basic personal situations in the above settings.,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:165,reference/HSK_SYLLABUS_EN.md:165
hsk26-task2-01,3,能简单介绍上述个人基本情况。,Can briefly introduce the above basic personal situations.,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:166,reference/HSK_SYLLABUS_EN.md:166
hsk26-task2-01,4,能看懂报名表、调查表、简历等处出现的上述个人基本情况。,"Can understand the above basic personal situations as they appear on registration forms, questionnaires, resumes, and similar materials.",hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:167,reference/HSK_SYLLABUS_EN.md:167
hsk26-task2-01,5,能在上述表格上填写自己或家人的姓名、年龄、生日等个人基本信息。,Can fill in personal basic information such as one’s own or a family member’s 姓名、年龄、生日 on the above forms.,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:168,reference/HSK_SYLLABUS_EN.md:168
hsk26-task2-02,1,能听懂日常生活中关于事件情况的简单问题，或关于事件基本情况的简单介绍。如事件相关的人物、时间、方式、地址、原因、变化、状态等情况。,"Can understand simple questions about event situations in daily life, or simple introductions of basic event situations, such as 事件相关的人物、时间、方式、地址、原因、变化、状态等情况.",hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:172,reference/HSK_SYLLABUS_EN.md:172
hsk26-task2-02,2,能向家人、朋友、同学等询问事件的简单情况；能在日常交流中回答关于上述事件情况的简单询问。,"Can ask family members, friends, classmates, and others about simple event situations; can answer simple questions about the above event situations in daily communication.",hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:173,reference/HSK_SYLLABUS_EN.md:173
hsk26-task2-02,3,能向他人简单介绍上述事件的基本情况。,Can briefly introduce the basic situation of the above event to others.,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:174,reference/HSK_SYLLABUS_EN.md:174
hsk26-task2-02,4,能看懂关于事件信息、事件原因、变化的句子或结构简单的小短文。,"Can understand sentences or short texts with simple structure about event information, event reasons, and changes.",hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:175,reference/HSK_SYLLABUS_EN.md:175
hsk26-task2-02,5,能在活动表、绘本等材料上书写时间、方位等简单信息。,Can write simple information such as time and direction/location on materials such as activity forms and picture books.,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:176,reference/HSK_SYLLABUS_EN.md:176
hsk26-task2-03,1,能听懂家庭、超市、学校、书店等场景中关于物品情况的简单问题，或关于常用物品情况的简单介绍。如物品名称、颜色、数量、位置特点、跟其他物品的差别等。,"Can understand simple questions about object situations, or simple introductions of commonly used object situations, in settings such as the family, supermarket, school, and bookstore; examples include 物品名称、颜色、数量、位置特点、跟其他物品的差别等.",hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:180,reference/HSK_SYLLABUS_EN.md:180
hsk26-task2-03,2,能向家人、朋友、同学等询问日常物品的简单情况；能在日常交流中回答关于物品情况的简单询问。,"Can ask family members, friends, classmates, and others about simple situations of daily objects; can answer simple questions about object situations in daily communication.",hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:181,reference/HSK_SYLLABUS_EN.md:181
hsk26-task2-03,3,能简单介绍物品情况，如对物品特征进行简单描述、比较。,"Can briefly introduce object situations, such as 对物品特征进行简单描述、比较.",hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:182,reference/HSK_SYLLABUS_EN.md:182
hsk26-task2-03,4,能看懂日常生活场景中某些常见物品的名称，以及关于物品颜色、数量、差别等情况的简单描述。,"Can understand, in daily-life settings, the names of some common objects and simple descriptions of their color, quantity, differences, and other situations.",hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:183,reference/HSK_SYLLABUS_EN.md:183
hsk26-task2-03,5,能在活动表、物品标签等材料上书写某些常见物品的名称、数量等简单信息。,Can write simple information such as the names and quantities of some common objects on materials such as activity forms and object labels.,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:184,reference/HSK_SYLLABUS_EN.md:184
hsk26-task2-04,1,能听懂日常交流中关于天气好坏、阴晴、体感是否舒服等的简单问题，或关于某地天气信息的简单介绍。,"Can understand simple questions in daily communication about weather quality, cloudiness or clear skies, and whether the bodily feeling is comfortable, or simple introductions to weather information for a place.",hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:188,reference/HSK_SYLLABUS_EN.md:188
hsk26-task2-04,2,能询问关于某地天气的好坏、阴晴、体感是否舒服等的简单信息；能回答关于上述天气信息的简单询问。,"Can ask for simple information about the weather in a place, such as whether it is good or bad, cloudy or clear, and whether it feels comfortable; can answer simple questions about the above weather information.",hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:189,reference/HSK_SYLLABUS_EN.md:189
hsk26-task2-04,3,能简单介绍某地的上述天气情况，能简单表达对天气的喜好。,Can briefly introduce the above weather situation of a place and can simply express preferences about the weather.,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:190,reference/HSK_SYLLABUS_EN.md:190
hsk26-task2-04,4,能看懂关于某地天气情况的简单介绍，如冷热比较、阴晴等。,"Can understand simple introductions to the weather situation of a place, such as 冷热比较、阴晴等.",hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:191,reference/HSK_SYLLABUS_EN.md:191
hsk26-task2-05,1,能听懂家人、朋友、同学等询问学校、新家、车站等某个环境或场所情况的简单问题，或对方关于某个环境或场所的简单介绍。如距离远近、所在位置等。,"Can understand simple questions from family members, friends, classmates, and others about the situation of an environment or venue such as a school, new home, or station, or another person’s simple introduction of an environment or venue, such as 距离远近、所在位置等.",hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:195,reference/HSK_SYLLABUS_EN.md:195
hsk26-task2-05,2,能询问某个环境或场所的简单情况；能回答关于上述环境情况的简单问题。,Can ask about the simple situation of an environment or venue; can answer simple questions about the above environmental situation.,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:196,reference/HSK_SYLLABUS_EN.md:196
hsk26-task2-05,3,能简单介绍某个环境或场所的情况。,Can briefly introduce the situation of an environment or venue.,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:197,reference/HSK_SYLLABUS_EN.md:197
hsk26-task2-05,4,能看懂关于某个环境或场所上述情况的简单文字介绍。,Can understand simple written introductions about the above situations of an environment or venue.,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:198,reference/HSK_SYLLABUS_EN.md:198
hsk26-task2-06,1,能在互相问候之后、节日到来、接受他人帮助、给别人添了麻烦、为朋友送行等场景中，听懂对方的礼貌用语，并与对方互致礼貌用语，如简单的寒暄、祝福、感谢、道歉、送别等。,"After exchanging greetings, on the arrival of festivals, when accepting help from others, when causing trouble for others, or when seeing a friend off, can understand the other person’s polite expressions and exchange polite expressions with the other person, such as 简单的寒暄、祝福、感谢、道歉、送别等.",hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:202,reference/HSK_SYLLABUS_EN.md:202
hsk26-task2-06,2,能听懂在外出、聚会、上学、工作等场景中对方的简单询问或请求，能向他人发出简单询问或请求。如表达求助、进行劝阻、做出选择、提出建议、送人礼物等。,"Can understand simple questions or requests from the other person in settings such as going out, gathering, going to school, and working, and can make simple questions or requests to others, such as 表达求助、进行劝阻、做出选择、提出建议、送人礼物等.",hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:203,reference/HSK_SYLLABUS_EN.md:203
