topic_id,level_min,level_max,row_order,topic_l1_zh,topic_l1_en,topic_l2_zh,topic_l2_en,topic_l3_zh,topic_l3_en,source_id,source_locator_zh,source_locator_en,notes
hsk26-t1-016,1,1,16,日常生活,Daily life,购物,Shopping,商品名称,Product names,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1275,reference/HSK_SYLLABUS_EN.md:1276,
hsk26-t1-017,1,1,17,日常生活,Daily life,购物,Shopping,商品价格,Product prices,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1276,reference/HSK_SYLLABUS_EN.md:1277,
hsk26-t1-018,1,1,18,日常生活,Daily life,购物,Shopping,商品选购,Product selection and purchase,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1277,reference/HSK_SYLLABUS_EN.md:1278,
hsk26-t1-019,1,1,19,日常生活,Daily life,医疗健康,Medical care and health,生病、看病、探病等,"Illness, seeing a doctor, visiting patients, etc.",hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1278,reference/HSK_SYLLABUS_EN.md:1279,
hsk26-t1-020,1,1,20,日常生活,Daily life,休闲,Leisure,休闲活动,Leisure activities,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1279,reference/HSK_SYLLABUS_EN.md:1280,
hsk26-t1-021,1,1,21,教育情况,Education situations,学习情况,Study situations,课程信息,Course information,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1280,reference/HSK_SYLLABUS_EN.md:1281,
hsk26-t1-022,1,1,22,教育情况,Education situations,学习情况,Study situations,学习内容,Learning content,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1281,reference/HSK_SYLLABUS_EN.md:1282,
hsk26-t1-023,1,1,23,教育情况,Education situations,学习情况,Study situations,教育层次,Education levels,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1282,reference/HSK_SYLLABUS_EN.md:1283,
hsk26-t1-024,1,1,24,教育情况,Education situations,校园生活,Campus life,学校情况,School situations,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1283,reference/HSK_SYLLABUS_EN.md:1284,
hsk26-t1-025,1,1,25,教育情况,Education situations,校园生活,Campus life,课后活动,After-class activities,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1284,reference/HSK_SYLLABUS_EN.md:1285,
hsk26-t1-026,1,1,26,职场生活,Workplace life,工作情况,Work situations,工作信息,Work information,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1285,reference/HSK_SYLLABUS_EN.md:1286,
hsk26-t1-027,1,1,27,职场生活,Workplace life,工作情况,Work situations,工作评价,Work evaluation,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1286,reference/HSK_SYLLABUS_EN.md:1287,
hsk26-t1-028,1,1,28,职场生活,Workplace life,职业,Occupations,职业种类,Types of occupations,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1287,reference/HSK_SYLLABUS_EN.md:1288,
hsk26-t1-029,1,1,29,文化与传统,Culture and traditions,饮食文化,Food culture,中餐,Chinese meals,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1288,reference/HSK_SYLLABUS_EN.md:1289,
hsk26-t1-030,1,1,30,文化与传统,Culture and traditions,饮食文化,Food culture,传统饮品,Traditional beverages,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1289,reference/HSK_SYLLABUS_EN.md:1290,
hsk26-t2-001,2,2,1,基本信息,Basic information,个人信息,Personal information,外貌、穿着、生日等,"Appearance, clothing, birthday, etc.",hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1296,reference/HSK_SYLLABUS_EN.md:1297,
hsk26-t2-002,2,2,2,基本信息,Basic information,个人信息,Personal information,身份、习惯、爱好、来处等,"Identity, habits, hobbies, place of origin, etc.",hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1297,reference/HSK_SYLLABUS_EN.md:1298,
hsk26-t2-003,2,2,3,基本信息,Basic information,事件信息,Event information,事件、人物、时间、方式、地址、原因、变化、状态等,"Events, people, time, method, address, reason, change, state, etc.",hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1298,reference/HSK_SYLLABUS_EN.md:1299,
hsk26-t2-004,2,2,4,基本信息,Basic information,物品信息,Object information,名称、颜色、差别、数量、所在、特点等,"Names, colors, differences, quantities, locations, features, etc.",hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1299,reference/HSK_SYLLABUS_EN.md:1300,
hsk26-t2-005,2,2,5,基本信息,Basic information,环境信息,Environmental information,天气,Weather,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1300,reference/HSK_SYLLABUS_EN.md:1301,
hsk26-t2-006,2,2,6,基本信息,Basic information,环境信息,Environmental information,环境特征,Environmental characteristics,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1301,reference/HSK_SYLLABUS_EN.md:1302,
hsk26-t2-007,2,2,7,日常生活,Daily life,交往,Interaction,基本礼貌行为,Basic polite behavior,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1302,reference/HSK_SYLLABUS_EN.md:1303,
hsk26-t2-008,2,2,8,日常生活,Daily life,交往,Interaction,简单互动行为,Simple interaction behavior,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1303,reference/HSK_SYLLABUS_EN.md:1304,
hsk26-t2-009,2,2,9,日常生活,Daily life,交往,Interaction,意愿感受,Wishes and feelings,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1304,reference/HSK_SYLLABUS_EN.md:1305,
hsk26-t2-010,2,2,10,日常生活,Daily life,饮食,Food and drink,食物饮品,Food and beverages,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1305,reference/HSK_SYLLABUS_EN.md:1306,
hsk26-t2-011,2,2,11,日常生活,Daily life,饮食,Food and drink,饮食习惯,Eating habits,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1306,reference/HSK_SYLLABUS_EN.md:1307,
hsk26-t2-012,2,2,12,日常生活,Daily life,饮食,Food and drink,就餐,Dining,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1307,reference/HSK_SYLLABUS_EN.md:1308,
hsk26-t2-013,2,2,13,日常生活,Daily life,交通出行,Transportation and travel,问路,Asking directions,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1308,reference/HSK_SYLLABUS_EN.md:1309,
hsk26-t2-014,2,2,14,日常生活,Daily life,交通出行,Transportation and travel,出行方式,Travel modes,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1309,reference/HSK_SYLLABUS_EN.md:1310,
hsk26-t2-015,2,2,15,日常生活,Daily life,交通出行,Transportation and travel,出行安排,Travel arrangements,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1310,reference/HSK_SYLLABUS_EN.md:1311,
hsk26-t2-016,2,2,16,日常生活,Daily life,交通出行,Transportation and travel,出行感受,Travel feelings,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1311,reference/HSK_SYLLABUS_EN.md:1312,
hsk26-t2-017,2,2,17,日常生活,Daily life,购物,Shopping,商品选购,Product selection and purchase,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1312,reference/HSK_SYLLABUS_EN.md:1313,
hsk26-t2-018,2,2,18,日常生活,Daily life,购物,Shopping,商品描述,Product description,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1313,reference/HSK_SYLLABUS_EN.md:1314,
hsk26-t2-019,2,2,19,日常生活,Daily life,医疗健康,Medical care and health,生病,Illness,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1314,reference/HSK_SYLLABUS_EN.md:1315,
hsk26-t2-020,2,2,20,日常生活,Daily life,医疗健康,Medical care and health,就医,Medical treatment,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1315,reference/HSK_SYLLABUS_EN.md:1316,
hsk26-t2-021,2,2,21,日常生活,Daily life,休闲,Leisure,休闲活动,Leisure activities,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1316,reference/HSK_SYLLABUS_EN.md:1317,
hsk26-t2-022,2,2,22,日常生活,Daily life,休闲,Leisure,休闲安排,Leisure arrangements,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1317,reference/HSK_SYLLABUS_EN.md:1318,
hsk26-t2-023,2,2,23,日常生活,Daily life,家庭生活,Family life,家庭关系,Family relationships,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1318,reference/HSK_SYLLABUS_EN.md:1319,
hsk26-t2-024,2,2,24,日常生活,Daily life,家庭生活,Family life,家庭活动,Family activities,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1319,reference/HSK_SYLLABUS_EN.md:1320,
hsk26-t2-025,2,2,25,教育情况,Education situations,学习情况,Study situations,基本情况,Basic situation,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1320,reference/HSK_SYLLABUS_EN.md:1321,
hsk26-t2-026,2,2,26,教育情况,Education situations,学习情况,Study situations,学习经历,Learning experience,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1321,reference/HSK_SYLLABUS_EN.md:1322,
hsk26-t2-027,2,2,27,教育情况,Education situations,校园生活,Campus life,学校情况,School situations,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1322,reference/HSK_SYLLABUS_EN.md:1323,
hsk26-t2-028,2,2,28,教育情况,Education situations,校园生活,Campus life,课后活动,After-class activities,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1323,reference/HSK_SYLLABUS_EN.md:1324,
hsk26-t2-029,2,2,29,职场生活,Workplace life,工作情况,Work situations,工作信息,Work information,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1324,reference/HSK_SYLLABUS_EN.md:1325,
hsk26-t2-030,2,2,30,职场生活,Workplace life,工作情况,Work situations,工作经历、工作感受,Work experience and feelings about work,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1325,reference/HSK_SYLLABUS_EN.md:1326,
hsk26-t2-031,2,2,31,职场生活,Workplace life,职业,Occupations,职业状况,Professional status,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1326,reference/HSK_SYLLABUS_EN.md:1327,
hsk26-t2-032,2,2,32,文化与传统,Culture and traditions,传统习俗,Traditional customs,节日,Festivals,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1327,reference/HSK_SYLLABUS_EN.md:1328,
hsk26-t2-033,2,2,33,文化与传统,Culture and traditions,饮食文化,Food culture,中餐印象,Impressions of Chinese meals,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1328,reference/HSK_SYLLABUS_EN.md:1329,
hsk26-t2-034,2,2,34,文化与传统,Culture and traditions,姓氏文化,Surname culture,主要姓氏、正式称谓等,"Major surnames, formal forms of address, etc.",hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1329,reference/HSK_SYLLABUS_EN.md:1330,
hsk26-t3-001,3,3,1,日常生活,Daily life,个人情况,Personal situation,个人信息,Personal information,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1336,reference/HSK_SYLLABUS_EN.md:1337,
hsk26-t3-002,3,3,2,日常生活,Daily life,个人情况,Personal situation,个人特征,Personal characteristics,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1337,reference/HSK_SYLLABUS_EN.md:1338,
hsk26-t3-003,3,3,3,日常生活,Daily life,日常事务,Everyday affairs,事务处理,Affair handling,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1338,reference/HSK_SYLLABUS_EN.md:1339,
hsk26-t3-004,3,3,4,日常生活,Daily life,日常事务,Everyday affairs,业务办理,Service handling,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1339,reference/HSK_SYLLABUS_EN.md:1340,
hsk26-t3-005,3,3,5,日常生活,Daily life,交往,Interaction,礼貌行为,Polite behavior,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1340,reference/HSK_SYLLABUS_EN.md:1341,
hsk26-t3-006,3,3,6,日常生活,Daily life,交往,Interaction,意愿感受,Wishes and feelings,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1341,reference/HSK_SYLLABUS_EN.md:1342,
hsk26-t3-007,3,3,7,日常生活,Daily life,饮食,Food and drink,食物饮品,Food and beverages,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1342,reference/HSK_SYLLABUS_EN.md:1343,
hsk26-t3-008,3,3,8,日常生活,Daily life,饮食,Food and drink,饮食习惯,Eating habits,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1343,reference/HSK_SYLLABUS_EN.md:1344,
hsk26-t3-009,3,3,9,日常生活,Daily life,饮食,Food and drink,就餐,Dining,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1344,reference/HSK_SYLLABUS_EN.md:1345,
hsk26-t3-010,3,3,10,日常生活,Daily life,交通出行,Transportation and travel,出行方式,Travel modes,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1345,reference/HSK_SYLLABUS_EN.md:1346,
hsk26-t3-011,3,3,11,日常生活,Daily life,交通出行,Transportation and travel,出行安排,Travel arrangements,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1346,reference/HSK_SYLLABUS_EN.md:1347,
hsk26-t3-012,3,3,12,日常生活,Daily life,交通出行,Transportation and travel,出行经历,Travel experiences,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1347,reference/HSK_SYLLABUS_EN.md:1348,
hsk26-t3-013,3,3,13,日常生活,Daily life,交通出行,Transportation and travel,交通规则,Traffic rules,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1348,reference/HSK_SYLLABUS_EN.md:1349,
hsk26-t3-014,3,3,14,日常生活,Daily life,购物,Shopping,商品选购,Product selection and purchase,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1349,reference/HSK_SYLLABUS_EN.md:1350,
hsk26-t3-015,3,3,15,日常生活,Daily life,购物,Shopping,购物经历,Shopping experiences,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1350,reference/HSK_SYLLABUS_EN.md:1351,
hsk26-t3-016,3,3,16,日常生活,Daily life,医疗健康,Medical care and health,生病,Illness,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1351,reference/HSK_SYLLABUS_EN.md:1352,
hsk26-t3-017,3,3,17,日常生活,Daily life,医疗健康,Medical care and health,就医,Medical treatment,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1352,reference/HSK_SYLLABUS_EN.md:1353,
hsk26-t3-018,3,3,18,日常生活,Daily life,医疗健康,Medical care and health,探病,Visiting patients,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1353,reference/HSK_SYLLABUS_EN.md:1354,
hsk26-t3-019,3,3,19,日常生活,Daily life,医疗健康,Medical care and health,健康观念,Health concepts,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1354,reference/HSK_SYLLABUS_EN.md:1355,
hsk26-t3-020,3,3,20,日常生活,Daily life,休闲,Leisure,休闲活动,Leisure activities,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1355,reference/HSK_SYLLABUS_EN.md:1356,
hsk26-t3-021,3,3,21,日常生活,Daily life,休闲,Leisure,活动体验,Activity experiences,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1356,reference/HSK_SYLLABUS_EN.md:1357,
hsk26-t3-022,3,3,22,日常生活,Daily life,社区,Community,居住情况,Living situation,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1357,reference/HSK_SYLLABUS_EN.md:1358,
hsk26-t3-023,3,3,23,日常生活,Daily life,家庭生活,Family life,生活习惯,Living habits,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1358,reference/HSK_SYLLABUS_EN.md:1359,
hsk26-t3-024,3,3,24,日常生活,Daily life,家庭生活,Family life,家庭关系,Family relationships,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1359,reference/HSK_SYLLABUS_EN.md:1360,
hsk26-t3-025,3,3,25,日常生活,Daily life,家庭生活,Family life,家庭事务,Family affairs,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1360,reference/HSK_SYLLABUS_EN.md:1361,
hsk26-t3-026,3,3,26,日常生活,Daily life,家庭生活,Family life,居家生活,Home life,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1361,reference/HSK_SYLLABUS_EN.md:1362,
hsk26-t3-027,3,3,27,教育情况,Education situations,学习情况,Study situations,课程情况,Course situations,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1362,reference/HSK_SYLLABUS_EN.md:1363,
hsk26-t3-028,3,3,28,教育情况,Education situations,学习情况,Study situations,学习活动,Learning activities,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1363,reference/HSK_SYLLABUS_EN.md:1364,
hsk26-t3-029,3,3,29,教育情况,Education situations,学习情况,Study situations,学习环境,Learning environment,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1364,reference/HSK_SYLLABUS_EN.md:1365,
hsk26-t3-030,3,3,30,教育情况,Education situations,学习情况,Study situations,学习经历,Learning experience,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1365,reference/HSK_SYLLABUS_EN.md:1366,
hsk26-t3-031,3,3,31,教育情况,Education situations,校园生活,Campus life,校园活动,Campus activities,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1366,reference/HSK_SYLLABUS_EN.md:1367,
hsk26-t3-032,3,3,32,教育情况,Education situations,校园生活,Campus life,学校情况,School situations,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1367,reference/HSK_SYLLABUS_EN.md:1368,
hsk26-t3-033,3,3,33,教育情况,Education situations,教育问题,Educational issues,家庭教育,Family education,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1368,reference/HSK_SYLLABUS_EN.md:1369,
hsk26-t3-034,3,3,34,职场生活,Workplace life,日常办公,Everyday office work,办公事务,Office affairs,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1369,reference/HSK_SYLLABUS_EN.md:1370,
hsk26-t3-035,3,3,35,职场生活,Workplace life,日常办公,Everyday office work,工作表现,Work performance,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1370,reference/HSK_SYLLABUS_EN.md:1371,
hsk26-t3-036,3,3,36,职场生活,Workplace life,日常办公,Everyday office work,工作环境,Work environment,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1371,reference/HSK_SYLLABUS_EN.md:1372,
hsk26-t3-037,3,3,37,职场生活,Workplace life,日常办公,Everyday office work,同事相处,Getting along with colleagues,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1372,reference/HSK_SYLLABUS_EN.md:1373,
hsk26-t3-038,3,3,38,职场生活,Workplace life,职业与经历,Profession and experience,工作经历,Work experience,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1373,reference/HSK_SYLLABUS_EN.md:1374,
hsk26-t3-039,3,3,39,职场生活,Workplace life,职业与经历,Profession and experience,职业评价,Professional evaluation,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1374,reference/HSK_SYLLABUS_EN.md:1375,
hsk26-t3-040,3,3,40,自然与环境,Nature and environment,自然,Nature,气候,Climate,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1375,reference/HSK_SYLLABUS_EN.md:1376,
hsk26-t3-041,3,3,41,自然与环境,Nature and environment,自然,Nature,季节,Seasons,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1376,reference/HSK_SYLLABUS_EN.md:1377,
hsk26-t3-042,3,3,42,自然与环境,Nature and environment,自然,Nature,动植物,Animals and plants,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1377,reference/HSK_SYLLABUS_EN.md:1378,
hsk26-t3-043,3,3,43,自然与环境,Nature and environment,自然,Nature,自然风景,Natural scenery,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1378,reference/HSK_SYLLABUS_EN.md:1379,
hsk26-t3-044,3,3,44,自然与环境,Nature and environment,环境,Environment,环境状况,Environmental conditions,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1379,reference/HSK_SYLLABUS_EN.md:1380,
hsk26-t3-045,3,3,45,自然与环境,Nature and environment,环境,Environment,环境保护,Environmental protection,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1380,reference/HSK_SYLLABUS_EN.md:1381,
hsk26-t3-046,3,3,46,当代社会,Contemporary society,社会情况,Social situations,现代生活,Modern life,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1381,reference/HSK_SYLLABUS_EN.md:1382,
hsk26-t3-047,3,3,47,当代社会,Contemporary society,社会情况,Social situations,城市发展,Urban development,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1382,reference/HSK_SYLLABUS_EN.md:1383,
hsk26-t3-048,3,3,48,当代社会,Contemporary society,文艺,Literature and art,文艺活动,Literary and artistic activities,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1383,reference/HSK_SYLLABUS_EN.md:1384,
hsk26-t3-049,3,3,49,当代社会,Contemporary society,体育,Sports,运动项目,Sports events,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1384,reference/HSK_SYLLABUS_EN.md:1385,
hsk26-t3-050,3,3,50,当代社会,Contemporary society,体育,Sports,体育比赛,Sports competitions,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1385,reference/HSK_SYLLABUS_EN.md:1386,
hsk26-t3-051,3,3,51,文化与传统,Culture and traditions,饮食文化,Food culture,特色饮食,Specialty foods,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1386,reference/HSK_SYLLABUS_EN.md:1387,
hsk26-t3-052,3,3,52,文化与传统,Culture and traditions,饮食文化,Food culture,餐具,Tableware,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1387,reference/HSK_SYLLABUS_EN.md:1388,
hsk26-t3-053,3,3,53,文化与传统,Culture and traditions,风俗传统,Customs and traditions,传统节日与习俗,Traditional festivals and customs,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1388,reference/HSK_SYLLABUS_EN.md:1389,
hsk26-t3-054,3,3,54,文化与传统,Culture and traditions,风俗传统,Customs and traditions,地区差异,Regional differences,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1389,reference/HSK_SYLLABUS_EN.md:1390,
hsk26-t4-001,4,4,1,日常生活,Daily life,个人情况,Personal situation,个人信息,Personal information,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1396,reference/HSK_SYLLABUS_EN.md:1397,
hsk26-t4-002,4,4,2,日常生活,Daily life,个人情况,Personal situation,个人特征,Personal characteristics,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1397,reference/HSK_SYLLABUS_EN.md:1398,
hsk26-t4-003,4,4,3,日常生活,Daily life,日常事务,Everyday affairs,业务办理,Service handling,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1398,reference/HSK_SYLLABUS_EN.md:1399,
