grammar_element_id,grammar_point_id,element_order,element_kind,target_zh,learner_gloss_en,review_status,basis_source_id,content_origin,notes
gelement_d1973bcb87784417bbcf30b76daaf423,hsk26-g1-005,2,function,要,"want, need, or intend to more firmly",approved,hsk26-zh+hsk26-en,project_authored,
gelement_ec0fb2388c444048a275bd0b9e921736,hsk26-g1-006,1,function,可以,"may, can, or be allowed to",approved,hsk26-zh+hsk26-en,project_authored,
gelement_f6ef9004ee814a6f955a622e9f17a2ac,hsk26-g1-007,1,inventory_member,看病,see a doctor or receive medical care,approved,hsk26-zh+hsk26-en,project_authored,
gelement_1f932c3643834ff1b5f17478af6106dc,hsk26-g1-007,2,inventory_member,睡觉,sleep,approved,hsk26-zh+hsk26-en,project_authored,
gelement_2ef2ef38ea874b10bf3fe1ae14646015,hsk26-g1-007,3,inventory_member,说话,speak or talk,approved,hsk26-zh+hsk26-en,project_authored,
gelement_d8cb8d87f0a3453ba9c91b766ef8581e,hsk26-g1-007,4,inventory_member,上课,attend or teach class,approved,hsk26-zh+hsk26-en,project_authored,
gelement_56be7ae0c57b46fcba3965aa2ffb1f4a,hsk26-g1-007,5,inventory_member,下课,finish class,approved,hsk26-zh+hsk26-en,project_authored,
gelement_cc70eb067ec74defb87b1f910f6d08ae,hsk26-g1-007,6,inventory_member,上班,go to or be at work,approved,hsk26-zh+hsk26-en,project_authored,
gelement_6c8b1a69a18843429241619463b7012c,hsk26-g1-007,7,inventory_member,下班,finish work,approved,hsk26-zh+hsk26-en,project_authored,
gelement_df6521e1d5c542aaac9683b2b66b5962,hsk26-g1-007,8,inventory_member,生病,become or be ill,approved,hsk26-zh+hsk26-en,project_authored,
gelement_e1b5e1e7c67f47d0b664978a0b78a5e3,hsk26-g1-008,1,inventory_member,多,"how, to what degree, or how much",approved,hsk26-zh+hsk26-en,project_authored,
gelement_e2e6b0ad870c433f9b5aa7b28a292157,hsk26-g1-008,2,inventory_member,多少,how many or how much,approved,hsk26-zh+hsk26-en,project_authored,
gelement_c76105f99e524b96abc79b157e318b81,hsk26-g1-008,3,inventory_member,几,"how many, usually for a small expected number",approved,hsk26-zh+hsk26-en,project_authored,
gelement_8460ff6431a6487c879eed60b20ac484,hsk26-g1-008,4,inventory_member,哪,which before a classifier or noun,approved,hsk26-zh+hsk26-en,project_authored,
gelement_0d700183d2cd43f088f9cba3b3c9ec81,hsk26-g1-008,5,inventory_member,哪儿,where,approved,hsk26-zh+hsk26-en,project_authored,
gelement_225786b93017465da39a94ba6ab5a673,hsk26-g1-008,6,inventory_member,哪里,where,approved,hsk26-zh+hsk26-en,project_authored,
gelement_eaa3ae93dc6e4b3fa66e83335270f434,hsk26-g1-008,7,inventory_member,哪些,"which ones, plural",approved,hsk26-zh+hsk26-en,project_authored,
gelement_4d9f2e56c1ac41098e4bb04f6f66cbf0,hsk26-g1-008,8,inventory_member,什么,what,approved,hsk26-zh+hsk26-en,project_authored,
gelement_19fe732836d64198935d5d95e618f81f,hsk26-g1-008,9,inventory_member,谁,who,approved,hsk26-zh+hsk26-en,project_authored,
gelement_55bb61da524d4411ae242addc35c80d5,hsk26-g1-008,10,inventory_member,怎么,how or by what method,approved,hsk26-zh+hsk26-en,project_authored,
gelement_d956692593bf4ed8aabb6caf69c397ba,hsk26-g1-008,11,inventory_member,怎么样,how something is or what it is like,approved,hsk26-zh+hsk26-en,project_authored,
gelement_e760d8a11bfc4e19a79a1d5e83762d97,hsk26-g1-009,1,inventory_member,我,I or me,approved,hsk26-zh+hsk26-en,project_authored,
gelement_47434a2747b84952b404163ddba1fd4c,hsk26-g1-009,2,inventory_member,你,"you, singular",approved,hsk26-zh+hsk26-en,project_authored,
gelement_65278c4a546d4905bb4e6eb9747fd52b,hsk26-g1-009,3,inventory_member,您,"you, polite singular",approved,hsk26-zh+hsk26-en,project_authored,
gelement_5d912da613d7461fb832e68a6cd14d89,hsk26-g1-009,4,inventory_member,他,he or him,approved,hsk26-zh+hsk26-en,project_authored,
gelement_30da606e540d4b5b9a3b9aaa9661aac6,hsk26-g1-009,5,inventory_member,她,she or her,approved,hsk26-zh+hsk26-en,project_authored,
gelement_77bf8438063c4f66a664cafb4f357e86,hsk26-g1-009,6,inventory_member,我们,we or us,approved,hsk26-zh+hsk26-en,project_authored,
gelement_6f5698b717094411a2e11adcfed0aac7,hsk26-g1-009,7,inventory_member,你们,"you, plural",approved,hsk26-zh+hsk26-en,project_authored,
gelement_d1175907501349dfa1ac211916d6db92,hsk26-g1-009,8,inventory_member,他们,"they or them, people including a male",approved,hsk26-zh+hsk26-en,project_authored,
gelement_cb49c021e6e649c994f03bf1bc4a57f4,hsk26-g1-009,9,inventory_member,她们,"they or them, all female",approved,hsk26-zh+hsk26-en,project_authored,
gelement_032de32bb4f5456983082176672187c5,hsk26-g1-009,10,inventory_member,它,it,approved,hsk26-zh+hsk26-en,project_authored,
gelement_4a0bc997bdc942a595a3535d384db654,hsk26-g1-009,11,inventory_member,它们,"they or them, nonhuman",approved,hsk26-zh+hsk26-en,project_authored,
gelement_4b9a45689f094d7281c2e17545017953,hsk26-g1-009,12,inventory_member,大家,everyone or everybody present,approved,hsk26-zh+hsk26-en,project_authored,
gelement_4c697c49a513486686d167992a898d2a,hsk26-g1-010,1,inventory_member,这,"this or these, proximal base",approved,hsk26-zh+hsk26-en,project_authored,
gelement_d1cf631f50d94ac68ec3de34921213f4,hsk26-g1-010,2,inventory_member,那,"that or those, distal base",approved,hsk26-zh+hsk26-en,project_authored,
gelement_19169a81581b4ca08a89a3bfa470e771,hsk26-g1-010,3,inventory_member,这儿,here,approved,hsk26-zh+hsk26-en,project_authored,
gelement_8e720839e160476fb245530a46ef0741,hsk26-g1-010,4,inventory_member,那儿,there,approved,hsk26-zh+hsk26-en,project_authored,
gelement_a07fe4a27f204babac78b2d2c92b187e,hsk26-g1-010,5,inventory_member,这里,here,approved,hsk26-zh+hsk26-en,project_authored,
gelement_b7dfc09a2ed64e48b5cf679bd6617981,hsk26-g1-010,6,inventory_member,那里,there,approved,hsk26-zh+hsk26-en,project_authored,
gelement_cc1124189e214998956fa0111f72d8f5,hsk26-g1-010,7,inventory_member,这些,these,approved,hsk26-zh+hsk26-en,project_authored,
gelement_9f625c4306af4b39a5d9d8c7767907e6,hsk26-g1-010,8,inventory_member,那些,those,approved,hsk26-zh+hsk26-en,project_authored,
gelement_497dae9abc0a4e70b448de96ae7c082f,hsk26-g1-010,9,inventory_member,有的,some of them,approved,hsk26-zh+hsk26-en,project_authored,
gelement_be6b840d25d548cfa24ea974f4e6ed8c,hsk26-g1-010,10,inventory_member,这个,this one or this,approved,hsk26-zh+hsk26-en,project_authored,
gelement_eecf79d4fe9d431392dbcab62a22312d,hsk26-g1-010,11,inventory_member,那个,that one or that,approved,hsk26-zh+hsk26-en,project_authored,
gelement_e829b70e52294b1c89f12360531b5922,hsk26-g1-010,12,inventory_member,有些,some,approved,hsk26-zh+hsk26-en,project_authored,
gelement_bdcc1eb9b68642709fef038f9c56356d,hsk26-g1-011,1,inventory_member,一,one,approved,hsk26-zh+hsk26-en,project_authored,
gelement_e75afce261e84221ac67aa5deb20aa6e,hsk26-g1-011,2,inventory_member,二,two in counting and number sequences,approved,hsk26-zh+hsk26-en,project_authored,
gelement_665373a62d0645feb3adfdb5ad3ece47,hsk26-g1-011,3,inventory_member,两,two before most classifiers,approved,hsk26-zh+hsk26-en,project_authored,
gelement_70962b08c7dd41ccbc1be94196b01ba5,hsk26-g1-011,4,inventory_member,三,three,approved,hsk26-zh+hsk26-en,project_authored,
gelement_98f02d22278e40b49046a108c7d310d7,hsk26-g1-011,5,inventory_member,四,four,approved,hsk26-zh+hsk26-en,project_authored,
gelement_4eab0ee35d744fbf90c6ea487c1a4e05,hsk26-g1-011,6,inventory_member,五,five,approved,hsk26-zh+hsk26-en,project_authored,
gelement_a5965b5d9fb34358ab05157655564928,hsk26-g1-011,7,inventory_member,六,six,approved,hsk26-zh+hsk26-en,project_authored,
gelement_29037706df2a4903889a547f54515ca8,hsk26-g1-011,8,inventory_member,七,seven,approved,hsk26-zh+hsk26-en,project_authored,
gelement_52857fce7e244dab86941250a5f2ea4b,hsk26-g1-011,9,inventory_member,八,eight,approved,hsk26-zh+hsk26-en,project_authored,
gelement_0531444a711c43b4821ae70074474565,hsk26-g1-011,10,inventory_member,九,nine,approved,hsk26-zh+hsk26-en,project_authored,
gelement_159a59e980454a6c9a573b1b8a62306d,hsk26-g1-011,11,inventory_member,零,zero,approved,hsk26-zh+hsk26-en,project_authored,
gelement_53b2e31ee82e45f0a51fa55ca9149554,hsk26-g1-011,12,inventory_member,十,ten,approved,hsk26-zh+hsk26-en,project_authored,
gelement_3110f36b6db64b4793adad99f1b5fe09,hsk26-g1-011,13,inventory_member,百,hundred,approved,hsk26-zh+hsk26-en,project_authored,
gelement_102e52ec717e4c9b8d53fb91499f6028,hsk26-g1-011,14,inventory_member,半,half,approved,hsk26-zh+hsk26-en,project_authored,
gelement_81fc184517c148ffa339ab5a27d6e8c0,hsk26-g1-011,15,inventory_member,千,thousand,approved,hsk26-zh+hsk26-en,project_authored,
gelement_16ca3743bd1b4fdaace118a1c4ddf435,hsk26-g1-012,1,inventory_member,本,classifier for bound volumes such as books,approved,hsk26-zh+hsk26-en,project_authored,
gelement_e48385f7ba384459830b1584718c1f69,hsk26-g1-012,2,inventory_member,个,general classifier,approved,hsk26-zh+hsk26-en,project_authored,
gelement_1f8936dea6b644d6bf23abe173f744bf,hsk26-g1-012,3,inventory_member,家,classifier for establishments or households,approved,hsk26-zh+hsk26-en,project_authored,
gelement_c95ad02a7d2f44c280e582a561e6b1a5,hsk26-g1-012,4,inventory_member,口,classifier for family members,approved,hsk26-zh+hsk26-en,project_authored,
gelement_b10be416b307433a87390843e5a92c18,hsk26-g1-012,5,inventory_member,块,classifier for pieces or units of money,approved,hsk26-zh+hsk26-en,project_authored,
gelement_cf3258c0e7a34024a506ca7651c7f4b1,hsk26-g1-012,6,inventory_member,件,classifier for clothes and certain matters,approved,hsk26-zh+hsk26-en,project_authored,
gelement_d265a71d2bed49f481e63209583ad339,hsk26-g1-012,7,inventory_member,只,classifier for many animals and single members of pairs,approved,hsk26-zh+hsk26-en,project_authored,
gelement_f7ca75c0698545cf9117bfa3e5388814,hsk26-g1-012,8,inventory_member,元,standard unit of Chinese currency,approved,hsk26-zh+hsk26-en,project_authored,
gelement_cbf9606281d3493b8bbad441e6946592,hsk26-g1-013,1,inventory_member,杯,borrowed classifier for cupfuls or glassfuls,approved,hsk26-zh+hsk26-en,project_authored,
gelement_769a7798ae1a484f86bf20e35522ae8d,hsk26-g1-014,1,inventory_member,日,day of the month in formal dates,approved,hsk26-zh+hsk26-en,project_authored,
gelement_4ce8818bebbb46da991cae247bdc37b9,hsk26-g1-014,2,inventory_member,号,day of the month in ordinary speech,approved,hsk26-zh+hsk26-en,project_authored,
gelement_bce42ed3a863431e8ce38011cb40b803,hsk26-g1-014,3,inventory_member,岁,years of age,approved,hsk26-zh+hsk26-en,project_authored,
gelement_54383d00c9e040a18b0a8cc42d8f94ad,hsk26-g1-014,4,inventory_member,点,o'clock or hour point,approved,hsk26-zh+hsk26-en,project_authored,
gelement_faa0da1579d943abad220a0f61114147,hsk26-g1-014,5,inventory_member,分,minute,approved,hsk26-zh+hsk26-en,project_authored,
gelement_69c9b257acfc4f2f8d20a5181068aa5c,hsk26-g1-014,6,inventory_member,年,year,approved,hsk26-zh+hsk26-en,project_authored,
gelement_9178dcb4a70d491182a90ddbe7007557,hsk26-g1-014,7,inventory_member,天,day as a duration,approved,hsk26-zh+hsk26-en,project_authored,
gelement_141f9a2540d54bb992a3dd93b01779f5,hsk26-g1-015,1,inventory_member,非常,"very, strongly",approved,hsk26-zh+hsk26-en,project_authored,
gelement_eb0bf178e84f47e9ab0d0fbe7f2e47ee,hsk26-g1-015,2,inventory_member,很,very or neutral degree linker before an adjective,approved,hsk26-zh+hsk26-en,project_authored,
gelement_5d7de1cba7074c3fafc3146ad52142d8,hsk26-g1-015,3,inventory_member,太,"too or very, often with 了",approved,hsk26-zh+hsk26-en,project_authored,
gelement_f8845848e285413f8514f7b9dccb6429,hsk26-g1-015,4,inventory_member,真,"really, expressing the speaker's assessment",approved,hsk26-zh+hsk26-en,project_authored,
gelement_6130f48ca8e442a7bca55ec058976199,hsk26-g1-015,5,inventory_member,有（一）点儿,"a little, often for an undesirable degree",approved,hsk26-zh+hsk26-en,project_authored,
gelement_9e115b6cf8c14f5681980d7a833bd59a,hsk26-g1-016,1,function,都,"all or both, distributing the predicate over a set",approved,hsk26-zh+hsk26-en,project_authored,
gelement_79d5cb73c61e4f7a8d326c75ad3ab198,hsk26-g1-017,1,function,在,be in the process of,approved,hsk26-zh+hsk26-en,project_authored,
gelement_311e553831a34543813310c7c33904aa,hsk26-g1-017,2,function,正在,be right in the process of,approved,hsk26-zh+hsk26-en,project_authored,
gelement_b8665d534c154fe5b4bde3595424c9a0,hsk26-g1-018,1,function,再,"again, for a subsequent repetition",approved,hsk26-zh+hsk26-en,project_authored,
gelement_e8bc3d2e18334230a6acce1a31620d92,hsk26-g1-019,1,function,还,"also or in addition, adding another item",approved,hsk26-zh+hsk26-en,project_authored,
gelement_3fb8042e1ebb4a9dae3481700ac10540,hsk26-g1-019,2,function,也,"also or too, matching prior information",approved,hsk26-zh+hsk26-en,project_authored,
gelement_a60d56763edd4758adf9fc03bb12fd01,hsk26-g1-020,1,function,不,"not, for habits, states, choices, and intentions",approved,hsk26-zh+hsk26-en,project_authored,
gelement_ae55dd6f23c64d229debda563a429198,hsk26-g1-020,2,function,没（有）,"did not, has not, or does not have",approved,hsk26-zh+hsk26-en,project_authored,
gelement_0848f17eaaf44eb793d8cad80c47e684,hsk26-g1-020,3,function,不要,"do not, prohibiting an action",approved,hsk26-zh+hsk26-en,project_authored,
gelement_4de22919d2d44c9a8077d864b648637a,hsk26-g1-021,1,function,在,"at, in, or on, introducing a time or place setting",approved,hsk26-zh+hsk26-en,project_authored,
gelement_231cf6fc070548549013b3c5e8778a5c,hsk26-g1-022,1,function,和,"with, introducing a companion",approved,hsk26-zh+hsk26-en,project_authored,
gelement_eb332a8ff1534de5822d30ceb310e18d,hsk26-g1-022,2,function,对,"toward or to, introducing a target",approved,hsk26-zh+hsk26-en,project_authored,
gelement_e498f91673f64226b98be2a9dac0b18d,hsk26-g1-023,1,function,和,"and, joining words or phrases",approved,hsk26-zh+hsk26-en,project_authored,
gelement_9b24ead5baa4441dba26d9a9e642cda1,hsk26-g1-024,1,function,的,structural particle linking an attributive modifier to its noun,approved,hsk26-zh+hsk26-en,project_authored,
gelement_0e26489ecb7740a6a836ea4537dfb860,hsk26-g1-025,1,function,了,aspect particle presenting a bounded event as realized,approved,hsk26-zh+hsk26-en,project_authored,
gelement_ff8baf3e9fd2418481a45fac68dcc311,hsk26-g1-026,1,function,吧,softens a suggestion or command,approved,hsk26-zh+hsk26-en,project_authored,
gelement_8eaaf40fdfd046da939058da7452f7d3,hsk26-g1-026,2,function,了,marks a new situation or change of state,approved,hsk26-zh+hsk26-en,project_authored,
gelement_d1427939ada44d56b07a9d2be2d63987,hsk26-g1-026,3,function,吗,marks a neutral yes-no question,approved,hsk26-zh+hsk26-en,project_authored,
gelement_6d8fc2d31338471b85e14bd32c5395e6,hsk26-g1-026,4,function,呢,adds a natural questioning tone to a non-yes-no information question,approved,hsk26-zh+hsk26-en,project_authored,
gelement_05f2c1c21f5f413c84ff097ec9e5a5ed,hsk26-g1-026,5,function,呢,forms an elliptical follow-up question from the current topic,approved,hsk26-zh+hsk26-en,project_authored,
gelement_6e1a60abc4d14070a7ce18433cdb9382,hsk26-g1-026,6,function,呢,highlights that an action or situation is ongoing,approved,hsk26-zh+hsk26-en,project_authored,
gelement_1c6820a111df4063b7e43bbc9d54015f,hsk26-g1-027,1,function,喂,hello on the phone or hey to get attention,approved,hsk26-zh+hsk26-en,project_authored,
gelement_d3b7e732c22149f8a878c62c7e02922d,hsk26-g1-028,1,category,,phrase made from two or more parallel constituents,approved,hsk26-zh+hsk26-en,project_authored,
gelement_6568409fcccf4305be5dc259f7dc5734,hsk26-g1-029,1,category,,phrase in which a preposed modifier narrows or describes a head,approved,hsk26-zh+hsk26-en,project_authored,
gelement_32a436e8e63a4a8287c1a424f9759738,hsk26-g1-030,1,category,,phrase consisting of a verb followed by its object,approved,hsk26-zh+hsk26-en,project_authored,
gelement_1ccf20e7a20744f08a1bf3be2c6f6b58,hsk26-g1-031,1,category,,phrase containing an internal subject followed by its predicate,approved,hsk26-zh+hsk26-en,project_authored,
gelement_39be1f69e9334636950e34f51d80623f,hsk26-g1-032,1,construction,数词 + 量词,quantity phrase formed from a numeral and measure word,approved,hsk26-zh+hsk26-en,project_authored,
gelement_9c4a48936289472d87c9f7ac4ece82a7,hsk26-g1-033,1,construction,介词 + 宾语,phrase consisting of a preposition and its object,approved,hsk26-zh+hsk26-en,project_authored,
gelement_ba781e25e5c9448e8a46f90acd57e89d,hsk26-g1-034,1,construction,处所/物体 + 方位名词,relative-location phrase headed by a final location noun,approved,hsk26-zh+hsk26-en,project_authored,
gelement_336155e1e97e47d4867aef6ae177cdba,hsk26-g1-035,1,inventory_member,名词作主语,noun functioning as subject,approved,hsk26-zh+hsk26-en,project_authored,
gelement_13bcd1222d2b4141a300a9f0644af2d1,hsk26-g1-035,2,inventory_member,代词作主语,pronoun functioning as subject,approved,hsk26-zh+hsk26-en,project_authored,
gelement_0a67f613d91347dcbc76bce790ee760e,hsk26-g1-035,3,inventory_member,名词性短语作主语,nominal phrase functioning as subject,approved,hsk26-zh+hsk26-en,project_authored,
gelement_0060b621bc9c4bea8558ca495dcda8da,hsk26-g1-036,1,inventory_member,名词作谓语,noun functioning directly as predicate,approved,hsk26-zh+hsk26-en,project_authored,
gelement_3771007315904e76bc120a3ca4b75b2f,hsk26-g1-036,2,inventory_member,代词作谓语,pronoun functioning directly as predicate,approved,hsk26-zh+hsk26-en,project_authored,
gelement_f23390ccfceb4bc6b2018dce2553b9d5,hsk26-g1-036,3,inventory_member,数词作谓语,numeral functioning directly as predicate,approved,hsk26-zh+hsk26-en,project_authored,
gelement_ba76d5fd71884925a41142508a990c4d,hsk26-g1-036,4,inventory_member,数量短语作谓语,numeral-measure phrase functioning directly as predicate,approved,hsk26-zh+hsk26-en,project_authored,
gelement_1ec032ecc39a46b7baab34a526b7921d,hsk26-g1-037,1,inventory_member,动词或动词性短语作谓语,verb or verbal phrase functioning as predicate,approved,hsk26-zh+hsk26-en,project_authored,
gelement_12de4653eab84bb09a0697cd0d70ab85,hsk26-g1-037,2,inventory_member,形容词或形容词性短语作谓语,adjective or adjectival phrase functioning as predicate,approved,hsk26-zh+hsk26-en,project_authored,
gelement_71447aceffe74483856fd2df975de125,hsk26-g1-038,1,inventory_member,名词作宾语,noun functioning as object,approved,hsk26-zh+hsk26-en,project_authored,
gelement_028e92c3d3984fe690904f3f06fef5c8,hsk26-g1-038,2,inventory_member,代词作宾语,pronoun functioning as object,approved,hsk26-zh+hsk26-en,project_authored,
gelement_a753bb69506343c3a185837985a8a6e7,hsk26-g1-038,3,inventory_member,名词性短语作宾语,nominal phrase functioning as object,approved,hsk26-zh+hsk26-en,project_authored,
gelement_7ad4332f431347d39f8637ab247b62cd,hsk26-g1-039,1,inventory_member,名词性词语作定语,nominal expression functioning as attributive,approved,hsk26-zh+hsk26-en,project_authored,
gelement_6792a39db526460a9147472507d83723,hsk26-g1-039,2,inventory_member,形容词性短语作定语,adjectival phrase functioning as attributive,approved,hsk26-zh+hsk26-en,project_authored,
gelement_3cd62e2fb8f3470aad5da162e60036f5,hsk26-g1-039,3,inventory_member,数量短语作定语,numeral-measure phrase functioning as attributive,approved,hsk26-zh+hsk26-en,project_authored,
gelement_b5c61d54bdd047e983d3cb755804aae3,hsk26-g1-040,1,inventory_member,副词作状语,adverb functioning as adverbial,approved,hsk26-zh+hsk26-en,project_authored,
gelement_202ba6d8af424058a3e64f24eeda3d44,hsk26-g1-040,2,inventory_member,形容词作状语,adjective functioning adverbially,approved,hsk26-zh+hsk26-en,project_authored,
gelement_f09db3f2b04749cdba41b20a14ef6b06,hsk26-g1-040,3,inventory_member,时间词语作状语,time expression functioning as adverbial,approved,hsk26-zh+hsk26-en,project_authored,
gelement_d902d09928274808a7f57c2e14ce2f9e,hsk26-g1-040,4,inventory_member,处所词语作状语,place expression functioning as adverbial,approved,hsk26-zh+hsk26-en,project_authored,
gelement_61264ae401b145d2ac3a8e04f1c02f24,hsk26-g1-041,1,construction,动词 + 一下,verb followed by a one-time or brief-action complement,approved,hsk26-zh+hsk26-en,project_authored,
gelement_570bb8aec88b41a6aab59d9a131b0fb9,hsk26-g1-042,1,category,主谓句1：动词谓语句,subject-predicate sentence whose predicate is verbal,approved,hsk26-zh+hsk26-en,project_authored,
gelement_c17b2d9dae914028a5bd078908796f16,hsk26-g1-043,1,category,主谓句2：形容词谓语句,subject-predicate sentence whose predicate is adjectival,approved,hsk26-zh+hsk26-en,project_authored,
gelement_a9f5915116a0451ca6f4efbe49775f93,hsk26-g1-044,1,category,主谓句3：名词谓语句,subject-predicate sentence whose predicate is nominal,approved,hsk26-zh+hsk26-en,project_authored,
gelement_15fa1378a7a04f42a245629ed08fc3fc,hsk26-g1-045,1,category,,complete sentence not organized as an explicit subject followed by predicate,approved,hsk26-zh+hsk26-en,project_authored,
gelement_6fe0423659034c669ce944fba716458e,hsk26-g1-046,1,category,,sentence used to state information,approved,hsk26-zh+hsk26-en,project_authored,
gelement_bcb67b35e0e4417c96a4a39017eaeb16,hsk26-g1-047,1,construction,是非问句,question asking whether a complete proposition is true,approved,hsk26-zh+hsk26-en,project_authored,
gelement_91beea8e98ad4cc8875f7b61e310cf2c,hsk26-g1-048,1,construction,特指问句,question containing a word that identifies the requested information type,approved,hsk26-zh+hsk26-en,project_authored,
gelement_fba6462ed09d4e75b8d24bb09ba5007d,hsk26-g1-049,1,construction,正反问句,question formed by juxtaposing affirmative and negative predicate choices,approved,hsk26-zh+hsk26-en,project_authored,
gelement_8eb42fd503b6433b863ac05e64156496,hsk26-g1-050,1,category,,sentence used to request or direct an action,approved,hsk26-zh+hsk26-en,project_authored,
gelement_5f9017ec1902408f928a526ac09af488,hsk26-g1-051,1,category,,sentence presenting information with strong expressive force,approved,hsk26-zh+hsk26-en,project_authored,
gelement_023ddbdfaa5547ac8c084c7fdc8071bf,hsk26-g1-052,1,function,是,"copular verb marking identity, equivalence, or class membership",approved,hsk26-zh+hsk26-en,project_authored,
gelement_8d6da5f855fe4532a122111f858f9181,hsk26-g1-053,1,function,有,have or possess,approved,hsk26-zh+hsk26-en,project_authored,
gelement_b109789a94154c708fb7bb28b66ee4ea,hsk26-g1-054,1,construction,处所 + 是 + 名词,location-first identification of what is at that place,approved,hsk26-zh+hsk26-en,project_authored,
gelement_10a03f265ed34b6e96bdbb01028a8b03,hsk26-g1-055,1,construction,处所 + 有 + 数量短语 + 名词,location-first existential construction with 有,approved,hsk26-zh+hsk26-en,project_authored,
gelement_3f37492906d7467a8a4459e59bbc39a9,hsk26-g1-056,1,construction,动词短语1 + 动词短语2,serial-verb sequence whose second action is the purpose of the first,approved,hsk26-zh+hsk26-en,project_authored,
gelement_806720070f57489c8a0cfe99adc46a81,hsk26-g1-057,1,construction,动词短语1 + 动词短语2,serial-verb sequence whose first action is the manner of the second,approved,hsk26-zh+hsk26-en,project_authored,
gelement_ae30c784dfa743119e671d5c142bb21e,hsk26-g1-058,1,construction,主语 + 动词 + 宾语1 + 宾语2,verb followed by a recipient-like first object and thing-like second object,approved,hsk26-zh+hsk26-en,project_authored,
gelement_d0fb623a01fe4919b7218b33479ffb36,hsk26-g1-059,1,category,,multi-clause sentence whose relationship is inferred without a correlative linker,approved,hsk26-zh+hsk26-en,project_authored,
gelement_1d5f4d30470d479e87840416aa71bc0a,hsk26-g1-060,1,construction,……，也……,coordinate complex sentence adding a parallel fact with 也,approved,hsk26-zh+hsk26-en,project_authored,
gelement_5833ff2afdad4c84a88126ed6029713e,hsk26-g1-061,1,construction,……，还……,coordinate complex sentence adding another fact with 还,approved,hsk26-zh+hsk26-en,project_authored,
gelement_fab30cfa711444f3a7513679777f3819,hsk26-g1-062,1,function,了,dynamic particle marking completed or bounded aspect,approved,hsk26-zh+hsk26-en,project_authored,
gelement_592dd1d340a64895812be9c974a28f55,hsk26-g1-063,1,function,了,sentence-final particle marking a new situation or change of state,approved,hsk26-zh+hsk26-en,project_authored,
gelement_f609c5b1b9874977ac1a4f5dd6f47604,hsk26-g1-064,1,construction,在 + 动词,basic progressive construction with 在,approved,hsk26-zh+hsk26-en,project_authored,
gelement_e5d6d033fb554376aaac73acde128aec,hsk26-g1-064,2,construction,正在 + 动词,focused progressive construction with 正在,approved,hsk26-zh+hsk26-en,project_authored,
gelement_e77a0788e3884ec8b812ca8fc3c85510,hsk26-g1-065,1,construction,在 + 动词 + 呢,ongoing-action frame with 在 and final 呢,approved,hsk26-zh+hsk26-en,project_authored,
gelement_644bcc35b2964dc99edefc3f5e98b45c,hsk26-g1-065,2,construction,正在 + 动词 + 呢,focused ongoing-action frame with 正在 and final 呢,approved,hsk26-zh+hsk26-en,project_authored,
gelement_afad040d164d45c7a3e67745ca67dc73,hsk26-g1-066,1,construction,动词短语 + 呢,contextual ongoing-action construction marked by final 呢,approved,hsk26-zh+hsk26-en,project_authored,
gelement_0d3fcae3cb80440a8a9caad8e6978186,hsk26-g1-067,1,inventory_member,元,standard yuan unit in a money amount,approved,hsk26-zh+hsk26-en,project_authored,
