sentence_id,turn_order,locale,text,review_status,source_id,notes
hsk3_sent_zh_qa_004,1,en,Are you willing to join the competition?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk1_sent_zh_en_005,1,en,He has class in the morning and works in the afternoon.,legacy_unreviewed,legacy-runtime,
hsk1_sent_en_zh_005,1,en,We are going to the bookstore in the afternoon.,legacy_unreviewed,legacy-runtime,
hsk1_sent_zh_qa_005,1,en,Do you want to eat rice?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk2_sent_zh_en_005,1,en,Please open the door.,legacy_unreviewed,legacy-runtime,
hsk2_sent_en_zh_005,1,en,I wrote this character wrong.,legacy_unreviewed,legacy-runtime,
hsk2_sent_zh_qa_005,1,en,Can you play basketball?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk3_sent_zh_en_005,1,en,"Besides Chinese, I also study a foreign language.",legacy_unreviewed,legacy-runtime,
hsk3_sent_en_zh_005,1,en,We chat about news while walking.,legacy_unreviewed,legacy-runtime,
hsk3_sent_zh_qa_005,1,en,Did you send him the email?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk1_sent_zh_en_006,1,en,She buys clothes in the shop.,legacy_unreviewed,legacy-runtime,
hsk1_sent_en_zh_006,1,en,This restaurant is expensive.,legacy_unreviewed,legacy-runtime,
hsk1_sent_zh_qa_006,1,en,Are you at home?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk2_sent_zh_en_006,1,en,I bought a watch for Mom.,legacy_unreviewed,legacy-runtime,
hsk2_sent_en_zh_006,1,en,He ran for half an hour.,legacy_unreviewed,legacy-runtime,
hsk2_sent_zh_qa_006,1,en,Are you taller than him?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk3_sent_zh_en_006,1,en,She listens to music while doing homework.,legacy_unreviewed,legacy-runtime,
hsk3_sent_en_zh_006,1,en,This girl is not only smart but also warm.,legacy_unreviewed,legacy-runtime,
hsk3_sent_zh_qa_006,1,en,Are you interested in history?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk1_sent_zh_en_007,1,en,This apple tastes good.,legacy_unreviewed,legacy-runtime,
hsk1_sent_en_zh_007,1,en,He can speak Chinese.,legacy_unreviewed,legacy-runtime,
hsk1_sent_zh_qa_007,1,en,Do you have a phone?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk2_sent_zh_en_007,1,en,He is writing characters in the classroom.,legacy_unreviewed,legacy-runtime,
hsk2_sent_en_zh_007,1,en,The teacher lets the students come in.,legacy_unreviewed,legacy-runtime,
hsk2_sent_zh_qa_007,1,en,Have you been to China?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk3_sent_zh_en_007,1,en,This competition has not only students but also teachers.,legacy_unreviewed,legacy-runtime,
hsk3_sent_en_zh_007,1,en,He drove the car to the roadside.,legacy_unreviewed,legacy-runtime,
hsk3_sent_zh_qa_007,1,en,Do you finally understand?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk1_sent_zh_en_008,1,en,These cups are not expensive.,legacy_unreviewed,legacy-runtime,
hsk1_sent_en_zh_008,1,en,Please sit on this side.,legacy_unreviewed,legacy-runtime,
hsk1_sent_zh_qa_008,1,en,Did you see the teacher?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk2_sent_zh_en_008,1,en,These pants are black.,legacy_unreviewed,legacy-runtime,
hsk2_sent_en_zh_008,1,en,I have not read this book before.,legacy_unreviewed,legacy-runtime,
hsk2_sent_zh_qa_008,1,en,Did you open the door?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk3_sent_zh_en_008,1,en,I need to check the credit card.,legacy_unreviewed,legacy-runtime,
hsk3_sent_en_zh_008,1,en,"In order not to be late, I set off early.",legacy_unreviewed,legacy-runtime,
hsk3_sent_zh_qa_008,1,en,Do you need help?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk1_sent_zh_en_009,1,en,There are two books on the table.,legacy_unreviewed,legacy-runtime,
hsk1_sent_en_zh_009,1,en,I bought fruit today.,legacy_unreviewed,legacy-runtime,
hsk1_sent_zh_qa_009,1,en,Can your father drive?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk2_sent_zh_en_009,1,en,My hobby is playing soccer.,legacy_unreviewed,legacy-runtime,
hsk2_sent_en_zh_009,1,en,This bird flies very high.,legacy_unreviewed,legacy-runtime,
hsk2_sent_zh_qa_009,1,en,Do you buy things online?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk3_sent_zh_en_009,1,en,He finally solved this difficult problem.,legacy_unreviewed,legacy-runtime,
hsk3_sent_en_zh_009,1,en,Please put this pair of shoes into the box.,legacy_unreviewed,legacy-runtime,
hsk3_sent_zh_qa_009,1,en,Did you put the photo into the box?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk1_sent_zh_en_010,1,en,I do not want to drink milk.,legacy_unreviewed,legacy-runtime,
hsk1_sent_en_zh_010,1,en,My older brother does not like eating vegetables.,legacy_unreviewed,legacy-runtime,
hsk1_sent_zh_qa_010,1,en,Are you busy now?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk2_sent_zh_en_010,1,en,She runs very fast.,legacy_unreviewed,legacy-runtime,
hsk2_sent_en_zh_010,1,en,I walk from school to the station.,legacy_unreviewed,legacy-runtime,
hsk2_sent_zh_qa_010,1,en,Did you run yesterday?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk3_sent_zh_en_010,1,en,Please find this location according to the map.,legacy_unreviewed,legacy-runtime,
hsk3_sent_en_zh_010,1,en,I think this house is unsuitable.,legacy_unreviewed,legacy-runtime,
hsk3_sent_zh_qa_010,1,en,Do you think this method is simple?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk1_sent_zh_en_011,1,en,Mom is cooking.,legacy_unreviewed,legacy-runtime,
hsk1_sent_en_zh_011,1,en,What is her phone number?,legacy_unreviewed,legacy-runtime,
hsk1_sent_zh_qa_011,1,en,Do you want to go to China?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk2_sent_zh_en_011,1,en,We take a bus to the station.,legacy_unreviewed,legacy-runtime,
hsk2_sent_en_zh_011,1,en,She may be in the hotel.,legacy_unreviewed,legacy-runtime,
hsk2_sent_zh_qa_011,1,en,Do you think this clothing is good?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk3_sent_zh_en_011,1,en,I understand this city relatively well.,legacy_unreviewed,legacy-runtime,
hsk3_sent_en_zh_011,1,en,She answers the phone in the office.,legacy_unreviewed,legacy-runtime,
hsk3_sent_zh_qa_011,1,en,Did you meet with your colleague?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk1_sent_zh_en_012,1,en,Dad can drive.,legacy_unreviewed,legacy-runtime,
hsk1_sent_en_zh_012,1,en,I have Chinese class in the morning.,legacy_unreviewed,legacy-runtime,
hsk1_sent_zh_qa_012,1,en,Are you happy today?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk2_sent_zh_en_012,1,en,He came out carrying the schoolbag.,legacy_unreviewed,legacy-runtime,
hsk2_sent_en_zh_012,1,en,We will go to the mall in a little while.,legacy_unreviewed,legacy-runtime,
hsk2_sent_zh_qa_012,1,en,Do you know where the restroom is?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk3_sent_zh_en_012,1,en,She shows the menu to the guest.,legacy_unreviewed,legacy-runtime,
hsk3_sent_en_zh_012,1,en,I sent the notes to the class.,legacy_unreviewed,legacy-runtime,
hsk3_sent_zh_qa_012,1,en,Did you write the name clearly?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk1_sent_zh_en_013,1,en,We are going to the movie theater today.,legacy_unreviewed,legacy-runtime,
hsk1_sent_en_zh_013,1,en,They are all at home.,legacy_unreviewed,legacy-runtime,
hsk1_sent_zh_qa_013,1,en,Did you eat breakfast?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk2_sent_zh_en_013,1,en,"Please walk to the right, then to the left.",legacy_unreviewed,legacy-runtime,
hsk2_sent_en_zh_013,1,en,He is drawing a cat.,legacy_unreviewed,legacy-runtime,
hsk2_sent_zh_qa_013,1,en,Can you take the book out?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk3_sent_zh_en_013,1,en,"We will take the high-speed train first, then take a boat.",legacy_unreviewed,legacy-runtime,
hsk3_sent_en_zh_013,1,en,"He caught a cold, and his ears hurt a little too.",legacy_unreviewed,legacy-runtime,
hsk3_sent_zh_qa_013,1,en,Were you called to the office by the teacher?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk1_sent_zh_en_014,1,en,You may sit here.,legacy_unreviewed,legacy-runtime,
hsk1_sent_en_zh_014,1,en,It is raining outside.,legacy_unreviewed,legacy-runtime,
hsk1_sent_zh_qa_014,1,en,Do you have a girlfriend?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk2_sent_zh_en_014,1,en,This hotel is close to the airport.,legacy_unreviewed,legacy-runtime,
hsk2_sent_en_zh_014,1,en,How much is this pack of coffee?,legacy_unreviewed,legacy-runtime,
hsk2_sent_zh_qa_014,1,en,Do you like black tea?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk3_sent_zh_en_014,1,en,There is a park and a gymnasium near this house.,legacy_unreviewed,legacy-runtime,
hsk3_sent_en_zh_014,1,en,This place is not far from the subway station.,legacy_unreviewed,legacy-runtime,
hsk3_sent_zh_qa_014,1,en,Do you want to take the high-speed train?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk1_sent_zh_en_015,1,en,My room is big.,legacy_unreviewed,legacy-runtime,
hsk1_sent_en_zh_015,1,en,This steamed bun tastes good.,legacy_unreviewed,legacy-runtime,
hsk1_sent_zh_qa_015,1,en,Do you know that gentleman?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk2_sent_zh_en_015,1,en,I want to buy a plane ticket.,legacy_unreviewed,legacy-runtime,
hsk2_sent_en_zh_015,1,en,"Because he is tired, he does not want to move.",legacy_unreviewed,legacy-runtime,
hsk2_sent_zh_qa_015,1,en,Are you already ready?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk3_sent_zh_en_015,1,en,The server put the bottled water on the table.,legacy_unreviewed,legacy-runtime,
hsk3_sent_en_zh_015,1,en,We read the menu first and then order food.,legacy_unreviewed,legacy-runtime,
hsk3_sent_zh_qa_015,1,en,Did you ride the bike to the intersection?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk1_sent_zh_en_016,1,en,The weather is too hot.,legacy_unreviewed,legacy-runtime,
hsk1_sent_en_zh_016,1,en,You may read this book.,legacy_unreviewed,legacy-runtime,
hsk1_sent_zh_qa_016,1,en,Can you speak Chinese?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk2_sent_zh_en_016,1,en,There is a bed in that room.,legacy_unreviewed,legacy-runtime,
hsk2_sent_en_zh_016,1,en,"Although she is busy, she is happy.",legacy_unreviewed,legacy-runtime,
hsk2_sent_zh_qa_016,1,en,Do you want to go with me?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk3_sent_zh_en_016,1,en,I feel a little hungry and want to eat cake.,legacy_unreviewed,legacy-runtime,
hsk3_sent_en_zh_016,1,en,He just rode the bicycle back.,legacy_unreviewed,legacy-runtime,
hsk3_sent_zh_qa_016,1,en,Do you know this city?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk1_sent_zh_en_017,1,en,Will it rain tomorrow?,legacy_unreviewed,legacy-runtime,
hsk1_sent_en_zh_017,1,en,My younger sister is sleeping in the room.,legacy_unreviewed,legacy-runtime,
hsk1_sent_zh_qa_017,1,en,Are you watching TV?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk2_sent_zh_en_017,1,en,He has already come back.,legacy_unreviewed,legacy-runtime,
hsk2_sent_en_zh_017,1,en,Please give me the admission ticket.,legacy_unreviewed,legacy-runtime,
hsk2_sent_zh_qa_017,1,en,Do you often take the bus?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk3_sent_zh_en_017,1,en,He just received an email.,legacy_unreviewed,legacy-runtime,
hsk3_sent_en_zh_017,1,en,"If it is windy tomorrow, bring a raincoat.",legacy_unreviewed,legacy-runtime,
hsk3_sent_zh_qa_017,1,en,Have you been to the zoo?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk1_sent_zh_en_018,1,en,I saw the teacher.,legacy_unreviewed,legacy-runtime,
hsk1_sent_en_zh_018,1,en,I am going to China next year.,legacy_unreviewed,legacy-runtime,
hsk1_sent_zh_qa_018,1,en,Do you want to buy clothes?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk2_sent_zh_en_018,1,en,I am a little tired today.,legacy_unreviewed,legacy-runtime,
hsk2_sent_en_zh_018,1,en,I take the subway to the airport.,legacy_unreviewed,legacy-runtime,
hsk2_sent_zh_qa_018,1,en,Is the phone in the bag?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk3_sent_zh_en_018,1,en,This story happened in winter.,legacy_unreviewed,legacy-runtime,
hsk3_sent_en_zh_018,1,en,This painter lives by the sea.,legacy_unreviewed,legacy-runtime,
hsk3_sent_zh_qa_018,1,en,Are you reviewing math?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk1_sent_zh_en_019,1,en,He does not have a mobile phone.,legacy_unreviewed,legacy-runtime,
hsk1_sent_en_zh_019,1,en,This piece of clothing is a little expensive.,legacy_unreviewed,legacy-runtime,
hsk1_sent_zh_qa_019,1,en,Are you going to school tomorrow?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk2_sent_zh_en_019,1,en,The teacher has us read ten words.,legacy_unreviewed,legacy-runtime,
hsk2_sent_en_zh_019,1,en,He took the phone back.,legacy_unreviewed,legacy-runtime,
hsk2_sent_zh_qa_019,1,en,Do you like swimming?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk3_sent_zh_en_019,1,en,Her grades have always been good.,legacy_unreviewed,legacy-runtime,
hsk3_sent_en_zh_019,1,en,She divided the cake among four people.,legacy_unreviewed,legacy-runtime,
hsk3_sent_zh_qa_019,1,en,Did you deliver the takeout?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk1_sent_zh_en_020,1,en,This piece of clothing looks good.,legacy_unreviewed,legacy-runtime,
hsk1_sent_en_zh_020,1,en,The teacher is making a phone call.,legacy_unreviewed,legacy-runtime,
hsk1_sent_zh_qa_020,1,en,Is this apple expensive?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk2_sent_zh_en_020,1,en,I got this question wrong.,legacy_unreviewed,legacy-runtime,
hsk2_sent_en_zh_020,1,en,We are waiting for you downstairs.,legacy_unreviewed,legacy-runtime,
hsk2_sent_zh_qa_020,1,en,Did you do well on the exam?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk3_sent_zh_en_020,1,en,I worry I will be late today.,legacy_unreviewed,legacy-runtime,
hsk3_sent_en_zh_020,1,en,"After receiving the email, I reply immediately.",legacy_unreviewed,legacy-runtime,
hsk3_sent_zh_qa_020,1,en,Do you think this house is suitable?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk1_sent_zh_en_021,1,en,We eat rice at noon.,legacy_unreviewed,legacy-runtime,
hsk1_sent_en_zh_021,1,en,Those children are happy.,legacy_unreviewed,legacy-runtime,
hsk1_sent_zh_qa_021,1,en,Is your mother cooking?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk2_sent_zh_en_021,1,en,Why don't you take the subway?,legacy_unreviewed,legacy-runtime,
hsk2_sent_en_zh_021,1,en,These pants are white.,legacy_unreviewed,legacy-runtime,
hsk2_sent_zh_qa_021,1,en,Do you want to go abroad?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk3_sent_zh_en_021,1,en,This shirt is as large as that one.,legacy_unreviewed,legacy-runtime,
hsk3_sent_en_zh_021,1,en,He looks a little anxious.,legacy_unreviewed,legacy-runtime,
hsk3_sent_zh_qa_021,1,en,Have you heard this news?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk1_sent_zh_en_022,1,en,Is your father a doctor?,legacy_unreviewed,legacy-runtime,
hsk1_sent_en_zh_022,1,en,I want to watch this movie.,legacy_unreviewed,legacy-runtime,
hsk1_sent_zh_qa_022,1,en,Can you hear me?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk2_sent_zh_en_022,1,en,She is wearing red clothes and looks pretty.,legacy_unreviewed,legacy-runtime,
hsk2_sent_en_zh_022,1,en,I like kicking a ball; I do not like running.,legacy_unreviewed,legacy-runtime,
hsk2_sent_zh_qa_022,1,en,Did you write this character wrong?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk3_sent_zh_en_022,1,en,He rode the bicycle to the intersection.,legacy_unreviewed,legacy-runtime,
hsk3_sent_en_zh_022,1,en,These shorts are cheaper than those.,legacy_unreviewed,legacy-runtime,
hsk3_sent_zh_qa_022,1,en,Did you note the phone number in the notebook?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk1_sent_zh_en_023,1,en,My girlfriend studies at university.,legacy_unreviewed,legacy-runtime,
hsk1_sent_en_zh_023,1,en,We study at school.,legacy_unreviewed,legacy-runtime,
hsk1_sent_zh_qa_023,1,en,Do you want to take the train?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk2_sent_zh_en_023,1,en,We are waiting for you at the mall entrance.,legacy_unreviewed,legacy-runtime,
hsk2_sent_en_zh_023,1,en,Please walk forward for two minutes.,legacy_unreviewed,legacy-runtime,
hsk2_sent_zh_qa_023,1,en,Are you sitting on the left?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk3_sent_zh_en_023,1,en,I wrote the phone number in the notebook.,legacy_unreviewed,legacy-runtime,
hsk3_sent_en_zh_023,1,en,I returned the camera to Auntie.,legacy_unreviewed,legacy-runtime,
hsk3_sent_zh_qa_023,1,en,Do you need a credit card?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk1_sent_zh_en_024,1,en,The primary school student reads at school.,legacy_unreviewed,legacy-runtime,
hsk1_sent_en_zh_024,1,en,What are we eating at noon today?,legacy_unreviewed,legacy-runtime,
hsk1_sent_zh_qa_024,1,en,Are you seeing a doctor today?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk2_sent_zh_en_024,1,en,"When I was little, I often played basketball with Grandpa.",legacy_unreviewed,legacy-runtime,
hsk2_sent_en_zh_024,1,en,He bought three more books than I did.,legacy_unreviewed,legacy-runtime,
hsk2_sent_zh_qa_024,1,en,Do you like green?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk3_sent_zh_en_024,1,en,"If you have a fever, go to the hospital.",legacy_unreviewed,legacy-runtime,
hsk3_sent_en_zh_024,1,en,She practices a foreign language every day.,legacy_unreviewed,legacy-runtime,
hsk3_sent_zh_qa_024,1,en,Do you want to exercise at the gym?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk1_sent_zh_en_025,1,en,How much is this water?,legacy_unreviewed,legacy-runtime,
hsk1_sent_en_zh_025,1,en,His father works at a company.,legacy_unreviewed,legacy-runtime,
hsk1_sent_zh_qa_025,1,en,Does your family have a cat?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk2_sent_zh_en_025,1,en,"As soon as he gets home, he sleeps.",legacy_unreviewed,legacy-runtime,
hsk2_sent_en_zh_025,1,en,This piece of clothing is too long.,legacy_unreviewed,legacy-runtime,
hsk2_sent_zh_qa_025,1,en,Did you go to the airport yesterday?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk3_sent_zh_en_025,1,en,The environment of this neighborhood is quiet.,legacy_unreviewed,legacy-runtime,
hsk3_sent_en_zh_025,1,en,This credit card can no longer be used.,legacy_unreviewed,legacy-runtime,
hsk3_sent_zh_qa_025,1,en,Do you like this shirt?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk1_sent_zh_en_026,1,en,He cannot write Chinese characters.,legacy_unreviewed,legacy-runtime,
hsk1_sent_en_zh_026,1,en,Please give me tea.,legacy_unreviewed,legacy-runtime,
hsk1_sent_zh_qa_026,1,en,Do you like eating noodles?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk2_sent_zh_en_026,1,en,The meat at this restaurant tastes good.,legacy_unreviewed,legacy-runtime,
hsk2_sent_en_zh_026,1,en,I saw plane tickets online.,legacy_unreviewed,legacy-runtime,
hsk2_sent_zh_qa_026,1,en,Do you want to drink coffee?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk3_sent_zh_en_026,1,en,"After she was hospitalized, her health improved a little.",legacy_unreviewed,legacy-runtime,
hsk3_sent_en_zh_026,1,en,We saw pandas at the zoo.,legacy_unreviewed,legacy-runtime,
hsk3_sent_zh_qa_026,1,en,Did you show the menu to the guest?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk1_sent_zh_en_027,1,en,I want to study Chinese.,legacy_unreviewed,legacy-runtime,
hsk1_sent_en_zh_027,1,en,Is this your phone?,legacy_unreviewed,legacy-runtime,
hsk1_sent_zh_qa_027,1,en,Do you know his name?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk2_sent_zh_en_027,1,en,Can you turn on the computer?,legacy_unreviewed,legacy-runtime,
hsk2_sent_en_zh_027,1,en,She gives Grandma water.,legacy_unreviewed,legacy-runtime,
hsk2_sent_zh_qa_027,1,en,Can you understand this problem?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk3_sent_zh_en_027,1,en,We go to the zoo on the weekend to see pandas.,legacy_unreviewed,legacy-runtime,
hsk3_sent_en_zh_027,1,en,The manager is checking the work.,legacy_unreviewed,legacy-runtime,
hsk3_sent_zh_qa_027,1,en,Are you setting off today?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk1_sent_zh_en_028,1,en,That child likes singing.,legacy_unreviewed,legacy-runtime,
hsk1_sent_en_zh_028,1,en,I do not know that gentleman.,legacy_unreviewed,legacy-runtime,
hsk1_sent_zh_qa_028,1,en,Do you want to drink water?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk2_sent_zh_en_028,1,en,She writes characters pretty well.,legacy_unreviewed,legacy-runtime,
hsk2_sent_en_zh_028,1,en,I have already told the teacher.,legacy_unreviewed,legacy-runtime,
hsk2_sent_zh_qa_028,1,en,Do you want to buy a plane ticket?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk3_sent_zh_en_028,1,en,He turned off the computer.,legacy_unreviewed,legacy-runtime,
hsk3_sent_en_zh_028,1,en,He wrote the name very clearly.,legacy_unreviewed,legacy-runtime,
hsk3_sent_zh_qa_028,1,en,Do you feel afraid?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk1_sent_zh_en_029,1,en,My older sister is twenty this year.,legacy_unreviewed,legacy-runtime,
