grammar_note_id,grammar_lesson_id,grammar_element_id,note_order,note_kind,text_en,review_status,notes
gnote_dce3879673c045a4bc8c3532897ad067,glesson_ba7347a31d784cbca5182e1d566478fe,,1,usage,正在 is more explicit and emphatic about the action being underway at the reference moment.,approved,
gnote_685b8d3e7c28480cbed6f21ec83d19be,glesson_25b211801b454d9ba2a99a519ff3d998,,1,usage,A time expression such as 明天 can clarify when the later repetition will happen.,approved,
gnote_ae73e51817ee464dabee784d23b6aa23,glesson_7fb2f8481a4c4d02942993747c989fcc,,1,pragmatics,Both depend on prior or understood information; the sentence presents something as additional rather than isolated.,approved,
gnote_1eaf36df764d4318b8ad880a5d4e7374,glesson_8045fc9617b844d1bea15d13eeab2498,,1,constraint,Completed-event negation uses 没 without perfective 了.,approved,
gnote_5705716323274d589d422d9004348d5f,glesson_774188c53155422ea5f9f9d9176814f4,,1,constraint,Keep the 在 phrase before the main action in this beginner pattern.,approved,
gnote_2c7154fd3a0543d699ae2126684c0a51,glesson_74aaea9ca06346b8b9c1126fb6e0915e,,1,formation,Both prepositional phrases normally appear before the main predicate.,approved,
gnote_d4a1f9f4d16c448b9351ca11ae74b24b,glesson_0e77d991e9a346519efa66a6c5882497,,1,constraint,"A and B should be grammatically parallel, such as two nouns or two noun phrases.",approved,
gnote_85c157f89aa84766a95365f0bef85407,glesson_a74fcd39ad2c4fb59a14ed3cf69e5f45,,1,usage,"The modifier can be a pronoun, noun, or descriptive phrase.",approved,
gnote_0c9fccb5667e42fd823f190f31dfc3ee,glesson_1a09481348024cffac4caba31e71ccb6,,1,constraint,Negate a nonoccurring completed event with 没 and normally remove perfective 了.,approved,
gnote_a28c19aae1aa44c09fa5d484f4554b5f,glesson_5a0310b4cf854089997508807c121c78,,1,constraint,The syllabus indices distinguish functions; they are not pronounced and are not written in the Chinese sentence.,approved,
gnote_bada858cc8f34a56a8782a361f379d48,glesson_b94351c5fad2413b9981abea6bd8ba95,,1,pragmatics,"Intonation and context determine whether 喂 sounds neutral, urgent, or abrupt.",approved,
gnote_ae8a73ae4b2742aba3479e87b20f74b9,glesson_8a50ad5ec1cf47199bad98e7b15fbbfb,,1,usage,Nouns commonly use 和; compact paired expressions can occur directly side by side.,approved,
gnote_d79d778f9ce440cdb4c333a1fbabd57a,glesson_2168b15d20824e47b75dfa55e28dbf3b,,1,formation,The head carries the phrase's basic category; the earlier material modifies it.,approved,
gnote_8006a3624946448ebef888eb466064e9,glesson_1fc581dad530442fa886235a4e4f7d9d,,1,usage,A verb-object phrase can function as the predicate or as part of a larger construction.,approved,
gnote_7222bd681c9744e5a54a58602d96fb4d,glesson_4d919eed7b9347febdef9633d1781586,,1,usage,Identify the internal relationship first: who or what is the predicate about?,approved,
gnote_ac8609eac66f460ebeb3d9a97bc66acf,glesson_550e903fb0ab4a659570c5c0220af87d,,1,formation,The numeral and measure word form a unit before the noun.,approved,
gnote_ccbd8224349d4306a63f94200ce4c5fc,glesson_627f84e67bba43b397e2c78ba24d0683,,1,usage,"At HSK 1, the complete phrase normally precedes the main action.",approved,
gnote_2b761aef07c1482f87ff577762fc9f6d,glesson_9a5f822d74fe4c839e358a1bc3acfd9b,,1,usage,The resulting phrase can follow 在 or serve as the place before 有.,approved,
gnote_e7507595df244dd6b161b2c8169fe6e0,glesson_29e6003d76324040b5569af989f757da,,1,formation,The subject normally precedes the predicate in the neutral order.,approved,
gnote_46da22573d864f40bdbacc2bea7c9328,glesson_4eb138b94d8f4d2995ed9c5d082a8f28,,1,usage,"Common HSK 1 nominal-predicate domains include dates, weekdays, age, and measured values.",approved,
gnote_89b6e4e8565c4828a1692351263653eb,glesson_a7ca54ff385649f5a6c3f1bfa66f4cba,,1,formation,Place either predicate type after the subject in the neutral simple sentence.,approved,
gnote_73ec6f0bc9a3424cb83ff7529834815b,glesson_537d191c1b5c4bb596cb5b0152173131,,1,formation,"Identify the verb first, then ask what or whom it directly selects.",approved,
gnote_d1fa955a86a8404ab964b7d87c43c4c7,glesson_27ecd777a2564adaafe8770a1d6b61ba,,1,formation,The attributive and head noun form one larger nominal phrase.,approved,
gnote_606695fc176c4c80bd4d9d439076487b,glesson_fc44a931c80d4e79b32a28b5c7e4c29c,,1,formation,"Order broad time before place, then place the most tightly linked adverb near its predicate.",approved,
gnote_5a9cd7d716b44272b2ce6ab4c8ec4896,glesson_59f6ebf93bea45fc8fd173609a6b93f7,,1,pragmatics,"In requests, 一下 can reduce the weight of the command without removing its action-measure meaning.",approved,
gnote_9b7e37c6926d497080051f0107d238fb,glesson_d3d1433d431346659fad3a64d2d182b4,,1,usage,This is a sentence classification based on the predicate's grammatical type.,approved,
gnote_65a85bfb4faa4d4c8d940aded57d73ab,glesson_65cef66ccadb4bda94ba9c6ba8ee5533,,1,pragmatics,A bare adjective can sound contrastive; 很 often gives a neutral descriptive reading.,approved,
gnote_0548ec63f8114e4aa6bd6cd9fd72308f,glesson_605ba97eb84f4d5980bf26497ddab505,,1,constraint,Use this construction only in established nominal-predicate domains at this level.,approved,
gnote_302d973e954d4198995adc600284d17f,glesson_30e3fcafb95040e2a6f3deee108b10e8,,1,usage,"Weather statements, calls, and short situational expressions commonly use this form.",approved,
gnote_5a2bf3aac134465280b35b452049a751,glesson_516cbfcecf1e41348048f4929d6e3627,,1,pragmatics,A declarative normally presents its content for the listener to accept as information.,approved,
gnote_6598641e95074952a943c7637ef67b83,glesson_09d85cc1ba6e4814b12be153e06f304c,,1,formation,No subject-verb inversion occurs.,approved,
gnote_6d43c409dcd145628ebe7c969e7460d4,glesson_c64087e117dd44169bd7781d5af92a73,,1,constraint,A specific-information question normally does not take final 吗.,approved,
gnote_5bde8e984ce948589248e07040974173,glesson_9cce8dd18eab4193b8fd140c593e243a,,1,usage,The answer can repeat the positive predicate or give its negative form.,approved,
gnote_bbeaebff213842df8b3da64fc4d4a991,glesson_53b9d25d39a241d0a380f9f6971ed5b3,,1,pragmatics,The understood subject is often the person being addressed and need not be spoken.,approved,
gnote_fa9b197014904215b8ed036686efa5c7,glesson_9529a9ee5dd346bcb03610816cefc5c7,,1,pragmatics,Degree words and intonation commonly carry the speaker's evaluation.,approved,
gnote_e75e673ec0fc4dcba4bb64863d54817e,glesson_7e7ea63f64d44d4882dfecb1f9a1b809,,1,constraint,Negate this pattern with 不是.,approved,
gnote_dc4ff64022db4bccbbaf608483aaa834,glesson_cd34aec214fe4a9cabbf2f3af75c073c,,1,constraint,Use 没有 before the possessed item for the negative form.,approved,
gnote_a2ae6e22975642a48a33408bcb6de985,glesson_a969cfb59bc94ffe9e4cfe7d987bed9c,,1,usage,This pattern identifies the entity at a known place; the following 有 pattern instead presents an existing quantity.,approved,
gnote_94ffda16087f442d8cab2707364bb81d,glesson_2591dabcc1884f9abb97f4a2f22ff0b6,,1,pragmatics,The entity after 有 is typically new information and often has an indefinite quantity.,approved,
gnote_49a34ccf611b49c6a35f3c2f83bfb427,glesson_da3d25b747b946389f9953cd5238b2f2,,1,constraint,Do not add a conjunction between the two verb phrases in this basic construction.,approved,
gnote_7ee8b04ad302483e9e8a6a58e0374b94,glesson_63b7cbccafa74b23bbd5aa16e6d062da,,1,usage,Transport expressions such as 坐出租车 and 开车 commonly supply the manner of 去 or 来.,approved,
gnote_b28d36e2a2d44981959d1678b1a37322,glesson_48a062355f864c48b758a0b01ef35199,,1,formation,Both objects belong to the same verb; no second 给 is needed in this basic pattern.,approved,
gnote_9e660f79615e4430b9f477e74f2bd6ca,glesson_2d8af7f2d3cf4844a8b8092c733e4ae6,,1,pragmatics,"A natural time, cause, or event sequence lets the listener infer how the clauses connect.",approved,
gnote_cd6dd278dbfa409b923f33c1b091a21c,glesson_db21663d6ac94570a7bf0deebcd4c748,,1,pragmatics,The repeated or understood comparison creates the parallel reading.,approved,
gnote_d3c7f60bbfa6464f97af93da0187c55a,glesson_2232c0c8bc1142afa9218cd5d1ed8c8b,,1,pragmatics,"还 often feels like 'and in addition,' so the second clause expands the information rather than merely matching it.",approved,
gnote_8e1886b1d34b44e6a258b4d9d3f33ff3,glesson_1c532271cd2640b49271c5a329873b24,,1,constraint,Use 没 without perfective 了 to deny that the event occurred.,approved,
gnote_3adc1ea13f184cd0ac216df41a0a1c9c,glesson_e905b001675443aca8517dd361e94872,,1,pragmatics,Context supplies the earlier state against which the change is understood.,approved,
gnote_fe28409ac0a44875af7ceed1035b66b5,glesson_36fbed7cb60f418fb1fcde9d82fc8d3c,,1,constraint,"Progressive aspect is suited to ongoing activities, not every state or identity predicate.",approved,
gnote_dea730f61fcb4e9e971bb74d6ce0cbb8,glesson_f5920fa0a3c042a48c647c76dd37c313,,1,usage,正在 is the more emphatic preverbal choice; both variants can close with neutral-tone 呢.,approved,
gnote_95487de7d0674dc797dba4b8f93ecea1,glesson_21bd039e25d64151956190fa42876f2f,,1,pragmatics,This compact form is especially natural when answering what someone is doing or correcting an assumption.,approved,
gnote_60dc76618afb4e0595aaadf8a1217c37,glesson_7152d114a79049a4993f58b6c7847994,,1,usage,A price can serve as a direct quantity predicate after the item being priced.,approved,
gnote_f51effb0073a44e8ad790fc8d0e929a7,glesson_945b84d2096b4309acee40e0e2adbc2b,,1,formation,The tone of 一 remains first tone in the ordinal number 第一.,approved,
gnote_45d3cebcd6504985b32948d091a7fb62,glesson_558b9ebc01934fa89f4eecfe76570426,,1,formation,Read the digits of a year individually; read month and day numbers as ordinary cardinal numbers.,approved,
gnote_c8f41575c76947799839efb61435923f,glesson_8e74d0cdc0324dcaa7ace1d175619c98,,1,formation,"When the minute value is understood in ordinary speech, 分 may be omitted, but the full HSK 1 formula keeps it explicit.",approved,
gnote_c0833ff0a0974f538dd00c51bf5ade3a,glesson_b8e097ea884c4549b8f6422ad2a796a0,,1,formation,"The direction and 面 form a single location word, such as 里面 or 后面.",approved,
gnote_38e2e00ee2d24cdab177efbb2989b204,glesson_8b0a999cf2e14b5ca047ac7de31d2997,,1,formation,Add 边 when naming a relative location: 左边 or 右边.,approved,
gnote_5b62909fc6674c408b7425bc1cd12e50,glesson_a91ecbb9ff784ac392a137fb2dbd5cdf,,1,usage,"AA, A一A, and ABAB commonly soften requests or suggest trying an action.",approved,
gnote_94a8f97620a94cbe9509fa93ee06dd6a,glesson_a91ecbb9ff784ac392a137fb2dbd5cdf,,2,usage,A了A reports that the brief action was actually carried out.,approved,
gnote_68e3c7d740d94c75bbcce0bc8d593938,glesson_9e1e81c523f44c8cbc6c147e92033433,,1,formation,可能 normally comes before the verb or adjectival predicate it qualifies.,approved,
gnote_de25a51ed2424cc5912d0acb3a99b157,glesson_9154adcdd1eb445d81f9f1b9e0f52031,,1,usage,"The four syllabus items are 帮忙, 游泳, 跳舞, and 跑步.",approved,
gnote_2bc1174f20db47778c13f1c13b079cff,glesson_9154adcdd1eb445d81f9f1b9e0f52031,,2,formation,"A classifier can enter the word, as in 帮一个忙.",approved,
gnote_947fc982e0834ffc9de1b6ed99109842,glesson_5e7829e104354662a78adeb2b1d2dff9,,1,constraint,Do not add 吗 to a question already formed with 为什么.,approved,
gnote_538eb133ba064ea3b7537515c29a60f9,glesson_80527658633340f598660551f1dd2e41,,1,usage,"Before a verb, 自己 can emphasize doing something without another person's help.",approved,
gnote_8fbeea98136f4995bf98920b8418ab92,glesson_80527658633340f598660551f1dd2e41,,2,usage,"Before 的 + noun, 自己 identifies something belonging to the relevant person.",approved,
gnote_b591854b4c13434e9be113e14988388c,glesson_125dc9b62eb74fe4bbc800701647cd66,,1,usage,这么 and 那么 commonly modify degree; 这样 and 那样 commonly point to a way of acting.,approved,
gnote_7b83870bc4b642b589da02a4e62ba044,glesson_cd8068aa406c4cf9973d0172420ae334,,1,formation,Use 的 when the reduplicated phrase describes a noun or forms a descriptive predicate; use 地 before an action.,approved,
gnote_252470baf7dd4dce82a015ad1d4ac2e5,glesson_44413e91370f40a69c2f6302b2076397,,1,usage,万 is an exact place-value unit; 好多 and quantity 多 can leave the exact amount open.,approved,
gnote_5b8dfdd17c194a948b85ae6c74e00e30,glesson_48ee165d96084cee99e07d3fc899fa39,,1,formation,Place the classifier between a number or demonstrative and its noun.,approved,
gnote_327161319466450dac38ec418e5d330c,glesson_7120c20f6c874ce5b1af39be029dfd59,,1,usage,The noun naming a package is borrowed into the classifier position.,approved,
gnote_6eb73e79db074fccbb6b79b783a1b923,glesson_2ada6849a2bc4a1f9e2abad367cf7408,,1,formation,"Use 两次, not 二次, for two occurrences in ordinary speech.",approved,
gnote_683b8c77d3694c4fb847b3ed5b4c278a,glesson_1f5b7591c8de4534a071d4e868fa3f63,,1,usage,多 and 好 are expressive here; 最 makes a superlative comparison.,approved,
gnote_c5f263ed96904623aa0666a4d74ee06e,glesson_c9eb971d6b9c48a191b9422e545b52e3,,1,usage,The participants may be a plural subject or be established by context.,approved,
gnote_e8323e857fb64bf39932035b135ede86,glesson_32b7676dc1714d9390f46157a5251722,,1,usage,有时 and 有时候 are interchangeable short and full forms in these examples.,approved,
gnote_258b8f6a2aac4650a65adc21bf8fc4f6,glesson_32b7676dc1714d9390f46157a5251722,,2,formation,"正 commonly combines with 在 or final 呢, but it can also stand directly before the verb.",approved,
gnote_82377b5237eb4ef1bbc22f8fd4d0bd10,glesson_8b5643c69b5541b087e6806ecef94f7e,,1,usage,常 is shorter and can sound slightly more compact; 经常 is common in neutral speech.,approved,
gnote_abd1b2dbb06842beac57cc6ca69d8701,glesson_8b5643c69b5541b087e6806ecef94f7e,,2,usage,The reviewed examples use 经常; 常 remains an explicitly listed member of the official grammar inventory.,approved,
gnote_f5ece8fdb2694d41af57dc604fb7fcf6,glesson_6eec0008af9b4d6fbc582149b6303e6e,,1,pragmatics,Adding a subject can make the intended listener explicit; context often makes it unnecessary.,approved,
gnote_4c868af4c7dd45478f09d798b19683ca,glesson_645bec7bf7d34fab8a8a2dd3559217e8,,1,usage,These indexed functions connect events; 再1 elsewhere can simply mean 'again.',approved,
gnote_d1b6d71d763a4c668749c7ad4544899e,glesson_527c85c04e5b411f83b5db806dc52df8,,1,usage,The syllabus numbers distinguish these discourse functions from earlier or connective uses of the same surface forms.,approved,
gnote_40b401f2799e4bcabe8c95189fbb2912,glesson_55984ca37edd412280de4d44daaa9275,,1,formation,A complete range can use 从……到…… for its beginning and end.,approved,
gnote_37181a93b0904f459fe5d5308cd9af7d,glesson_6d2bab0c242a402a809aabb3179c3e00,,1,formation,"Direction words such as 前, 左边, or 里面 can follow 往.",approved,
gnote_66eadae7e2684ecb9d440192e28079b0,glesson_5e8e696279814a90be92d5a941dd0a09,,1,usage,Directional complements such as 过来 or 过去 can make the movement perspective explicit.,approved,
gnote_3879e8fc7cf54d98bb34a87e728809ec,glesson_77963a8dd549420597887a52f0701f48,,1,usage,Context and word order distinguish prepositional 给 from the independent verb 给 'to give.',approved,
gnote_999c23932e08475c871ef4234247c65f,glesson_a0dc28dcfc874f248315ca3e394ff720,,1,constraint,Do not add 是 before a simple adjectival result such as 高 or 冷.,approved,
gnote_a92aab3adb25441d90e86caadeb45648,glesson_db995a72a5ac4c5b855161e5e39a7d72,,1,usage,一起 can be added when the meaning is explicitly joint participation.,approved,
gnote_214eeb6abeb5496bb1f68468e16e5bd4,glesson_46b84a7de49e4772a750a61d5bec8cc9,,1,formation,The reason phrase stays integrated with the main subject and predicate.,approved,
gnote_ba8c69f6e40a4df9bdf0b30c28f42162,glesson_77b3c6754a5e4c1d97dc166a76a2db8d,,1,constraint,"At this level, use 跟 to join words or phrases, not two independent clauses.",approved,
gnote_25685182a67343489130b2be9698e245,glesson_b49ce6a5128c454fa3be3acb1540abf7,,1,usage,但 is a shorter counterpart of 但是.,approved,
gnote_ac2e7bb3d31f4c0c839ea8551acd43ee,glesson_b49ce6a5128c454fa3be3acb1540abf7,,2,usage,"虽然 commonly anticipates a contrasting second clause, while 因为 commonly anticipates a result.",approved,
gnote_2e6ef55e15894a4fa83cb95bfacf24cf,glesson_15acb1d75c46459f99b079ced557b9b0,,1,formation,Their opposite positions around the verb reflect their different grammatical jobs.,approved,
gnote_ba607b1d9dbb448b9fd6c486954a89a0,glesson_e8f9265e5c9d4c4f8dcdc6d045857372,,1,constraint,"In a negative experience statement, use 没 + Verb + 过.",approved,
gnote_1e24ccd19e014495a7fc7f25204bb9d1,glesson_8b55af09f88745a6af81c4cde9573d68,,1,usage,The surrounding verb determines whether the continuation is understood mainly as a state or an action.,approved,
gnote_e80c90e358eb43c48725fcb300448471,glesson_ae778daeb15447bea503c3e2bea7e4a2,,1,usage,吧2 differs from suggestion 吧1 because it asks the listener to confirm an assumption.,approved,
gnote_cf2a5adb8be04cd083607de4a9723478,glesson_ae778daeb15447bea503c3e2bea7e4a2,,2,usage,Sentence-final 的2 does not modify a following noun.,approved,
gnote_52c38034fd2e4f36a67e5b323487abfe,glesson_36e95abd2250415aa183464effa23390,,1,usage,Result complements and 得-complements are two HSK 2 examples of this broader structural category.,approved,
gnote_c53f8718b5824b598597a34be40e1e6d,glesson_36e95abd2250415aa183464effa23390,,2,formation,The complement follows the verb it completes or describes.,approved,
gnote_40e5bd71a8254370ad9c3dfc64b3795d,glesson_bee3f7b4aa384c42b6795c0adb6d56f9,,1,usage,"The modifier may describe a property, possessor, or action associated with the understood noun.",approved,
gnote_128c78189faa4547a35e948be543b83e,glesson_5de2d33fd67d4f0ea3f7855d4e242d82,,1,formation,The first action may enable or provide the setting for the second.,approved,
gnote_beaa6f4ec1184934aac3f91d6ceec860,glesson_6d88ea2c75964933848765ca878452de,,1,usage,"Common HSK 2 first verbs in this pattern include 请, 叫, and 让.",approved,
gnote_65389f0f40be4da79ba53db1d0686b62,glesson_d7e5255c5b514cceb4c30bfa044800dd,,1,usage,Nominal phrases can identify people or things and can occupy subject or object position.,approved,
gnote_2c2416a65b6f4b0298f4d698a8a628ba,glesson_5bedc574f1b04b7d8102149208a70c88,,1,usage,Verbal phrases range from a verb-object unit to a longer sequence with time or aspect material.,approved,
gnote_5d76ad2e67c142b89b10c14db1fcef97,glesson_20fbb3d2482a4bb1b9e153a9ad33fbdf,,1,usage,An adjectival phrase may be a predicate or may modify a noun with 的.,approved,
gnote_53888ccaabcf4b5d84b7c7b576a8f06e,glesson_e3981bef253e46c48e9f20daecf6002f,,1,pragmatics,The expression is common in informal speech and keeps the remaining items deliberately vague.,approved,
gnote_96a1d2d610744bd293bf537f8c66022c,glesson_1c115b4f31ce47338c90eacee08d91c1,,1,pragmatics,The construction often implies that another option was considered and set aside.,approved,
gnote_1026049f57f347d6b68ca96e287bd087,glesson_05bde99c7379415a9e1067abc6f1e4ce,,1,usage,快要 emphasizes closeness; 就要 often adds a sense of immediacy or a known schedule.,approved,
gnote_b62511c862544e6c9a50c0dd35ad7db1,glesson_5029adfdc6f545af98383219c99bfa91,,1,pragmatics,The pattern often prepares a reaction to the lateness or extent of the situation.,approved,
gnote_d197ae4ffe4340e7926848d0bf668c45,glesson_badca6da43d5461281a859c1d488ba49,,1,usage,This word order is natural when the affected item is already known or is the main topic.,approved,
gnote_b0d17af3c3884873b8726669d89fad73,glesson_9ef8d5cea59d47638f54e8f4a61765e1,,1,usage,Time and age expressions are especially common nominal predicates at this level.,approved,
gnote_eded28183d0b4eb9b639b709af316329,glesson_8f0d645b2a3f4c93abb66903f3c5558f,,1,formation,A verbal modifier has no expressed internal subject; a subject-predicate modifier includes its own subject.,approved,
gnote_3b6f7d8ba78c4829af826c674f974f6c,glesson_47f3b0ed04bf4a36a6956dd0695c632a,,1,usage,"Choose the complement for the result: error, comprehension, readiness, acquired skill, or completion.",approved,
gnote_412697eb66bc4318ae79ad11999a8fdf,glesson_01b862ef28b441d2bc831c4224c8cc4a,,1,usage,The same physical action can select 来 or 去 when the conversational viewpoint changes.,approved,
gnote_fe4357e5e4e4459b930b21297b706147,glesson_f31d698d638445f1a9feb41d157fe04b,,1,usage,The six complements encode distinct paths; later compounds add 来 or 去 for viewpoint.,approved,
gnote_4557f93b08544f3b83fff1a515262cea,glesson_ee41e6416f824d27b1eb8c57691de21b,,1,usage,起来 lexicalizes the upward movement without a contrasting 去 form in this inventory.,approved,
gnote_414451b4c6e64d1e91034f1231f6c4ad,glesson_ede1b62f33a6494a85014b585331b428,,1,formation,"With an object, a common order is Object + Verb + 得 + Description, as in 汉语说得很好.",approved,
gnote_4ad2d7cd78ee475da226ce35b645f294,glesson_c3771e2abd7742728367260732b013c7,,1,formation,Simple intransitive actions can take the duration directly after the verb.,approved,
gnote_9933557f26dd40fd9bb71734164e9d6b,glesson_ffbf32e9af2f483ea949c0ad313f0001,,1,usage,"Age, price, and small degree differences commonly appear in this structure at HSK 2.",approved,
gnote_1ee32f4d5f974a109aaf2bac3b408b1f,glesson_a6853982d0af406fa888be25a7d45bd3,,1,usage,Body-part descriptions are common: the person is the topic and the body part is the internal subject.,approved,
gnote_73b77362f07041acb809610436dd0e86,glesson_52acdf2be231401cb6641db150ed1b78,,1,formation,Repeat the verb when the alternatives involve different complete actions.,approved,
gnote_55d037c6f5ef463ca917b9e6038f8fd3,glesson_b26122dc1f28458583e65e8d71623385,,1,pragmatics,"Tone and context determine whether the sentence sounds like advice, a warning, or a firm command.",approved,
gnote_4010c2ff09074ac0b49207901d38f6e0,glesson_a35f4c8b3a7545ddbd5495e9946d2dd3,,1,usage,A color phrase ending in 的 can serve as the descriptive expression after 是.,approved,
gnote_18a1af0afa024d72b2f2bc8be5b26150,glesson_a7c3f16190ef479f9dc90866f0f19fd3,,1,usage,The pattern commonly describes an activity that began earlier and remains relevant now.,approved,
gnote_ac916cb7625b484fa30cd72a7c150aaf,glesson_8406c000714148ed93355a655ae380e4,,1,formation,The post-verbal noun phrase is often indefinite because the sentence introduces it into the discourse.,approved,
gnote_c86d4148e2c34a4daeb638e9f246b4c9,glesson_8cd3774517fc4724be7340812ecbe749,,1,formation,A and B should be comparable in the property named by the adjective.,approved,
gnote_e4b438bc12974124a71f5e75970e9043,glesson_3eb252ea7d424841a3152d08aa6cc546,,1,usage,Use an exact measure such as 两岁 or an approximate degree such as 一点儿.,approved,
gnote_41877059cfba40518c59f6f4854799a1,glesson_6ef576543f8541009ddc1864bf774cfb,,1,usage,这么 and 那么 make the referenced degree more explicit; context guides the deictic choice.,approved,
gnote_2ec5f93d6d1a492aa501206f17bfd77b,glesson_0d882781e8774e09858c603addc4ffee,,1,formation,Keep 得 immediately after the performance verb in either variant.,approved,
gnote_4145aa4e6de9468c94416dcd0372e19b,glesson_ffe80b1988b84769a16676ccb04b2e61,,1,usage,"The focused material can be time, place, manner, or the event's doer.",approved,
gnote_fd8509cdb88f49d0b23dccb820edb004,glesson_ffe80b1988b84769a16676ccb04b2e61,,2,constraint,Do not use this focus frame for an event that is merely planned and not yet realized.,approved,
gnote_f7613f8308684447aa3ca8a7ef521b97,glesson_1498a4583ff14c99892cf06f0b72f6e6,,1,pragmatics,"请 is polite, 叫 commonly conveys telling, and 让 can mean either allow or cause depending on context.",approved,
gnote_892f62f586c94c7aa50b33cd16867efe,glesson_993586dc6e8f4916b41298d63695c08d,,1,formation,This order differs from prepositional 给 + Person placed before an unrelated main verb.,approved,
gnote_636f4636fb914edebde4bac298513923,glesson_68db8b2f6deb4411af949bf10e1bb513,,1,usage,The initial 是 can frame the contrast but is not required when the alternatives are already clear.,approved,
gnote_d59e16b286234e999307ae3e9e5407f8,glesson_03c64f5939e34fb5ae2e9318a50693cf,,1,usage,"但 may replace 但是 in a more compact version, but the full paired format is the target here.",approved,
gnote_c4a8e47471084b118d4adc12f0ced605,glesson_cd8a7497afe54bbeb49b0343599ed9ec,,1,usage,"In context one connector may sometimes be omitted, but the full paired construction displays both roles clearly.",approved,
gnote_e786588634a6427fa75d0fb70aa506a6,glesson_6f0127d426cf4bf68701631287733166,,1,usage,The construction can describe a specific immediate sequence or a regular whenever-then relationship.,approved,
gnote_632b0c862ede414dad84f5dfffc5f2e3,glesson_8ff45e3161d942abb8dd0470128fe4d5,,1,usage,"Open, held, worn, and seated postures commonly receive this state reading.",approved,
gnote_28777813d581430997f25aea79012893,glesson_5e4c4bb2dc1543c1b1e7afbef39ca393,,1,usage,This function emphasizes the continuing activity rather than a resulting posture.,approved,
