measure_word_id,level,headword_vocab_id,headword_hanzi,pinyin,pinyin_numeric,meaning_en,review_status,source_id,notes
measure_1_0123_妹妹,1,hsk26-v00123,妹妹,mèimei,mei4mei,younger sister,legacy_unreviewed,legacy-runtime,
measure_1_0126_面包,1,hsk26-v00126,面包,miànbāo,mian4bao1,bread,legacy_unreviewed,legacy-runtime,
measure_1_0130_名字,1,hsk26-v00130,名字,míngzi,ming2zi,name,legacy_unreviewed,legacy-runtime,
measure_1_0149_年,1,hsk26-v00149,年,nián,nian2,year,legacy_unreviewed,legacy-runtime,
measure_1_0151_牛奶,1,hsk26-v00151,牛奶,niúnǎi,niu2nai3,milk,legacy_unreviewed,legacy-runtime,
measure_1_0155_女士,1,hsk26-v00155,女士,nǚshì,nv3shi4,lady; madam,legacy_unreviewed,legacy-runtime,
measure_1_0156_朋友,1,hsk26-v00156,朋友,péngyou,peng2you,friend,legacy_unreviewed,legacy-runtime,
measure_1_0159_苹果,1,hsk26-v00159,苹果,píngguǒ,ping2guo3,apple,legacy_unreviewed,legacy-runtime,
measure_1_0164_钱,1,hsk26-v00164,钱,qián,qian2,money,legacy_unreviewed,legacy-runtime,
measure_1_0170_人,1,hsk26-v00170,人,rén,ren2,person; people,legacy_unreviewed,legacy-runtime,
measure_1_0174_商店,1,hsk26-v00174,商店,shāngdiàn,shang1dian4,store; retail shop,legacy_unreviewed,legacy-runtime,
measure_1_0187_事,1,hsk26-v00187,事,shì,shi4,matter; thing,legacy_unreviewed,legacy-runtime,
measure_1_0189_手机,1,hsk26-v00189,手机,shǒujī,shou3ji1,mobile phone,legacy_unreviewed,legacy-runtime,
measure_1_0190_书,1,hsk26-v00190,书,shū,shu1,book,legacy_unreviewed,legacy-runtime,
measure_1_0191_书店,1,hsk26-v00191,书店,shūdiàn,shu1dian4,bookstore,legacy_unreviewed,legacy-runtime,
measure_1_0193_水果,1,hsk26-v00193,水果,shuǐguǒ,shui3guo3,fruit,legacy_unreviewed,legacy-runtime,
measure_1_0211_同学,1,hsk26-v00211,同学,tóngxué,tong2xue2,classmate,legacy_unreviewed,legacy-runtime,
measure_1_0216_晚饭,1,hsk26-v00216,晚饭,wǎnfàn,wan3fan4,dinner,legacy_unreviewed,legacy-runtime,
measure_1_0217_晚上,1,hsk26-v00217,晚上,wǎnshang,wan3shang,evening; night,legacy_unreviewed,legacy-runtime,
measure_1_0220_问题,1,hsk26-v00220,问题,wèntí,wen4ti2,question; problem,legacy_unreviewed,legacy-runtime,
measure_1_0224_午饭,1,hsk26-v00224,午饭,wǔfàn,wu3fan4,lunch,legacy_unreviewed,legacy-runtime,
measure_1_0230_下午,1,hsk26-v00230,下午,xiàwǔ,xia4wu3,afternoon,legacy_unreviewed,legacy-runtime,
measure_1_0231_先生,1,hsk26-v00231,先生,xiānsheng,xian1sheng,Mr.; sir,legacy_unreviewed,legacy-runtime,
measure_1_0235_小朋友,1,hsk26-v00235,小朋友,xiǎopéngyǒu,xiao3peng2you3,child; little kid,legacy_unreviewed,legacy-runtime,
measure_1_0236_小时,1,hsk26-v00236,小时,xiǎoshí,xiao3shi2,hour,legacy_unreviewed,legacy-runtime,
measure_1_0238_小学生,1,hsk26-v00238,小学生,xiǎoxuéshēng,xiao3xue2sheng1,primary school student,legacy_unreviewed,legacy-runtime,
measure_1_0243_星期,1,hsk26-v00243,星期,xīngqī,xing1qi1,week; day of the week,legacy_unreviewed,legacy-runtime,
measure_1_0250_学校,1,hsk26-v00250,学校,xuéxiào,xue2xiao4,school,legacy_unreviewed,legacy-runtime,
measure_1_0251_雪,1,hsk26-v00251,雪,xuě,xue3,snow,legacy_unreviewed,legacy-runtime,
measure_1_0255_衣服,1,hsk26-v00255,衣服,yīfu,yi1fu,clothes,legacy_unreviewed,legacy-runtime,
measure_1_0256_医生,1,hsk26-v00256,医生,yīshēng,yi1sheng1,doctor,legacy_unreviewed,legacy-runtime,
measure_1_0257_医院,1,hsk26-v00257,医院,yīyuàn,yi1yuan4,hospital,legacy_unreviewed,legacy-runtime,
measure_1_0260_椅子,1,hsk26-v00260,椅子,yǐzi,yi3zi,chair,legacy_unreviewed,legacy-runtime,
measure_1_0267_雨,1,hsk26-v00267,雨,yǔ,yu3,rain,legacy_unreviewed,legacy-runtime,
measure_1_0269_月,1,hsk26-v00269,月,yuè,yue4,month; moon,legacy_unreviewed,legacy-runtime,
measure_1_0274_早饭,1,hsk26-v00274,早饭,zǎofàn,zao3fan4,breakfast,legacy_unreviewed,legacy-runtime,
measure_1_0291_中午,1,hsk26-v00291,中午,zhōngwǔ,zhong1wu3,noon; midday,legacy_unreviewed,legacy-runtime,
measure_1_0295_桌子,1,hsk26-v00295,桌子,zhuōzi,zhuo1zi,table; desk,legacy_unreviewed,legacy-runtime,
measure_1_0296_字,1,hsk26-v00296,字,zì,zi4,character; word,legacy_unreviewed,legacy-runtime,
measure_2_0302_爱好,2,hsk26-v00302,爱好,àihào,ai4hao4,hobby; interest,legacy_unreviewed,legacy-runtime,
measure_2_0304_班,2,hsk26-v00304,班,bān,ban1,class; group,legacy_unreviewed,legacy-runtime,
measure_2_0307_包,2,hsk26-v00307,包,bāo,bao1,bag; package,legacy_unreviewed,legacy-runtime,
measure_2_0308_本子,2,hsk26-v00308,本子,běnzi,ben3zi,book; notebook,legacy_unreviewed,legacy-runtime,
measure_2_0310_笔,2,hsk26-v00310,笔,bǐ,bi3,pen; writing brush,legacy_unreviewed,legacy-runtime,
measure_2_0315_车站,2,hsk26-v00315,车站,chēzhàn,che1zhan4,rail station; bus stop,legacy_unreviewed,legacy-runtime,
measure_2_0321_床,2,hsk26-v00321,床,chuáng,chuang2,bed,legacy_unreviewed,legacy-runtime,
measure_2_0322_词,2,hsk26-v00322,词,cí,ci2,word; term,legacy_unreviewed,legacy-runtime,
measure_2_0339_饭馆,2,hsk26-v00339,饭馆,fànguǎn,fan4guan3,restaurant,legacy_unreviewed,legacy-runtime,
measure_2_0346_公交车,2,hsk26-v00346,公交车,gōngjiāochē,gong1jiao1che1,public transport vehicle,legacy_unreviewed,legacy-runtime,
measure_2_0354_红茶,2,hsk26-v00354,红茶,hóngchá,hong2cha2,black tea,legacy_unreviewed,legacy-runtime,
measure_2_0358_花,2,hsk26-v00358,花,huā,hua1,flower; blossom,legacy_unreviewed,legacy-runtime,
measure_2_0359_画,2,hsk26-v00359,画,huà,hua4,to draw; to paint,legacy_unreviewed,legacy-runtime,
measure_2_0363_机场,2,hsk26-v00363,机场,jīchǎng,ji1chang3,airport; airfield,legacy_unreviewed,legacy-runtime,
measure_2_0364_机票,2,hsk26-v00364,机票,jīpiào,ji1piao4,plane ticket; airline ticket,legacy_unreviewed,legacy-runtime,
measure_2_0368_教室,2,hsk26-v00368,教室,jiàoshì,jiao4shi4,classroom,legacy_unreviewed,legacy-runtime,
measure_2_0377_咖啡,2,hsk26-v00377,咖啡,kāfēi,ka1fei1,coffee,legacy_unreviewed,legacy-runtime,
measure_2_0378_开始,2,hsk26-v00378,开始,kāishǐ,kai1shi3,to begin; beginning,legacy_unreviewed,legacy-runtime,
measure_2_0381_考试,2,hsk26-v00381,考试,kǎoshì,kao3shi4,to take an exam; exam,legacy_unreviewed,legacy-runtime,
measure_2_0382_可能,2,hsk26-v00382,可能,kěnéng,ke3neng2,might; possible,legacy_unreviewed,legacy-runtime,
measure_2_0383_裤子,2,hsk26-v00383,裤子,kùzi,ku4zi,trousers; pants,legacy_unreviewed,legacy-runtime,
measure_2_0387_篮球,2,hsk26-v00387,篮球,lánqiú,lan2qiu2,basketball,legacy_unreviewed,legacy-runtime,
measure_2_0391_楼,2,hsk26-v00391,楼,lóu,lou2,house with more than 1 story,legacy_unreviewed,legacy-runtime,
measure_2_0392_路,2,hsk26-v00392,路,lù,lu4,road; journey,legacy_unreviewed,legacy-runtime,
measure_2_0400_门,2,hsk26-v00400,门,mén,men2,gate; door,legacy_unreviewed,legacy-runtime,
measure_2_0401_门口,2,hsk26-v00401,门口,ménkǒu,men2kou3,doorway; gate,legacy_unreviewed,legacy-runtime,
measure_2_0409_奶奶,2,hsk26-v00409,奶奶,nǎinai,nai3nai,grandmother; paternal grandma,legacy_unreviewed,legacy-runtime,
measure_2_0411_鸟,2,hsk26-v00411,鸟,niǎo,niao3,"bird; ""bird"" radical in Chinese characters",legacy_unreviewed,legacy-runtime,
measure_2_0416_票,2,hsk26-v00416,票,piào,piao4,ticket; ballot,legacy_unreviewed,legacy-runtime,
measure_2_0421_球,2,hsk26-v00421,球,qiú,qiu2,ball used for playing games,legacy_unreviewed,legacy-runtime,
measure_2_0424_商场,2,hsk26-v00424,商场,shāngchǎng,shang1chang3,shopping mall; shopping center,legacy_unreviewed,legacy-runtime,
measure_2_0430_生日,2,hsk26-v00430,生日,shēngrì,sheng1ri4,birthday,legacy_unreviewed,legacy-runtime,
measure_2_0432_事情,2,hsk26-v00432,事情,shìqing,shi4qing,affair; matter,legacy_unreviewed,legacy-runtime,
measure_2_0433_手,2,hsk26-v00433,手,shǒu,shou3,hand,legacy_unreviewed,legacy-runtime,
measure_2_0434_手表,2,hsk26-v00434,手表,shǒubiǎo,shou3biao3,wristwatch,legacy_unreviewed,legacy-runtime,
measure_2_0435_书包,2,hsk26-v00435,书包,shūbāo,shu1bao1,schoolbag; satchel,legacy_unreviewed,legacy-runtime,
measure_2_0442_题,2,hsk26-v00442,题,tí,ti2,topic; problem for discussion,legacy_unreviewed,legacy-runtime,
measure_2_0445_头,2,hsk26-v00445,头,tóu,tou2,head; hair style,legacy_unreviewed,legacy-runtime,
measure_2_0455_希望,2,hsk26-v00455,希望,xīwàng,xi1wang4,to hope; a hope,legacy_unreviewed,legacy-runtime,
measure_2_0467_眼睛,2,hsk26-v00467,眼睛,yǎnjing,yan3jing,eye,legacy_unreviewed,legacy-runtime,
measure_2_0468_药,2,hsk26-v00468,药,yào,yao4,medicine,legacy_unreviewed,legacy-runtime,
measure_2_0474_意思,2,hsk26-v00474,意思,yìsi,yi4si,meaning; idea,legacy_unreviewed,legacy-runtime,
measure_2_0483_鱼,2,hsk26-v00483,鱼,yú,yu2,fish,legacy_unreviewed,legacy-runtime,
measure_2_0485_运动,2,hsk26-v00485,运动,yùndòng,yun4dong4,sport; exercise,legacy_unreviewed,legacy-runtime,
measure_2_0497_足球,2,hsk26-v00497,足球,zúqiú,zu2qiu2,soccer; football,legacy_unreviewed,legacy-runtime,
measure_3_0501_阿姨,3,hsk26-v00501,阿姨,āyí,a1yi2,auntie; maternal aunt,legacy_unreviewed,legacy-runtime,
measure_3_0503_爱人,3,hsk26-v00503,爱人,àiren,ai4ren,spouse; partner,legacy_unreviewed,legacy-runtime,
measure_3_0511_办法,3,hsk26-v00511,办法,bànfǎ,ban4fa3,solution; way to handle something,legacy_unreviewed,legacy-runtime,
measure_3_0513_半天,3,hsk26-v00513,半天,bàntiān,ban4tian1,half a day; a long time,legacy_unreviewed,legacy-runtime,
measure_3_0516_报纸,3,hsk26-v00516,报纸,bàozhǐ,bao4zhi3,newspaper; newsprint,legacy_unreviewed,legacy-runtime,
measure_3_0520_笔记,3,hsk26-v00520,笔记,bǐjì,bi3ji4,notes,legacy_unreviewed,legacy-runtime,
measure_3_0522_笔记本,3,hsk26-v00522,笔记本,bǐjìběn,bi3ji4ben3,notebook; laptop,legacy_unreviewed,legacy-runtime,
measure_3_0524_比赛,3,hsk26-v00524,比赛,bǐsài,bi3sai4,competition; match,legacy_unreviewed,legacy-runtime,
measure_3_0529_变化,3,hsk26-v00529,变化,biànhuà,bian4hua4,to change; to vary,legacy_unreviewed,legacy-runtime,
measure_3_0530_表演,3,hsk26-v00530,表演,biǎoyǎn,biao3yan3,to perform; performance,legacy_unreviewed,legacy-runtime,
measure_3_0533_宾馆,3,hsk26-v00533,宾馆,bīnguǎn,bin1guan3,hotel; guesthouse,legacy_unreviewed,legacy-runtime,
measure_3_0534_冰,3,hsk26-v00534,冰,bīng,bing1,ice,legacy_unreviewed,legacy-runtime,
measure_3_0537_病人,3,hsk26-v00537,病人,bìngrén,bing4ren2,sick person; patient,legacy_unreviewed,legacy-runtime,
measure_3_0545_菜单,3,hsk26-v00545,菜单,càidān,cai4dan1,menu,legacy_unreviewed,legacy-runtime,
measure_3_0547_草,3,hsk26-v00547,草,cǎo,cao3,grass; straw,legacy_unreviewed,legacy-runtime,
measure_3_0548_草地,3,hsk26-v00548,草地,cǎodì,cao3di4,lawn; meadow,legacy_unreviewed,legacy-runtime,
measure_3_0558_衬衫,3,hsk26-v00558,衬衫,chènshān,chen4shan1,shirt; blouse,legacy_unreviewed,legacy-runtime,
measure_3_0559_成绩,3,hsk26-v00559,成绩,chéngjì,cheng2ji4,grade; score,legacy_unreviewed,legacy-runtime,
measure_3_0560_城市,3,hsk26-v00560,城市,chéngshì,cheng2shi4,city; town,legacy_unreviewed,legacy-runtime,
measure_3_0567_船,3,hsk26-v00567,船,chuán,chuan2,boat; vessel,legacy_unreviewed,legacy-runtime,
measure_3_0568_春天,3,hsk26-v00568,春天,chūntiān,chun1tian1,spring,legacy_unreviewed,legacy-runtime,
measure_3_0569_词典,3,hsk26-v00569,词典,cídiǎn,ci2dian3,word dictionary,legacy_unreviewed,legacy-runtime,
measure_3_0572_打算,3,hsk26-v00572,打算,dǎsuàn,da3suan4,to plan; plan,legacy_unreviewed,legacy-runtime,
measure_3_0577_大衣,3,hsk26-v00577,大衣,dàyī,da4yi1,overcoat; topcoat,legacy_unreviewed,legacy-runtime,
measure_3_0578_带,3,hsk26-v00578,带,dài,dai4,to bring; to take along,legacy_unreviewed,legacy-runtime,
measure_3_0580_蛋糕,3,hsk26-v00580,蛋糕,dàngāo,dan4gao1,cake,legacy_unreviewed,legacy-runtime,
measure_3_0588_灯,3,hsk26-v00588,灯,dēng,deng1,lamp; light,legacy_unreviewed,legacy-runtime,
measure_3_0589_地,3,hsk26-v00589,地,dì,di4,ground; land,legacy_unreviewed,legacy-runtime,
measure_3_0590_地点,3,hsk26-v00590,地点,dìdiǎn,di4dian3,place; site,legacy_unreviewed,legacy-runtime,
measure_3_0591_地方,3,hsk26-v00591,地方,dìfang,di4fang,place; location,legacy_unreviewed,legacy-runtime,
measure_3_0592_地图,3,hsk26-v00592,地图,dìtú,di4tu2,map,legacy_unreviewed,legacy-runtime,
measure_3_0594_电梯,3,hsk26-v00594,电梯,diàntī,dian4ti1,elevator; escalator,legacy_unreviewed,legacy-runtime,
measure_3_0601_冬天,3,hsk26-v00601,冬天,dōngtiān,dong1tian1,winter,legacy_unreviewed,legacy-runtime,
measure_3_0603_动物,3,hsk26-v00603,动物,dòngwù,dong4wu4,animal,legacy_unreviewed,legacy-runtime,
measure_3_0604_动物园,3,hsk26-v00604,动物园,dòngwùyuán,dong4wu4yuan2,zoo,legacy_unreviewed,legacy-runtime,
measure_3_0612_耳朵,3,hsk26-v00612,耳朵,ěrduo,er3duo,ear; handle,legacy_unreviewed,legacy-runtime,
measure_3_0621_方法,3,hsk26-v00621,方法,fāngfǎ,fang1fa3,method; way,legacy_unreviewed,legacy-runtime,
measure_3_0622_方向,3,hsk26-v00622,方向,fāngxiàng,fang1xiang4,direction; orientation,legacy_unreviewed,legacy-runtime,
measure_3_0623_房子,3,hsk26-v00623,房子,fángzi,fang2zi,house; building,legacy_unreviewed,legacy-runtime,
measure_3_0629_风,3,hsk26-v00629,风,fēng,feng1,wind,legacy_unreviewed,legacy-runtime,
measure_3_0632_服务,3,hsk26-v00632,服务,fúwù,fu2wu4,to serve; service,legacy_unreviewed,legacy-runtime,
measure_3_0634_复习,3,hsk26-v00634,复习,fùxí,fu4xi2,to review; revision,legacy_unreviewed,legacy-runtime,
measure_3_0639_感冒,3,hsk26-v00639,感冒,gǎnmào,gan3mao4,to catch cold; cold,legacy_unreviewed,legacy-runtime,
measure_3_0645_根据,3,hsk26-v00645,根据,gēnjù,gen1ju4,according to; basis,legacy_unreviewed,legacy-runtime,
measure_3_0648_公园,3,hsk26-v00648,公园,gōngyuán,gong1yuan2,park,legacy_unreviewed,legacy-runtime,
measure_3_0654_关系,3,hsk26-v00654,关系,guānxì,guan1xi4,relationship; connection,legacy_unreviewed,legacy-runtime,
measure_3_0658_国家,3,hsk26-v00658,国家,guójiā,guo2jia1,country; nation,legacy_unreviewed,legacy-runtime,
measure_3_0661_海,3,hsk26-v00661,海,hǎi,hai3,ocean; sea,legacy_unreviewed,legacy-runtime,
measure_3_0666_号码,3,hsk26-v00666,号码,hàomǎ,hao4ma3,number,legacy_unreviewed,legacy-runtime,
measure_3_0667_河,3,hsk26-v00667,河,hé,he2,river,legacy_unreviewed,legacy-runtime,
measure_3_0669_黑板,3,hsk26-v00669,黑板,hēibǎn,hei1ban3,blackboard,legacy_unreviewed,legacy-runtime,
measure_3_0674_护照,3,hsk26-v00674,护照,hùzhào,hu4zhao4,passport,legacy_unreviewed,legacy-runtime,
measure_3_0675_花园,3,hsk26-v00675,花园,huāyuán,hua1yuan2,garden,legacy_unreviewed,legacy-runtime,
measure_3_0676_画家,3,hsk26-v00676,画家,huàjiā,hua4jia1,painter,legacy_unreviewed,legacy-runtime,
measure_3_0679_环境,3,hsk26-v00679,环境,huánjìng,huan2jing4,environment; circumstances,legacy_unreviewed,legacy-runtime,
measure_3_0684_会议,3,hsk26-v00684,会议,huìyì,hui4yi4,meeting; conference,legacy_unreviewed,legacy-runtime,
measure_3_0687_鸡,3,hsk26-v00687,鸡,jī,ji1,fowl; chicken,legacy_unreviewed,legacy-runtime,
measure_3_0689_机会,3,hsk26-v00689,机会,jīhuì,ji1hui4,opportunity; chance,legacy_unreviewed,legacy-runtime,
measure_3_0694_季节,3,hsk26-v00694,季节,jìjié,ji4jie2,season,legacy_unreviewed,legacy-runtime,
measure_3_0698_检查,3,hsk26-v00698,检查,jiǎnchá,jian3cha2,to check; inspection,legacy_unreviewed,legacy-runtime,
measure_3_0702_见面,3,hsk26-v00702,见面,jiànmiàn,jian4mian4,to meet; to see each other,legacy_unreviewed,legacy-runtime,
measure_3_0705_脚,3,hsk26-v00705,脚,jiǎo,jiao3,foot; leg,legacy_unreviewed,legacy-runtime,
measure_3_0707_街,3,hsk26-v00707,街,jiē,jie1,street,legacy_unreviewed,legacy-runtime,
measure_3_0710_节目,3,hsk26-v00710,节目,jiémù,jie2mu4,program; show,legacy_unreviewed,legacy-runtime,
measure_3_0711_节日,3,hsk26-v00711,节日,jiérì,jie2ri4,holiday; festival,legacy_unreviewed,legacy-runtime,
measure_3_0717_经过,3,hsk26-v00717,经过,jīngguò,jing1guo4,to pass by; through,legacy_unreviewed,legacy-runtime,
measure_3_0718_经理,3,hsk26-v00718,经理,jīnglǐ,jing1li3,manager; director,legacy_unreviewed,legacy-runtime,
measure_3_0720_酒,3,hsk26-v00720,酒,jiǔ,jiu3,alcohol; wine,legacy_unreviewed,legacy-runtime,
measure_3_0723_句子,3,hsk26-v00723,句子,jùzi,ju4zi,sentence,legacy_unreviewed,legacy-runtime,
measure_3_0724_决定,3,hsk26-v00724,决定,juédìng,jue2ding4,to decide; decision,legacy_unreviewed,legacy-runtime,
measure_3_0725_卡,3,hsk26-v00725,卡,kǎ,ka3,card,legacy_unreviewed,legacy-runtime,
measure_3_0736_课本,3,hsk26-v00736,课本,kèběn,ke4ben3,textbook,legacy_unreviewed,legacy-runtime,
measure_3_0737_客人,3,hsk26-v00737,客人,kèrén,ke4ren2,visitor; guest,legacy_unreviewed,legacy-runtime,
measure_3_0738_课文,3,hsk26-v00738,课文,kèwén,ke4wen2,text,legacy_unreviewed,legacy-runtime,
measure_3_0739_空调,3,hsk26-v00739,空调,kōngtiáo,kong1tiao2,air conditioning; air conditioner,legacy_unreviewed,legacy-runtime,
measure_3_0741_筷子,3,hsk26-v00741,筷子,kuàizi,kuai4zi,chopsticks,legacy_unreviewed,legacy-runtime,
measure_3_0742_矿泉水,3,hsk26-v00742,矿泉水,kuàngquánshuǐ,kuang4quan2shui3,mineral water,legacy_unreviewed,legacy-runtime,
measure_3_0748_礼物,3,hsk26-v00748,礼物,lǐwù,li3wu4,gift; present,legacy_unreviewed,legacy-runtime,
measure_3_0749_历史,3,hsk26-v00749,历史,lìshǐ,li4shi3,history,legacy_unreviewed,legacy-runtime,
measure_3_0750_脸,3,hsk26-v00750,脸,liǎn,lian3,face,legacy_unreviewed,legacy-runtime,
measure_3_0752_练习,3,hsk26-v00752,练习,liànxí,lian4xi2,practice; exercise,legacy_unreviewed,legacy-runtime,
measure_3_0758_邻居,3,hsk26-v00758,邻居,línjū,lin2ju1,neighbor,legacy_unreviewed,legacy-runtime,
measure_3_0761_楼梯,3,hsk26-v00761,楼梯,lóutī,lou2ti1,stairs; staircase,legacy_unreviewed,legacy-runtime,
measure_3_0764_马,3,hsk26-v00764,马,mǎ,ma3,horse,legacy_unreviewed,legacy-runtime,
measure_3_0765_马路,3,hsk26-v00765,马路,mǎlù,ma3lu4,road; street,legacy_unreviewed,legacy-runtime,
measure_3_0779_男人,3,hsk26-v00779,男人,nánrén,nan2ren2,a man; a male,legacy_unreviewed,legacy-runtime,
measure_3_0783_年级,3,hsk26-v00783,年级,niánjí,nian2ji2,grade; year,legacy_unreviewed,legacy-runtime,
measure_3_0785_牛,3,hsk26-v00785,牛,niú,niu2,ox; cow,legacy_unreviewed,legacy-runtime,
measure_3_0792_盘子,3,hsk26-v00792,盘子,pánzi,pan2zi,tray; plate,legacy_unreviewed,legacy-runtime,
measure_3_0794_啤酒,3,hsk26-v00794,啤酒,píjiǔ,pi2jiu3,beer,legacy_unreviewed,legacy-runtime,
measure_3_0796_瓶子,3,hsk26-v00796,瓶子,píngzi,ping2zi,bottle,legacy_unreviewed,legacy-runtime,
measure_3_0803_汽车,3,hsk26-v00803,汽车,qìchē,qi4che1,car; automobile,legacy_unreviewed,legacy-runtime,
measure_3_0804_铅笔,3,hsk26-v00804,铅笔,qiānbǐ,qian1bi3,pencil,legacy_unreviewed,legacy-runtime,
measure_3_0810_秋天,3,hsk26-v00810,秋天,qiūtiān,qiu1tian1,autumn,legacy_unreviewed,legacy-runtime,
measure_3_0811_球场,3,hsk26-v00811,球场,qiúchǎng,qiu2chang3,stadium; sports ground,legacy_unreviewed,legacy-runtime,
measure_3_0812_裙子,3,hsk26-v00812,裙子,qúnzi,qun2zi,skirt,legacy_unreviewed,legacy-runtime,
measure_3_0820_伞,3,hsk26-v00820,伞,sǎn,san3,umbrella,legacy_unreviewed,legacy-runtime,
measure_3_0822_沙发,3,hsk26-v00822,沙发,shāfā,sha1fa1,sofa,legacy_unreviewed,legacy-runtime,
measure_3_0823_山,3,hsk26-v00823,山,shān,shan1,mountain; hill,legacy_unreviewed,legacy-runtime,
measure_3_0824_上衣,3,hsk26-v00824,上衣,shàngyī,shang4yi1,upper garment; jacket,legacy_unreviewed,legacy-runtime,
measure_3_0825_勺子,3,hsk26-v00825,勺子,sháozi,shao2zi,spoon; ladle,legacy_unreviewed,legacy-runtime,
measure_3_0831_声音,3,hsk26-v00831,声音,shēngyīn,sheng1yin1,voice; sound,legacy_unreviewed,legacy-runtime,
measure_3_0835_世界,3,hsk26-v00835,世界,shìjiè,shi4jie4,world,legacy_unreviewed,legacy-runtime,
