task_id,level_min,level_max,scenario_id,task_number,title_zh,title_en,source_id,source_locator_zh,source_locator_en
hsk26-task4-20,4,4,,20,介绍中国的主要省市、民族,"Introducing China’s main provinces, cities, and ethnic groups",hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:619,reference/HSK_SYLLABUS_EN.md:621
hsk26-task4-21,4,4,,21,谈论经济现象,Talking about economic phenomena,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:625,reference/HSK_SYLLABUS_EN.md:627
hsk26-task4-22,4,4,,22,谈论社会现象,Talking about social phenomena,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:633,reference/HSK_SYLLABUS_EN.md:635
hsk26-task4-23,4,4,,23,介绍文艺形式、活动、作品,"Introducing literary and artistic forms, activities, and works",hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:641,reference/HSK_SYLLABUS_EN.md:643
hsk26-task4-24,4,4,,24,谈论体育项目及比赛,Talking about sports and competitions,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:649,reference/HSK_SYLLABUS_EN.md:651
hsk26-task4-25,4,4,,25,讲述中外友好故事,Telling stories of China-foreign friendship,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:657,reference/HSK_SYLLABUS_EN.md:659
hsk26-task4-26,4,4,,26,介绍常见俗语、名言,Introducing common sayings and famous quotations,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:664,reference/HSK_SYLLABUS_EN.md:666
hsk26-task4-27,4,4,,27,介绍传统饮食文化,Introducing traditional food culture,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:670,reference/HSK_SYLLABUS_EN.md:672
hsk26-task4-28,4,4,,28,介绍风俗传统,Introducing customs and traditions,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:677,reference/HSK_SYLLABUS_EN.md:679
hsk26-task4-29,4,4,,29,介绍名胜古迹,Introducing famous scenic and historic sites,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:684,reference/HSK_SYLLABUS_EN.md:686
hsk26-task4-30,4,4,,30,介绍历史人物、历史事件,Introducing historical figures and historical events,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:691,reference/HSK_SYLLABUS_EN.md:693
hsk26-task5-01,5,5,,1,交流、处理日常事务,Communicating about and handling everyday affairs,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:699,reference/HSK_SYLLABUS_EN.md:701
hsk26-task5-02,5,5,,2,谈论餐饮体验,Talking about dining experiences,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:707,reference/HSK_SYLLABUS_EN.md:709
hsk26-task5-03,5,5,,3,谈论交通出行,Talking about transportation and travel,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:714,reference/HSK_SYLLABUS_EN.md:716
hsk26-task5-04,5,5,,4,谈论购物体验,Talking about shopping experiences,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:721,reference/HSK_SYLLABUS_EN.md:723
hsk26-task5-05,5,5,,5,谈论医疗健康,Talking about medical and health matters,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:728,reference/HSK_SYLLABUS_EN.md:730
hsk26-task5-06,5,5,,6,谈论休闲活动,Talking about leisure activities,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:735,reference/HSK_SYLLABUS_EN.md:737
hsk26-task5-07,5,5,,7,沟通、交流社区生活情况,Communicating about community life,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:742,reference/HSK_SYLLABUS_EN.md:744
hsk26-task5-08,5,5,,8,交流家庭生活,Exchanging information about family life,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:749,reference/HSK_SYLLABUS_EN.md:751
hsk26-task5-09,5,5,,9,报告学习情况,Reporting study situations,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:756,reference/HSK_SYLLABUS_EN.md:758
hsk26-task5-10,5,5,,10,分享校园生活的经历、经验,Sharing campus-life experiences,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:763,reference/HSK_SYLLABUS_EN.md:765
hsk26-task5-11,5,5,,11,谈论教育情况和问题,Talking about educational situations and issues,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:770,reference/HSK_SYLLABUS_EN.md:772
hsk26-task5-12,5,5,,12,交流工作内容和工作经历,Exchanging information about work content and work experience,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:777,reference/HSK_SYLLABUS_EN.md:779
hsk26-task5-13,5,5,,13,谈论经营与管理情况,Talking about operation and management situations,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:784,reference/HSK_SYLLABUS_EN.md:786
hsk26-task5-14,5,5,,14,谈论自然情况,Talking about nature,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:791,reference/HSK_SYLLABUS_EN.md:793
hsk26-task5-15,5,5,,15,谈论环境问题,Talking about environmental issues,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:798,reference/HSK_SYLLABUS_EN.md:800
hsk26-task5-16,5,5,,16,介绍科技产品,Introducing technological products,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:805,reference/HSK_SYLLABUS_EN.md:807
hsk26-task5-17,5,5,,17,介绍科学知识,Introducing scientific knowledge,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:812,reference/HSK_SYLLABUS_EN.md:814
hsk26-task5-18,5,5,,18,介绍中国概况,Introducing an overview of China,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:819,reference/HSK_SYLLABUS_EN.md:821
hsk26-task5-19,5,5,,19,谈论经济现象,Talking about economic phenomena,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:826,reference/HSK_SYLLABUS_EN.md:828
hsk26-task5-20,5,5,,20,谈论社会现象,Talking about social phenomena,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:833,reference/HSK_SYLLABUS_EN.md:835
hsk26-task5-21,5,5,,21,谈论文艺形式、常识、作品,"Talking about literary and artistic forms, common knowledge, and works",hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:840,reference/HSK_SYLLABUS_EN.md:842
hsk26-task5-22,5,5,,22,谈论体育项目及赛事,Talking about sports and sports events,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:847,reference/HSK_SYLLABUS_EN.md:849
hsk26-task5-23,5,5,,23,谈论国际交往事件,Talking about international exchange events,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:854,reference/HSK_SYLLABUS_EN.md:856
hsk26-task5-24,5,5,,24,介绍中国语言文字,Introducing the Chinese language and writing system,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:861,reference/HSK_SYLLABUS_EN.md:863
hsk26-task5-25,5,5,,25,介绍中国古代民俗传统、人文景观,Introducing ancient Chinese folk traditions and cultural landscapes,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:868,reference/HSK_SYLLABUS_EN.md:870
hsk26-task5-26,5,5,,26,介绍中国传统思想与艺术,Introducing Chinese traditional thought and art,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:874,reference/HSK_SYLLABUS_EN.md:876
hsk26-task5-27,5,5,,27,介绍中国历史,Introducing Chinese history,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:880,reference/HSK_SYLLABUS_EN.md:882
hsk26-task5-28,5,5,,28,介绍中国古代科技,Introducing ancient Chinese science and technology,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:886,reference/HSK_SYLLABUS_EN.md:888
hsk26-task6-01,6,6,,1,交流、处理日常事务,Communicating about and handling everyday affairs,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:894,reference/HSK_SYLLABUS_EN.md:896
hsk26-task6-02,6,6,,2,谈论饮食,Talking about food and dining,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:902,reference/HSK_SYLLABUS_EN.md:904
hsk26-task6-03,6,6,,3,谈论交通出行,Talking about transportation and travel,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:909,reference/HSK_SYLLABUS_EN.md:911
hsk26-task6-04,6,6,,4,谈论医疗健康,Talking about medical and health matters,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:916,reference/HSK_SYLLABUS_EN.md:918
hsk26-task6-05,6,6,,5,沟通、交流社区生活情况,Communicating about community life,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:923,reference/HSK_SYLLABUS_EN.md:925
hsk26-task6-06,6,6,,6,交流学习情况,Exchanging information about study situations,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:930,reference/HSK_SYLLABUS_EN.md:932
hsk26-task6-07,6,6,,7,谈论校园生活,Talking about campus life,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:937,reference/HSK_SYLLABUS_EN.md:939
hsk26-task6-08,6,6,,8,谈论教育事件、教育理念,Talking about educational events and educational ideas,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:944,reference/HSK_SYLLABUS_EN.md:946
hsk26-task6-09,6,6,,9,谈论工作内容和职业定位,Talking about work content and professional positioning,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:951,reference/HSK_SYLLABUS_EN.md:953
hsk26-task6-10,6,6,,10,谈论经营与管理情况,Talking about operation and management situations,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:958,reference/HSK_SYLLABUS_EN.md:960
hsk26-task6-11,6,6,,11,谈论地理、气候与自然资源,"Talking about geography, climate, and natural resources",hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:965,reference/HSK_SYLLABUS_EN.md:967
hsk26-task6-12,6,6,,12,谈论环境问题,Talking about environmental issues,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:972,reference/HSK_SYLLABUS_EN.md:974
hsk26-task6-13,6,6,,13,介绍科技产品,Introducing technological products,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:979,reference/HSK_SYLLABUS_EN.md:981
hsk26-task6-14,6,6,,14,介绍科学知识,Introducing scientific knowledge,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:986,reference/HSK_SYLLABUS_EN.md:988
hsk26-task6-15,6,6,,15,谈论经济现象,Talking about economic phenomena,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:993,reference/HSK_SYLLABUS_EN.md:995
hsk26-task6-16,6,6,,16,谈论社会现象,Talking about social phenomena,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1000,reference/HSK_SYLLABUS_EN.md:1002
hsk26-task6-17,6,6,,17,谈论文艺形式、活动、作品,"Talking about literary and artistic forms, activities, and works",hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1007,reference/HSK_SYLLABUS_EN.md:1009
hsk26-task6-18,6,6,,18,谈论体育项目及赛事,Talking about sports and sports events,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1014,reference/HSK_SYLLABUS_EN.md:1016
hsk26-task6-19,6,6,,19,谈论国际活动、中外友好交流事件,Talking about international activities and China-foreign friendly exchange events,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1021,reference/HSK_SYLLABUS_EN.md:1023
hsk26-task6-20,6,6,,20,介绍中国语言文字,Introducing the Chinese language and writing system,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1028,reference/HSK_SYLLABUS_EN.md:1030
hsk26-task6-21,6,6,,21,介绍中国古代民俗传统、人文景观,Introducing ancient Chinese folk traditions and cultural landscapes,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1035,reference/HSK_SYLLABUS_EN.md:1037
hsk26-task6-22,6,6,,22,介绍中国传统思想与艺术,Introducing Chinese traditional thought and art,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1042,reference/HSK_SYLLABUS_EN.md:1044
hsk26-task6-23,6,6,,23,介绍中国历史,Introducing Chinese history,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1049,reference/HSK_SYLLABUS_EN.md:1051
hsk26-task6-24,6,6,,24,介绍中国古代科技,Introducing ancient Chinese science and technology,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1056,reference/HSK_SYLLABUS_EN.md:1058
hsk26-task79-01,7,9,hsk26-scenario79-1,1,交流和讨论个人信息和生活观念,Exchanging and discussing personal information and views on life,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1071,reference/HSK_SYLLABUS_EN.md:1073
hsk26-task79-02,7,9,hsk26-scenario79-1,2,交流和讨论家庭情况和家庭观念,Exchanging and discussing family situations and family concepts,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1077,reference/HSK_SYLLABUS_EN.md:1079
