grammar_pattern_id,grammar_lesson_id,grammar_element_id,pattern_order,label_en,pattern,formation_en,usage_en,review_status,notes
gpattern_ae3aaafd01914f94a6c2cc3205c1d729,glesson_65cef66ccadb4bda94ba9c6ba8ee5533,gelement_c17b2d9dae914028a5bd078908796f16,1,Adjectival predication,Subject + Degree adverb + Adjective,"Place the adjectival predicate after the subject, commonly with 很 or another degree adverb.",Describes a quality or condition without a copular 是.,approved,
gpattern_ed993c25fa1442e583d17f8de0c093f6,glesson_605ba97eb84f4d5980bf26497ddab505,gelement_a9f5915116a0451ca6f4efbe49775f93,1,Direct nominal predication,Subject + Nominal expression,"Place the date, age, or other licensed nominal expression directly after the subject.","Gives conventional calendar, age, or quantity information.",approved,
gpattern_6d770f0aa0e5445cace71ae92959da20,glesson_09d85cc1ba6e4814b12be153e06f304c,gelement_bcb67b35e0e4417c96a4a39017eaeb16,1,Neutral yes-no question,Statement + 吗？,Add 吗 to the end of statement-order wording.,Invites a yes/no or confirm/deny response.,approved,
gpattern_fb1f94087ef04cedbeeb17dd8e0c5821,glesson_c64087e117dd44169bd7781d5af92a73,gelement_91beea8e98ad4cc8875f7b61e310cf2c,1,In-place question word,Clause with 谁/什么/哪儿/多少/怎么...,Put the question word in the answer's normal grammatical position.,Requests a specific missing constituent.,approved,
gpattern_55a8d582c8f94080bc238c9631de0bdf,glesson_9cce8dd18eab4193b8fd140c593e243a,gelement_fba6462ed09d4e75b8d24bb09ba5007d,1,A-not-A question,Subject + Predicate + 不 + Predicate？,"Repeat the predicate around 不, or use a conventional compact form such as 是不是.",Asks the listener to select the positive or negative alternative.,approved,
gpattern_d6e8d98551cf41bebef6407cbe214e28,glesson_7e7ea63f64d44d4882dfecb1f9a1b809,gelement_023ddbdfaa5547ac8c084c7fdc8071bf,1,Copular identification,Subject + 是 + Noun phrase,Place 是 between the subject and identifying noun phrase.,Identifies the subject or assigns it to a class.,approved,
gpattern_e9e2b06a21434f9f847ebba37a9b29b1,glesson_cd34aec214fe4a9cabbf2f3af75c073c,gelement_8d6da5f855fe4532a122111f858f9181,1,Possession,Possessor + 有 + Possessed item,Place 有 after the possessor and before what is possessed.,States a possession or personal relation.,approved,
gpattern_14d7202c551644bfa0c2394f275b4a04,glesson_a969cfb59bc94ffe9e4cfe7d987bed9c,gelement_b109789a94154c708fb7bb28b66ee4ea,1,Location identification,Place expression + 是 + Noun,Put the known location before 是 and the identifying noun after it.,Answers what a particular location is or what occupies it.,approved,
gpattern_eb32dd2a82bd4b58bc77ed4e2e8f9f5e,glesson_2591dabcc1884f9abb97f4a2f22ff0b6,gelement_10a03f265ed34b6e96bdbb01028a8b03,1,Existence at a place,Place + 有 + Numeral + Classifier + Noun,Put the place before 有 and introduce the new entity after it.,Presents an entity as existing at the stated location.,approved,
gpattern_6913355faa45496eb9483ac314854038,glesson_da3d25b747b946389f9953cd5238b2f2,gelement_3f37492906d7467a8a4459e59bbc39a9,1,Action plus purpose,Subject + V1 (+ Place) + V2 (+ Object),Place the movement or enabling action first and the purpose action second.,Shows that the subject performs V1 in order to carry out V2.,approved,
gpattern_5becfe37c40645dbbe3d945d1a0e1322,glesson_63b7cbccafa74b23bbd5aa16e6d062da,gelement_806720070f57489c8a0cfe99adc46a81,1,Manner plus action,Subject + Manner V1 + Main V2,Put the means or manner action immediately before the main action.,Explains how the subject performs V2.,approved,
gpattern_7c73052cecb8454da8b8e483d740a26d,glesson_48a062355f864c48b758a0b01ef35199,gelement_ae30c784dfa743119e671d5c142bb21e,1,Recipient and thing,Subject + 给 + Recipient + Thing,Place the recipient immediately after 给 and the transferred item after the recipient.,Presents a giving event with two objects.,approved,
gpattern_f6ff582df7824506a2ca766a073fdd37,glesson_db21663d6ac94570a7bf0deebcd4c748,gelement_1d5f4d30470d479e87840416aa71bc0a,1,Parallel addition,"Clause 1, Subject 2 + 也 + Predicate 2","State the first fact, then place 也 before the matching second predicate.",Marks the second fact as likewise true.,approved,
gpattern_b69dd25d557f49098ba7f2f7e2000748,glesson_2232c0c8bc1142afa9218cd5d1ed8c8b,gelement_5833ff2afdad4c84a88126ed6029713e,1,Additional fact,"Clause 1, Subject + 还 + Predicate","State one fact, then put 还 before the added predicate.","Adds another action, property, or item to the first information.",approved,
gpattern_91ae5026b2a14b92be8e2411d580333d,glesson_1c532271cd2640b49271c5a329873b24,gelement_fab30cfa711444f3a7513679777f3819,1,Bounded event,Verb + 了 (+ Object),Attach 了 to the event verb in the basic HSK 1 pattern.,Views the action as a realized whole.,approved,
gpattern_203c48b471bd47d0a3daf20d3f57af47,glesson_e905b001675443aca8517dd361e94872,gelement_592dd1d340a64895812be9c974a28f55,1,New situation,Changed situation + 了,Place 了 at the end of the complete clause.,Signals that the stated condition is now relevant and differs from before.,approved,
gpattern_bc4e935d348d47ca933bffce1d5dd93d,glesson_36fbed7cb60f418fb1fcde9d82fc8d3c,gelement_f609c5b1b9874977ac1a4f5dd6f47604,1,Basic ongoing action,Subject + 在 + Verb,Place 在 immediately before the action.,Marks the action as underway.,approved,
gpattern_e2259e6fc963422b8c37efe7706d73a1,glesson_36fbed7cb60f418fb1fcde9d82fc8d3c,gelement_e5d6d033fb554376aaac73acde128aec,2,Focused ongoing action,Subject + 正在 + Verb,Place 正在 immediately before the action.,Emphasizes that the action is underway at the reference moment.,approved,
gpattern_c5ddb55800d740949d5581a249974767,glesson_f5920fa0a3c042a48c647c76dd37c313,,1,Full progressive frame,Subject + 在/正在 + Verb + 呢,Place 在 or 正在 before the verb and 呢 at clause end.,"Presents the action as currently in progress, with final pragmatic highlighting.",approved,
gpattern_165b1e8e992f450abaefaca081a9dc9f,glesson_21bd039e25d64151956190fa42876f2f,gelement_afad040d164d45c7a3e67745ca67dc73,1,Contextual ongoing action,Subject + Verb phrase + 呢,Place neutral-tone 呢 at the end of the activity clause.,Highlights that the activity is in progress in the current context.,approved,
gpattern_bfc2cd655f5f4a988f2e886e53725caf,glesson_7152d114a79049a4993f58b6c7847994,,1,Money amount,Numeral + 元/块,Place the amount directly before the currency unit.,States a price or amount of Chinese currency.,approved,
gpattern_8a41faf69f4a49599bb6d9520770fb1d,glesson_945b84d2096b4309acee40e0e2adbc2b,gelement_38c782143598477ab4c6a0e0b1551e7b,1,Ordinal position,第 + Numeral (+ Classifier + Noun),Attach 第 before the numeral and retain the required classifier before a following noun.,Names position in an ordered sequence.,approved,
gpattern_934767dbf6d841979957fc3a86aca74e,glesson_558b9ebc01934fa89f4eecfe76570426,,1,Calendar date,数词 + 年 + 数词 + 月 + 数词 + 日/号,State units from largest to smallest.,Names a complete or partial calendar date.,approved,
gpattern_1ec45bbd316e43c88cb47fdf891c8946,glesson_558b9ebc01934fa89f4eecfe76570426,gelement_0e7a9058985b4097a51b36b3d35d693a,2,Weekday,星期 + 一/二/三/四/五/六/日/天,Place the weekday label after 星期.,Names a day within the week.,approved,
gpattern_4218107255964af38be0f1609b7cb5f3,glesson_8e74d0cdc0324dcaa7ace1d175619c98,,1,Clock time,数词 + 点 + (半 / 数词 + 分),"State the hour before 点, then add 半 or a minute value when needed.",Locates an event at a time on the clock.,approved,
gpattern_b8f437d423d84d90bfae5bf196bc5580,glesson_b8e097ea884c4549b8f6422ad2a796a0,gelement_15ecab3be109435ca0ccffcc06d370fa,1,Location noun,Direction + 面,"Attach 面 to a direction such as 里, 外, 前, 后, 上, or 下.",Names a side or relative location.,approved,
gpattern_a80e5ce3c9ca4bdd8b454ace08ccd4c4,glesson_a91ecbb9ff784ac392a137fb2dbd5cdf,,1,Brief or softened action,AA / A一A / A了A / ABAB,Repeat the verb in the pattern appropriate to its length and aspect.,"Makes the action sound limited, exploratory, or less forceful.",approved,
gpattern_2ff9bab40b9f4b37b149d34c0d0e8827,glesson_9e1e81c523f44c8cbc6c147e92033433,gelement_a87e802d9e374f6cb25d50f99f974d56,1,Possible event,Subject + 可能 + Predicate,Place 可能 before the predicate whose truth is uncertain.,Expresses the speaker's assessment that something may happen or be true.,approved,
gpattern_6f33bdbbdb5a4955ad11c59648f156be,glesson_9154adcdd1eb445d81f9f1b9e0f52031,,1,Separable verb-object word,Verb part + grammatical material + Object part,Keep the lexical pair together when no internal grammar is needed; split it when a licensed quantity or aspect pattern requires it.,Allows aspect or quantity information to attach to the internal verb-object structure.,approved,
gpattern_c0d6f5eec84c41b39c642bc6775e014e,glesson_5e7829e104354662a78adeb2b1d2dff9,gelement_5288e7852cdc4c0db93543d939c158be,1,Reason question,Subject + 为什么 + Predicate,Place 为什么 before the action or state whose reason is unknown.,Requests a reason rather than a yes-or-no answer.,approved,
gpattern_1d2ce7c2e68944a489007003fd915c43,glesson_80527658633340f598660551f1dd2e41,gelement_927cabd9146648fba0d50f8152667b47,1,Reflexive reference,Referent + 自己,Use 自己 where the clause refers back to its established person.,Marks self-reference or emphasizes personal involvement.,approved,
gpattern_b61ea9036c1b49ba8958a7c8affede38,glesson_125dc9b62eb74fe4bbc800701647cd66,,1,Deictic manner or degree,那么/这么 + Adjective; 那样/这样 + Verb,Choose 这- for a nearer reference and 那- for a more distant or previously mentioned reference.,"Points to a degree, way, or kind.",approved,
gpattern_97b7ece99f154ce09bcfd346d170ae37,glesson_125dc9b62eb74fe4bbc800701647cd66,gelement_4d35c207ae4842a283d2d9da5faaefd1,2,Every member,每 + Classifier + Noun + 都 + Predicate,Put 每 before the classifier-noun phrase and 都 before the shared predicate.,States that the predicate applies to every member.,approved,
gpattern_b6ef54844d7149ddab353b1a732f5b0d,glesson_cd8068aa406c4cf9973d0172420ae334,,1,Reduplicated description,AA / AABB (+ 的/地),Repeat a one-syllable adjective as AA or the two parts of a two-syllable adjective as AABB.,Creates a vivid descriptive or manner-reading phrase.,approved,
gpattern_ee8e5b72ad704a9f868fa4f5ae48d856,glesson_7120c20f6c874ce5b1af39be029dfd59,gelement_355a00010ad647e794c38b52d3ef46a3,1,Packaged quantity,Numeral + 包 + Noun,Put 包 between the number and the packaged substance or item.,Counts packages rather than individual contents.,approved,
gpattern_00516c28863644aa8db999b3434bad43,glesson_2ada6849a2bc4a1f9e2abad367cf7408,gelement_ccabcde8c07343c895b0cc39cce4589a,1,Number of occurrences,Verb + Numeral + 次,Place the numeral and 次 after the action verb or verb-object phrase.,States how many occasions the action has.,approved,
gpattern_ad5112c9bd4a42399a72fa2c1cc3f8e3,glesson_1f5b7591c8de4534a071d4e868fa3f63,,1,Exclamatory degree,多/好 + Adjective + 啊,Place 多 or 好 before the adjective; 啊 commonly closes the exclamation.,Highlights a striking degree.,approved,
gpattern_e6d2566946924674b64435c04322d149,glesson_1f5b7591c8de4534a071d4e868fa3f63,gelement_badce7b365884bd88dcb4edf4af1d1c1,2,Highest degree,最 + Adjective,Place 最 immediately before the adjective.,Selects the highest degree in the relevant group.,approved,
gpattern_295fe9f72fe5487984319bca28cb6922,glesson_c9eb971d6b9c48a191b9422e545b52e3,gelement_e1d0f2dbb2384f9b91234b703b971f4c,1,Shared action,Plural participants + 一起 + Verb,Place 一起 immediately before the action performed jointly.,Groups the participants within one shared event.,approved,
gpattern_500d2f6258d640c7b81e032e4bf24cfe,glesson_32b7676dc1714d9390f46157a5251722,,1,Time viewpoint before a predicate,Subject + Time adverb + Predicate,Place the time adverb before the verb or state it qualifies.,"Selects continuation, prior realization, frequency, imminence, or present progress.",approved,
gpattern_1983588db8224ec589f6374cf914129d,glesson_8b5643c69b5541b087e6806ecef94f7e,,1,Frequent action,Subject + 常/经常 + Verb,Place the frequency adverb before the repeated action.,Presents the action as common or habitual.,approved,
gpattern_6a5bf45b22ed4fe4b6f517c26e86bde7,glesson_6eec0008af9b4d6fbc582149b6303e6e,gelement_05d9d26e873746158cb0ff9298cc912c,1,Do not,(Subject) + 别 + Verb,Place 别 immediately before the prohibited action.,Forms a negative command or warning.,approved,
gpattern_d09d3f2e23884000b45daa5f0c6d0ccb,glesson_645bec7bf7d34fab8a8a2dd3559217e8,gelement_39be2073c23943338abe83c4de4e3886,1,Later step,First action + 再 + Later action,Put 再 before the action that should happen second.,Orders two actions without claiming repetition.,approved,
gpattern_dd469d3ee5c34a78bc0d498c1185ee33,glesson_645bec7bf7d34fab8a8a2dd3559217e8,gelement_1718724a3e2c4dc3b8135af4a8faf509,2,Prompt next step,Condition/Time + 就 + Result,Put 就 before the result that follows readily from the first part.,Links the second event closely to the first.,approved,
gpattern_59cff157eace4f7e9440685cc7a1b0e6,glesson_527c85c04e5b411f83b5db806dc52df8,gelement_78468181c7734ec1b50654d138e25f65,1,Reached point,都 + Predicate + 了,Place 都 before the state and close the reached-point statement with 了.,Highlights that a time or amount has already been reached.,approved,
gpattern_bdd14334207d4565b93c7070f1cdc5f4,glesson_527c85c04e5b411f83b5db806dc52df8,gelement_a8ab68cc94db4257b8dd7c25b025845e,2,Narrowed choice,Subject + 就 + Focused predicate,Place 就 immediately before the deliberately narrow or exact choice.,"Conveys 'just,' 'only,' or 'precisely.'",approved,
gpattern_3657b1d6972b472d8123188ceca83121,glesson_527c85c04e5b411f83b5db806dc52df8,gelement_71f7267b0b774e98910c66b355661ca6,3,Maintained course,Subject + 还是 + Predicate,Place 还是 before the action or state that remains in force.,Keeps that course despite preceding context or an apparent obstacle.,approved,
gpattern_ba4976d71a444475af1772c373d452c7,glesson_55984ca37edd412280de4d44daaa9275,gelement_88fd398ff0324169beee7bb31a4fab66,1,Starting point,从 + Time/Place + Predicate,Put 从 before the time or place that serves as the starting point.,Sets the origin of an action in time or space.,approved,
gpattern_7f9a497f098043f793451eed1f61b46a,glesson_6d2bab0c242a402a809aabb3179c3e00,gelement_c1b53f254c5f4206b45ae202f08ee602,1,Movement direction,往 + Direction/Place + Movement verb,Put 往 and the direction before the movement verb.,Orients the movement toward that direction.,approved,
gpattern_216cb31200b44e759f50bbfb27d5a624,glesson_5e8e696279814a90be92d5a941dd0a09,gelement_55fa718dfa5d49819f36c00cda497cf1,1,Source or route,从 + Direction/Route + Movement predicate,Put 从 before the side or route associated with the movement.,Specifies where the movement comes from or which path it follows.,approved,
gpattern_1e52a428c8934e4ca1ab524b6d420fb5,glesson_77963a8dd549420597887a52f0701f48,gelement_a6d76f732e1740dfbb1500883392e983,1,Action for someone,Subject + 给 + Person + Verb + Object,Put 给 and the affected person before the main verb.,Marks who receives the result or benefit of the action.,approved,
gpattern_938ea5befd3c49dfb833c32b48aea7e2,glesson_a0dc28dcfc874f248315ca3e394ff720,gelement_5062673e63bf4cdd859a78e40f4965e0,1,Comparison standard,A + 比 + B + Predicate,"Put 比 before B, then state the property or action compared.",Compares A against B.,approved,
gpattern_a68cdaf93b034450b607383165e5d53e,glesson_db995a72a5ac4c5b855161e5e39a7d72,gelement_01e8da38441e480e9f1298dec033d8de,1,Accompanied or directed action,Subject + 跟 + Person + Predicate,Place 跟 and the other participant before the action.,Marks a companion or counterpart involved in the action.,approved,
gpattern_b7fdec329f444b0c88a9c0b32ea1ebfd,glesson_46b84a7de49e4772a750a61d5bec8cc9,gelement_13fea372265a472ba1a4a60829494ddd,1,Reason phrase,Subject + 因为 + Reason + Predicate,Put 因为 and its reason before the main predicate.,Presents that reason as the cause of the main event.,approved,
gpattern_d4ce203348884f0f988456cd146a19b9,glesson_77b3c6754a5e4c1d97dc166a76a2db8d,gelement_79ec995ab8754922b1a80e540ab20e06,1,Parallel coordination,Item A + 跟 + Item B,Place 跟 between two items with the same grammatical role.,Combines the items as a coordinated unit.,approved,
gpattern_72a2ff81a2574345881e2f83c584d4e7,glesson_b49ce6a5128c454fa3be3acb1540abf7,,1,Contrast,"Clause A, 但/但是 + Clause B",Put 但 or 但是 before the contrasting clause.,Marks the second clause as contrary to an expectation from the first.,approved,
gpattern_99a19f6af81a4e3f89594fbd33ec4081,glesson_b49ce6a5128c454fa3be3acb1540abf7,gelement_5efb1e963dbe4f4eaf14354629c43723,2,Contextual response,"Situation, 那 + Response",Put 那 before the response drawn from the preceding situation.,Means 'then' or 'in that case.',approved,
gpattern_7000c925dd53474185aacae6518be461,glesson_b49ce6a5128c454fa3be3acb1540abf7,,3,Clause relation,"虽然 + Clause / 因为 + Cause, 所以 + Result",Place each connector at the beginning of the clause whose logical role it marks.,"Introduces concession, cause, or result.",approved,
gpattern_8b8de0a5cafa45b98d43cb6111c32838,glesson_b49ce6a5128c454fa3be3acb1540abf7,gelement_0b57985300a7412fa7d0c02280c18807,4,Alternative,Alternative A + 还是 + Alternative B,Put 还是 between the alternatives.,"Presents a choice, especially in a question.",approved,
gpattern_f29eb98d3b3e4c8d92d44e5998d95f36,glesson_15acb1d75c46459f99b079ced557b9b0,gelement_2a55526e8bba4c4d8660858a0979b631,1,Post-verbal complement,Verb + 得 + Description,Put 得 after the verb and before the description of its performance.,Evaluates how the action is performed.,approved,
gpattern_a4f7a288649042fdad3aa5a0eb4ad491,glesson_15acb1d75c46459f99b079ced557b9b0,gelement_8ca560555522451fa23470003dfb5033,2,Pre-verbal manner,Description + 地 + Verb,Put 地 after the manner phrase and before the action.,States the manner in which the action occurs.,approved,
gpattern_b85e0faea6034c4d916253ed2472cab1,glesson_e8f9265e5c9d4c4f8dcdc6d045857372,gelement_26c71cafee7e415a8a3654492b2e3550,1,Prior experience,Subject + Verb + 过 + Object,Place neutral-tone 过 directly after the experienced action.,States that the experience occurred at least once before.,approved,
gpattern_24369c6380d44d4d9095c159e96a301d,glesson_8b55af09f88745a6af81c4cde9573d68,gelement_e055423eec734f6e8a5e25b32b2f54e6,1,Continuing state or action,Verb + 着,Place neutral-tone 着 immediately after the verb.,Keeps the verb's state or activity in effect at the reference time.,approved,
gpattern_84a2662df05b44f49c132179db17096a,glesson_ae778daeb15447bea503c3e2bea7e4a2,,1,Sentence-final stance,Clause + 呢/吧/的/啊,Place the selected neutral-tone particle at the end of the clause.,"Adds the speaker's question stance, uncertainty, assurance, or emotional response.",approved,
