reading_id,hanzi_id,pinyin,pinyin_numeric,meaning_en,stroke_sequence,review_status,source_id,notes
hanzi_5e38-legacy-reading,hanzi_5e38,cháng,chang2,often; usually,24345251252,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_5531-legacy-reading,hanzi_5531,chàng,chang4,to sing,25125112511,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_8d85-legacy-reading,hanzi_8d85,chāo,chao1,supermarket,121213453251,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_8f66-legacy-reading,hanzi_8f66,chē,che1,car; vehicle,1512,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_5403-legacy-reading,hanzi_5403,chī,chi1,to eat,251315,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_51fa-legacy-reading,hanzi_51fa,chū,chu1,to go out; to come out,52252,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_7a7f-legacy-reading,hanzi_7a7f,chuān,chuan1,to wear,445341523,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_5e8a-legacy-reading,hanzi_5e8a,chuáng,chuang2,bed,4131234,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_6253-legacy-reading,hanzi_6253,dǎ,da3,to hit; to play,12112,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_5927-legacy-reading,hanzi_5927,dà,da4,big; large,134,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_86cb-legacy-reading,hanzi_86cb,dàn,dan4,egg,52134251214,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_5230-legacy-reading,hanzi_5230,dào,dao4,to arrive; to reach,15412122,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_9053-legacy-reading,hanzi_9053,dào,dao4,to know,431325111454,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_5f97-legacy-reading,hanzi_5f97,de,de,structural particle after a verb,33225111124,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_7684-legacy-reading,hanzi_7684,de,de,of; 's,32511354,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_5f1f-legacy-reading,hanzi_5f1f,dì,di4,younger brother,4351523,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_7b2c-legacy-reading,hanzi_7b2c,dì,di4,ordinal prefix,31431451523,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_70b9-legacy-reading,hanzi_70b9,diǎn,dian3,o'clock; a little,212514444,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_7535-legacy-reading,hanzi_7535,diàn,dian4,lightning; electricity,25115,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_5e97-legacy-reading,hanzi_5e97,diàn,dian4,shop; small store,41321251,legacy_unreviewed,legacy-runtime,legacy level 1 differs from syllabus recognition level 2; Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_4e1c-legacy-reading,hanzi_4e1c,dōng,dong1,east,15234,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_90fd-legacy-reading,hanzi_90fd,dōu,dou1,all; both,1213251152,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_8bfb-legacy-reading,hanzi_8bfb,dú,du2,to read,4512544134,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_5bf9-legacy-reading,hanzi_5bf9,duì,dui4,correct; right,54124,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_591a-legacy-reading,hanzi_591a,duō,duo1,many; much,354354,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_513f-legacy-reading,hanzi_513f,ér,er2,son,35,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_4e8c-legacy-reading,hanzi_4e8c,èr,er4,two,11,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_996d-legacy-reading,hanzi_996d,fàn,fan4,meal; cooked rice,3553354,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_623f-legacy-reading,hanzi_623f,fáng,fang2,room,45134153,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_98de-legacy-reading,hanzi_98de,fēi,fei1,to fly,534,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_975e-legacy-reading,hanzi_975e,fēi,fei1,extremely; very,21112111,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_5206-legacy-reading,hanzi_5206,fēn,fen1,minute; point,3453,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_670d-legacy-reading,hanzi_670d,fu,fu,clothes,35115254,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_9ad8-legacy-reading,hanzi_9ad8,gāo,gao1,high; tall,4125125251,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_54e5-legacy-reading,hanzi_54e5,gē,ge1,older brother,1251212512,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_6b4c-legacy-reading,hanzi_6b4c,gē,ge1,song,12512125123534,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_4e2a-legacy-reading,hanzi_4e2a,gè,ge4,general classifier,342,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_7ed9-legacy-reading,hanzi_7ed9,gěi,gei3,to give; for,551341251,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_5de5-legacy-reading,hanzi_5de5,gōng,gong1,to work; work,121,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_516c-legacy-reading,hanzi_516c,gōng,gong1,company,3454,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_72d7-legacy-reading,hanzi_72d7,gǒu,gou3,dog,35335251,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_5173-legacy-reading,hanzi_5173,guān,guan1,to close; to shut,431134,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_8d35-legacy-reading,hanzi_8d35,guì,gui4,expensive,251212534,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_56fd-legacy-reading,hanzi_56fd,guó,guo2,country,25112141,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_679c-legacy-reading,hanzi_679c,guǒ,guo3,apple,25111234,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_8fd8-legacy-reading,hanzi_8fd8,hái,hai2,still; also,1324454,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_5b69-legacy-reading,hanzi_5b69,hái,hai2,child,521415334,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_6c49-legacy-reading,hanzi_6c49,hàn,han4,Chinese language; Mandarin,44154,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_597d-legacy-reading,hanzi_597d,hǎo,hao3,good,531521,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_53f7-legacy-reading,hanzi_53f7,hào,hao4,number; day of the month,25115,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_559d-legacy-reading,hanzi_559d,hē,he1,to drink,251251135345,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_548c-legacy-reading,hanzi_548c,hé,he2,and; with,31234251,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_5f88-legacy-reading,hanzi_5f88,hěn,hen3,very; quite,332511534,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_540e-legacy-reading,hanzi_540e,hòu,hou4,back; behind,331251,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_5019-legacy-reading,hanzi_5019,hou,hou,time; moment,3225131134,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_8bdd-legacy-reading,hanzi_8bdd,huà,hua4,to make a phone call,45312251,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_6b22-legacy-reading,hanzi_6b22,huan,huan,to like,543534,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_56de-legacy-reading,hanzi_56de,huí,hui2,to return; to go back,252511,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_4f1a-legacy-reading,hanzi_4f1a,huì,hui4,can; know how to,341154,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_706b-legacy-reading,hanzi_706b,huǒ,huo3,train,4334,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_673a-legacy-reading,hanzi_673a,jī,ji1,airplane,123435,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_9e21-legacy-reading,hanzi_9e21,jī,ji1,fowl; chicken,5435451,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_51e0-legacy-reading,hanzi_51e0,jǐ,ji3,how many,35,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_5bb6-legacy-reading,hanzi_5bb6,jiā,jia1,home; family,4451353334,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_95f4-legacy-reading,hanzi_95f4,jiān,jian1,room; classifier for rooms,4252511,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_89c1-legacy-reading,hanzi_89c1,jiàn,jian4,to see; to meet,2535,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_4ef6-legacy-reading,hanzi_4ef6,jiàn,jian4,item; classifier for items,323112,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_997a-legacy-reading,hanzi_997a,jiǎo,jiao3,dumpling,355413434,legacy_unreviewed,legacy-runtime,legacy level 1 differs from syllabus recognition level 3; Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_53eb-legacy-reading,hanzi_53eb,jiào,jiao4,to call; to be called,25152,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_59d0-legacy-reading,hanzi_59d0,jiě,jie3,older sister,53125111,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_4eca-legacy-reading,hanzi_4eca,jīn,jin1,this year,3445,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_4e5d-legacy-reading,hanzi_4e5d,jiǔ,jiu3,nine,35,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_89c9-legacy-reading,hanzi_89c9,jiào,jiao4,to think; to feel,443452535,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_5f00-legacy-reading,hanzi_5f00,kāi,kai1,to open; to start,1132,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_770b-legacy-reading,hanzi_770b,kàn,kan4,to look; to see,311325111,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_53ef-legacy-reading,hanzi_53ef,kě,ke3,but; can,12512,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_5ba2-legacy-reading,hanzi_5ba2,kè,ke4,you're welcome,445354251,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_8bfe-legacy-reading,hanzi_8bfe,kè,ke4,class; course,4525111234,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_53e3-legacy-reading,hanzi_53e3,kǒu,kou3,mouth; classifier for people or animals,251,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_5757-legacy-reading,hanzi_5757,kuài,kuai4,piece; chunk,1215134,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_6765-legacy-reading,hanzi_6765,lái,lai2,to come,1431234,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_8001-legacy-reading,hanzi_8001,lǎo,lao3,old; aged,121335,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_4e86-legacy-reading,hanzi_4e86,le,le,completed-action marker,52,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_51b7-legacy-reading,hanzi_51b7,lěng,leng3,cold,4134454,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_91cc-legacy-reading,hanzi_91cc,lǐ,li3,inside; in,2511211,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_4e24-legacy-reading,hanzi_4e24,liǎng,liang3,two,1253434,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_4eae-legacy-reading,hanzi_4eae,liang,liang,pretty; beautiful,412514535,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_96f6-legacy-reading,hanzi_96f6,líng,ling2,zero,1452444434454,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_516d-legacy-reading,hanzi_516d,liù,liu4,six,4134,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_5988-legacy-reading,hanzi_5988,mā,ma1,mother; mom,531551,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_5417-legacy-reading,hanzi_5417,ma,ma,question particle,251551,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_4e70-legacy-reading,hanzi_4e70,mǎi,mai3,to buy,544134,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_5356-legacy-reading,hanzi_5356,mài,mai4,to sell,12544134,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_5fd9-legacy-reading,hanzi_5fd9,máng,mang2,busy,442415,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_732b-legacy-reading,hanzi_732b,māo,mao1,cat,35312225121,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_4e48-legacy-reading,hanzi_4e48,me,me,what,354,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_6ca1-legacy-reading,hanzi_6ca1,méi,mei2,it's okay; no problem,4413554,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_59b9-legacy-reading,hanzi_59b9,mèi,mei4,younger sister,53111234,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_4eec-legacy-reading,hanzi_4eec,men,men,plural marker,32425,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_7c73-legacy-reading,hanzi_7c73,mǐ,mi3,meter; rice,431234,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_9762-legacy-reading,hanzi_9762,miàn,mian4,side; aspect,132522111,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_540d-legacy-reading,hanzi_540d,míng,ming2,name; classifier for people,354251,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_660e-legacy-reading,hanzi_660e,míng,ming2,next year,25113511,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_54ea-legacy-reading,hanzi_54ea,nǎ,na3,which,251511352,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_90a3-legacy-reading,hanzi_90a3,nà,na4,that,511352,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_5976-legacy-reading,hanzi_5976,nǎi,nai3,milk,53153,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_7537-legacy-reading,hanzi_7537,nán,nan2,male,2512153,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_8111-legacy-reading,hanzi_8111,nǎo,nao3,computer,3511413452,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_5462-legacy-reading,hanzi_5462,ne,ne,question particle; what about...?,25151335,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_80fd-legacy-reading,hanzi_80fd,néng,neng2,can; be able to,5425113535,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_4f60-legacy-reading,hanzi_4f60,nǐ,ni3,you,3235234,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_5e74-legacy-reading,hanzi_5e74,nián,nian2,year,311212,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_60a8-legacy-reading,hanzi_60a8,nín,nin2,you,32352344544,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_725b-legacy-reading,hanzi_725b,niú,niu2,ox; cow,3112,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_5973-legacy-reading,hanzi_5973,nǚ,nv3,female; woman,531,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_670b-legacy-reading,hanzi_670b,péng,peng2,boyfriend,35113511,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_6f02-legacy-reading,hanzi_6f02,piào,piao4,pretty; beautiful,44112522111234,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_82f9-legacy-reading,hanzi_82f9,píng,ping2,apple,12214312,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_4e03-legacy-reading,hanzi_4e03,qī,qi1,seven,15,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_671f-legacy-reading,hanzi_671f,qī,qi1,week; day of the week,122111343511,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_8d77-legacy-reading,hanzi_8d77,qǐ,qi3,to rise; to get up,1212134515,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_6c14-legacy-reading,hanzi_6c14,qi,qi,you're welcome,3115,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_5343-legacy-reading,hanzi_5343,qiān,qian1,thousand,312,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_524d-legacy-reading,hanzi_524d,qián,qian2,front; before,431251122,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_94b1-legacy-reading,hanzi_94b1,qián,qian2,money,3111511534,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_8bf7-legacy-reading,hanzi_8bf7,qǐng,qing3,to ask; please,4511212511,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_53bb-legacy-reading,hanzi_53bb,qù,qu4,to go,12154,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_70ed-legacy-reading,hanzi_70ed,rè,re4,hot; warm,1213544444,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_4eba-legacy-reading,hanzi_4eba,rén,ren2,person; people,34,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_8ba4-legacy-reading,hanzi_8ba4,rèn,ren4,to know; to recognize,4534,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_65e5-legacy-reading,hanzi_65e5,rì,ri4,day; date,2511,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_4e09-legacy-reading,hanzi_4e09,sān,san1,three,111,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_5546-legacy-reading,hanzi_5546,shāng,shang1,store; retail shop,41432534251,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_4e0a-legacy-reading,hanzi_4e0a,shàng,shang4,up; on,211,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_5c11-legacy-reading,hanzi_5c11,shǎo,shao3,few; little,2343,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_8c01-legacy-reading,hanzi_8c01,shéi,shei2,who,4532411121,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_4ec0-legacy-reading,hanzi_4ec0,shén,shen2,what,3212,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_751f-legacy-reading,hanzi_751f,shēng,sheng1,university student,31121,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_5e08-legacy-reading,hanzi_5e08,shī,shi1,teacher,231252,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_5341-legacy-reading,hanzi_5341,shí,shi2,ten,12,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_65f6-legacy-reading,hanzi_65f6,shí,shi2,time; o'clock,2511124,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_8bc6-legacy-reading,hanzi_8bc6,shi,shi,to know; to recognize,4525134,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_58eb-legacy-reading,hanzi_58eb,shì,shi4,lady; madam,121,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_5e02-legacy-reading,hanzi_5e02,shì,shi4,city; market,41252,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
