review_id,entity_type,entity_id,content_hash,from_status,to_status,reviewer,reviewer_type,reviewed_at,notes
review_f57f8fe7ab92492f99dbe9ca4406a4d8,grammar_point,hsk26-g1-014,7ee64f89f4c541b5745efe7e2c745eb69a1f64a74393bd99b3d91b6836abc75d,syllabus_only,approved,codex-hsk1-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_a8dafefb19d745e588bff239b63ba1dd,grammar_point,hsk26-g1-015,e137b2b12cb845cb747d4ba982c82a99479ade2089e9f20552ec8d60d341261a,syllabus_only,approved,codex-hsk1-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_e9441ed0d0274d3c8dd3d93b82264b03,grammar_point,hsk26-g1-016,6226cb113d2ccf7ea8a96b62163f46096ec2a19d5c9722e09993684b1725401c,syllabus_only,approved,codex-hsk1-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_457b79445587493e87a346ba7747619b,grammar_point,hsk26-g1-017,43705b08e74fe4a219f80b3d037728446d81bf8e8d70fea85cc8ab1c4af24f57,syllabus_only,approved,codex-hsk1-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_70be1d50c5514c5c94aa51e97fa02f04,grammar_point,hsk26-g1-018,470ae0a0da9bf6344d06d69033a70d6811f52ac0f350cbc0df475d8e36011470,syllabus_only,approved,codex-hsk1-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_11fd4f617dad4866a3a60468565bc59c,grammar_point,hsk26-g1-019,e2e622246a48378f6a03412ee4f10e5800a742b5d8a0880af1ddf4da3dd498fd,syllabus_only,approved,codex-hsk1-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_97668ba5ecab4c78a74e8c5a165425f4,grammar_point,hsk26-g1-020,9fabd9302670e4f1b59854eec485ebe93ad3331b0d46b97cced0c1bd1cee9b4a,syllabus_only,approved,codex-hsk1-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_c2b48bf39c85449397df040ddf92a9e1,grammar_point,hsk26-g1-021,c53a4982a6a02fb83471faadcf526fecf9d4f792fcb3a722be09b42b30d4e6b8,syllabus_only,approved,codex-hsk1-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_29a1894b486142eaa3347df6a71d1ae9,grammar_point,hsk26-g1-022,113675123ca6802b590896a70db9fa6e55620d3285e0a8b443d018d5a389a9ee,syllabus_only,approved,codex-hsk1-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_441ca4c3cc7848858ac723d158552cef,grammar_point,hsk26-g1-023,a5b2cee7483dd5fce844bcddb0aaf2f42c04dc508982b64eda740abef536cbad,syllabus_only,approved,codex-hsk1-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_651b98067ba34600a5c066746613c4ac,grammar_point,hsk26-g1-024,0d899fbc521d4379c940377712e6b65c52bb1496d7c05f42f185b1391acf868a,syllabus_only,approved,codex-hsk1-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_82617ff5e2aa463497d0ee669e06f651,grammar_point,hsk26-g1-025,efc4855f873b0197c93149bb0033d95001f163fb7e82377c956f1e82a5981983,syllabus_only,approved,codex-hsk1-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_8315e68d2a98487ea1ad126731d7ed6a,grammar_point,hsk26-g1-026,45febcb2e17b0a38b89204826061d9d5ad0fbfe29c6f89148e3e55e8dadd1808,syllabus_only,approved,codex-hsk1-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_3d6848258fcc44478537917aa7ae7f15,grammar_point,hsk26-g1-027,dae7ccf9a25a366fe7d409409ba77054bf847bbb94ae7ebebb2984285a7b0013,syllabus_only,approved,codex-hsk1-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_c9bb66c22a694df5a5231759fdbd3be8,grammar_point,hsk26-g1-028,465ecf5b89f0e213fd496337430b8028918955b17aa5e521018aaaf30dcd328b,syllabus_only,approved,codex-hsk1-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_b5c8ec7bd1f44b308bd69b8d7867e582,grammar_point,hsk26-g1-029,2954646a47fb42d6f75fefe9520d0df2ee910002eda4d031c656f7f8c1c2a511,syllabus_only,approved,codex-hsk1-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_a72663ecc12e468ba96a00a90718eb79,grammar_point,hsk26-g1-030,d21ca097f431f97c9daec9258d9266fa52dd4430bd667df5ebfaaaaa880e2230,syllabus_only,approved,codex-hsk1-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_33eb14ca8b5642318d08feaeca2245fa,grammar_point,hsk26-g1-031,0a613f520cbe16f04a954a3ac203d509db607b0b5a99ac3bf6dd4974f53ef0a7,syllabus_only,approved,codex-hsk1-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_d21fdf9e9b0a42e6a8df3bf4e7ca3f9a,grammar_point,hsk26-g1-032,342f0497ce45de82baed0235f0a9b02b8bf317ffe54ab127e1dfa349e4ad71f7,syllabus_only,approved,codex-hsk1-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_aeba0103c77f4ac1a7a1fb692bd8448e,grammar_point,hsk26-g1-033,4ffe8724eee7bb688d38c4d084280971d000cf98b59829980d291da810d7ccb4,syllabus_only,approved,codex-hsk1-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_6b34257aeaaf4a03836827afe0790219,grammar_point,hsk26-g1-034,a7c75889024cd7c7898ba9408f837436818f0435b3d6bdd757ee4764b8bdd6a5,syllabus_only,approved,codex-hsk1-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_358cabf2e9ec4191afca45f5b564ae85,grammar_point,hsk26-g1-035,019ad7e7e9627124980249abd88ece9c606546a6f7dc30b52f9191355ff73c14,syllabus_only,approved,codex-hsk1-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_3c0bd28c32a040249ba8c2ca834b8bc6,grammar_point,hsk26-g1-036,c332f0e3d1984e978a392860c5c29d4a54216d42749587a8eec463cda1e20a20,syllabus_only,approved,codex-hsk1-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_aabf94f2bff3400897b13dac42fc4d67,grammar_point,hsk26-g1-037,6b36a9db0b5aa411fd69d0d37e62b4906f170cefb2e8171c28eaf5399e8f20eb,syllabus_only,approved,codex-hsk1-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_2cdaf51619754b76bce74739f76a26f5,grammar_point,hsk26-g1-038,a409e6dab06edccf8a3e5a5c93b5a005d91363d53a191fb5ca2d372e1cf5f2c1,syllabus_only,approved,codex-hsk1-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_4d09a4248c914ef28e0b82cb036fa244,grammar_point,hsk26-g1-039,7055254636a4cbe1e749c7a204b7454525b756b65786fd89dadd0aef1bd6e029,syllabus_only,approved,codex-hsk1-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_642107283b204e9baae5628c9f763f1a,grammar_point,hsk26-g1-040,c46e6eb11c15eef0b417364100c1593f2cb144dae64f8e69d299db5f3b5ac47f,syllabus_only,approved,codex-hsk1-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_95e65d23eb654f65b47e9ca623fb3c8f,grammar_point,hsk26-g1-041,cb954d268d481b7ec2d38604b5861bf16f19a72be405e290844c73f60d0b1509,syllabus_only,approved,codex-hsk1-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_53bbf6a1abc34f2aaec15c2a0879e9c6,grammar_point,hsk26-g1-042,83c955b64cdc949d6c7dfb17dc3d74c4e65ace95037c770fd98c56f307bebaf9,syllabus_only,approved,codex-hsk1-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_1dc06adb56094f12bc631e37b73547e8,grammar_point,hsk26-g1-043,bb2c06b9842c30043d834b241d4a488fca84d1466b22ba13dda2ed38eb4d6a79,syllabus_only,approved,codex-hsk1-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_14ba7e732da84b87a006b786abb3ea11,grammar_point,hsk26-g1-044,b02f4959b00ab60cd379f67364fec01c55a72821b99a1f181cb28157d5ccb49c,syllabus_only,approved,codex-hsk1-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_d27cbd5edf64402c91acc70398f11203,grammar_point,hsk26-g1-045,2dec46a439f3e67be4af2067f8917afa609093dc16d43bf98b8e469fba1ae407,syllabus_only,approved,codex-hsk1-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_c8b375d82afa4548a0820bf184b28d64,grammar_point,hsk26-g1-046,0738ab7cb028a073a74c3771f2d0e569a982299c9bfec1f260293849802d4102,syllabus_only,approved,codex-hsk1-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_3d26ddf13d004879816980b0de7e519c,grammar_point,hsk26-g1-047,93471ffedb366c2aa3698ea3681b2cb9d2344fcdc985fffc7fc3c1336be51524,syllabus_only,approved,codex-hsk1-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_a2dfa8cfd5fe4539a14962c0fda36ad1,grammar_point,hsk26-g1-048,af02a374dcfd4b627db5feb0d6df2077f1e7288f2efd4fca7643826d4eca0e20,syllabus_only,approved,codex-hsk1-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_16d144f64ee4417a9b3c32c49363f694,grammar_point,hsk26-g1-049,0dfca4aa3cda4a2727e27fa27e36e97d5685fec1cf8c91fff7710d9661930e9b,syllabus_only,approved,codex-hsk1-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_db2b0cf1f98846d3abdeb76ddd2d7773,grammar_point,hsk26-g1-050,628234f2c2bbc7bdd921340793653756a129185214d7ca7979055a641db0017f,syllabus_only,approved,codex-hsk1-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_12716fa46d284d53aee5a46ce5519dd0,grammar_point,hsk26-g1-051,41f0e58d57247c93f14830ee757822cb59165c851d5b2e9136792126433525c2,syllabus_only,approved,codex-hsk1-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_426a6b5327f24a449731e79dbe5322ac,grammar_point,hsk26-g1-052,85ec990d2aaab6770433383b8a54082b182777eed9d69393e75975e9b5058982,syllabus_only,approved,codex-hsk1-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_117127a657484111b9f7fd369e59478f,grammar_point,hsk26-g1-053,4fe71e3c04884a0694627d4780849c27fea93d0e59600f1eef3dd434296b5f5b,syllabus_only,approved,codex-hsk1-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_a85569d06bd740b2b97b87efbc4a46fd,grammar_point,hsk26-g1-054,ca34a51c2cc9a4002e1e833e5b71cc6e0951bb0f2aabb019232bd2b400b269fe,syllabus_only,approved,codex-hsk1-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_97dd871a31c943ea8c091071340beccf,grammar_point,hsk26-g1-055,c96c0b8b67c9b6d14eb4c7e472b5aabce75b60cf84ecd3e8cabaa784d9ad4502,syllabus_only,approved,codex-hsk1-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_fdfb92004c334d848d65c12e5b5c85fb,grammar_point,hsk26-g1-056,37518c0ae4a250097c3fc6fe59584066e6bd3c020f40e77505af404c516881f1,syllabus_only,approved,codex-hsk1-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_3b1e29bb8e7e4842862c6dbfe715b44c,grammar_point,hsk26-g1-057,e92950b98ce1f51ea95a72629890b2e26fae39cf18ef11902a511df4067d8c12,syllabus_only,approved,codex-hsk1-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_d4d7d8eb12b746909afbac6f80cf04e2,grammar_point,hsk26-g1-058,dc3d68632c6812b32e8783f3afafd75aea37c4066f3f7c155d265abc34083c53,syllabus_only,approved,codex-hsk1-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_355cbcd0caf646b4b6d570d390d0be08,grammar_point,hsk26-g1-059,368a5eff68c1fce3cd432ab92f49c56e9f24133aacbdd10833956482d973837d,syllabus_only,approved,codex-hsk1-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_79a83f119b7a4e2987e7c1c529e984ea,grammar_point,hsk26-g1-060,491a87390802cffaee2f25af61bf197e1465ceab05120dd7fad9aec7d5c68b10,syllabus_only,approved,codex-hsk1-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_c37ee27c18f64cd7a56ee1183bdace51,grammar_point,hsk26-g1-061,c5ec78c629f70aa7277afc701d3ed553453a22b92643adc019068073dda31bf2,syllabus_only,approved,codex-hsk1-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_f7f3b092dc6f4b2bb17793b7844bde83,grammar_point,hsk26-g1-062,2ee11b3de292db8fb92636fce2e4a3b0afa51218f027923550d0f675f65d3d49,syllabus_only,approved,codex-hsk1-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_08a8bd655c7d4ced90565a1e582d3798,grammar_point,hsk26-g1-063,f179a4750216a31ecba56c8a0e3729c8f356d97f391092c52777a7008f73544d,syllabus_only,approved,codex-hsk1-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_e6f1994907654ac9934f5dc54d10a288,grammar_point,hsk26-g1-064,fdc5c9d994f50f6488e53ce410190220017c473472b183ef6a424b91699de09d,syllabus_only,approved,codex-hsk1-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_2ec7351da04c4f38b72dba8bedf4c641,grammar_point,hsk26-g1-065,c6de9a4bdecd909d18cb4026de7712948b7ba24be6b37074cf62b46c8d56fdd5,syllabus_only,approved,codex-hsk1-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_2412507a8ba24237850096f81d561fe6,grammar_point,hsk26-g1-066,7db98a1e02140110d8c801002ef8964ec7d9a4d746ce38e967cf251849c686a3,syllabus_only,approved,codex-hsk1-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_784a4702edad4644ab5ed3db67220dfc,grammar_point,hsk26-g1-067,fe95904203bca1f85f9274c12f3739b4369d080064d3d6efba87ecbf9d2373f7,syllabus_only,approved,codex-hsk1-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_f1ddede6639842cba49768459f846795,grammar_point,hsk26-g1-068,93045452686aed92a32262e6fb9e2d17e8ecc5cfff27f960abf713370e54361d,syllabus_only,approved,codex-hsk1-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_3185471299954ba1a3654f9faeb292b5,grammar_point,hsk26-g1-069,1219439e4d1cc70dddca8252c72d679c63f372e34c989f012162730a860b269f,syllabus_only,approved,codex-hsk1-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_79f0d62ffe9249a08e388e88e5e43208,grammar_point,hsk26-g1-070,9def150bcb622fe76a36043d8a6a1e1c42f4422091637b34b0386396318269b2,syllabus_only,approved,codex-hsk1-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_45aec9ee42e94c729b33e8d9babcf56a,grammar_point,hsk26-g2-001,e494de382866b5df672a1e48ccbf614eabc0bed87881137afb903d2d3bb54a41,syllabus_only,approved,codex-hsk2-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_9521a6787c4543ff9629431e8820c35b,grammar_point,hsk26-g2-002,410c2e3ff9a56b92f57cf4ff3e6abd60195dc233397307fab820976f587f715e,syllabus_only,approved,codex-hsk2-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_04163670dbfa489e818aa7d95880d577,grammar_point,hsk26-g2-003,eb580bf3b5c9621b2f79de1a384d9fb0bd4d4fed1daeba34873b6b569da7e6f2,syllabus_only,approved,codex-hsk2-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_c5e9c992cdba4cdab088ffeaeb638d85,grammar_point,hsk26-g2-004,6ca9f9bddd8aed88fe19ff8a0401630546ba02aaad5c23d32137cf06218cced5,syllabus_only,approved,codex-hsk2-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_d7eefa9871814aa0aab8648d545e0b93,grammar_point,hsk26-g2-005,72b4c3f9b612de5d353bdd9ffccfff08259761e8cad089da419dc7d24f8559b1,syllabus_only,approved,codex-hsk2-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_e37875e5366f46319f76810234fa25e5,grammar_point,hsk26-g2-006,ba703f4baf1592846739420ae3bc1713b0da58ca4484385976ec04077f5e4300,syllabus_only,approved,codex-hsk2-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_ef48fd90bad049a8b424ec49133e9b46,grammar_point,hsk26-g2-007,a578b94db9da69628509c06fd059f376c6b194780475427938593459145f9b68,syllabus_only,approved,codex-hsk2-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_6ce6f231efd24678a821a04d82e59d4e,grammar_point,hsk26-g2-008,d64a295cd9b54f5eca923f447bc4d92deea5f70636b1a945f90a7485d1d3c68c,syllabus_only,approved,codex-hsk2-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_825928f2c60e44119317d69bc7a7e252,grammar_point,hsk26-g2-009,e77c5b916736fedbf53c938d17b4aa6f6577b786b6dbea4fc749b3abfbfd0abd,syllabus_only,approved,codex-hsk2-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_9aae24a2a9ce48288cb5aaf1e1676de2,grammar_point,hsk26-g2-010,1fee6454b189929b3790ae0b2dda696b5016b95fe2d3f3588dafee2bda5afa3a,syllabus_only,approved,codex-hsk2-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_d302179414c64dc08f5a409731433b27,grammar_point,hsk26-g2-011,4eb378b0227702762cd5814e19275b3669587229b3aa0e402212fb3e0eb26989,syllabus_only,approved,codex-hsk2-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_5912a7c180824401b906404c579a8585,grammar_point,hsk26-g2-012,4d3b364ddb7ff07155e1de64cb09cf0c0cc349e1aa0c2f2ee424d0f75478472e,syllabus_only,approved,codex-hsk2-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_f8e3fd35612f4d1b95cc0b5f1f5e83f9,grammar_point,hsk26-g2-013,67db6708c6d0f005d48b9de0c8550b6d43d0ef078ba9398d6fe4ca44c760baa0,syllabus_only,approved,codex-hsk2-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_8f5039de4fed4a448a67485fc8ae4a04,grammar_point,hsk26-g2-014,00ba9bb9d72a3e9be1448f6441ae5203d0f1935ab1223b969320f23a37f1755f,syllabus_only,approved,codex-hsk2-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_c92d03705a4a4cb8b69488870e773968,grammar_point,hsk26-g2-015,ccecf677bacf23ad740ab84c9152d6e46740dd71283fb76ebe31618ca4ccbda2,syllabus_only,approved,codex-hsk2-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_2e427ed2ab534ae5b3ee1fd5cc9d6814,grammar_point,hsk26-g2-016,3c014059a846b2e1dbe440fa14cd8f6245d5184ddb558960e0af2d02a0c7a370,syllabus_only,approved,codex-hsk2-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_2f9475e38d64483fa000c7165ab616f9,grammar_point,hsk26-g2-017,f66bee6cd53fa11ff17b5af13edd1a48983054ba704f6cbb3ccde822e80f9d9d,syllabus_only,approved,codex-hsk2-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_c4f7b66ca766475ab1aec8ffcdf037a6,grammar_point,hsk26-g2-018,b7c10f727ea55ed89059afc14eb72502e0d7dfb2b662c0d4c7306012c3ed4902,syllabus_only,approved,codex-hsk2-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_572ba91a60854428b13b342069a7fcfe,grammar_point,hsk26-g2-019,600d13d5932bd7284eac3aa31c8b2d27b53996406f9d3c59084ec03babd8f310,syllabus_only,approved,codex-hsk2-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
