grammar_example_id,grammar_lesson_id,grammar_pattern_id,sentence_id,example_order,context_note_en,example_kind,review_status,notes
gexample_34dd352d28474802a8e50ef8715e8199,glesson_43642677d6364b81a48e4506d8a0105c,,sent_2d492d83465249189740f2c8fc3d7373,1,,primary,approved,
gexample_30386be4fb844e0f94ed90724ec8ca07,glesson_43642677d6364b81a48e4506d8a0105c,,sent_421901955a8e4de89cd2ec44415425f2,2,,variation,approved,
gexample_bb2a1560c4904d3a804750022dadcea7,glesson_1a3df179f68d4d33aa38254927c24dbc,,sent_1ee09ae9ad254d069d740ca8935fd5af,1,,primary,approved,
gexample_512f303622fb4803aed72d48dad01131,glesson_1a3df179f68d4d33aa38254927c24dbc,,sent_07add31485cd4813a7bb064070f8ce3e,2,,variation,approved,
gexample_74d23b54f4fc4352800dbd6a289755db,glesson_6360c8ccc591431488f7006797127eb7,,sent_0711f18bb51c4084be5c85d7b8964250,1,,primary,approved,
gexample_232d71b233f64c12a3c979bae3264400,glesson_6360c8ccc591431488f7006797127eb7,,sent_83682ea952f645d386b536dfd9a54b73,2,,variation,approved,
gexample_f219decb9c3248189fc15a32b4f6e605,glesson_d7cad090d9554245a5dbed09caa87826,,sent_9f38b94deeaf4000958519cea94ef95b,1,,primary,approved,
gexample_8f16d444cfaa459bbb7bcee78c9ea47f,glesson_d7cad090d9554245a5dbed09caa87826,,sent_eb1228a5190c4bcc9e4fa14b1eb0fb23,2,,variation,approved,
gexample_d79059feec804af98e66458478217025,glesson_92993e435fd2485884e66731507a89a7,,sent_19deed6e0eac4f88bdd413d70430ed3e,1,,primary,approved,
gexample_7b4ec541d9c748e6b701fc95b9af1675,glesson_92993e435fd2485884e66731507a89a7,,sent_ebe2a019121d4f41a55d48d467c8d770,2,,variation,approved,
gexample_72230dad3b214b48babca1deecda6de4,glesson_ffcb8ee873944afc831b07219d8b60c4,gpattern_85484552d4a34dbb8f9ce39d59070ec0,sent_1583d9d572824a9796a581b572473170,1,,primary,approved,
gexample_a54d45a24dd841bb9d25c9be7b1a7a8b,glesson_ffcb8ee873944afc831b07219d8b60c4,gpattern_85484552d4a34dbb8f9ce39d59070ec0,sent_4fabc5753fd441578059dd18a369fd50,2,,variation,approved,
gexample_25e9ec64c086476699c1c433cc32a510,glesson_366fff0d896542d0921adc449244e8df,,sent_a7399989ac3d4768ae8a647679432e4b,1,,primary,approved,
gexample_9e2715b975194e9ba847d631e0c471c6,glesson_366fff0d896542d0921adc449244e8df,,sent_398e621407b84532a76e42038faae027,2,,variation,approved,
gexample_f5c5a835d42b45cc92c32385fbfdc4c3,glesson_16cda7aefaaf49eebd4327366d43cb10,,sent_c6ab873591da4b61965aebae5455a394,1,,primary,approved,
gexample_cc233499b3824dfa925317e57445ac1b,glesson_16cda7aefaaf49eebd4327366d43cb10,,sent_c33c8ebc7c724a9491362f1e25783bd2,2,,variation,approved,
gexample_25425ae695f14bbfbf9b6e4180c3914c,glesson_4352b1a2159746fd89c742e39cd0668f,gpattern_cb1c93d5fd3342e5ba284a800110b5eb,sent_d752349599a44239ad0af5a63617757f,1,,primary,approved,
gexample_8c709835d14e4f19818b3a58aeba7b11,glesson_4352b1a2159746fd89c742e39cd0668f,gpattern_cb1c93d5fd3342e5ba284a800110b5eb,sent_e489b1992acd4ca1baa290a9b4b38dc1,2,,variation,approved,
gexample_500d8710344a48218dcb3a2d0b77bdeb,glesson_ba7347a31d784cbca5182e1d566478fe,,sent_70d7f96e1b724bde97fb8c756743f10e,1,,primary,approved,
gexample_99b2c8a87f2f47a294805d8b4f17165e,glesson_ba7347a31d784cbca5182e1d566478fe,,sent_781ec881d57048799ff36efc7e78d258,2,,variation,approved,
gexample_6aaf0acb0a3245d8a9f6516832a0036c,glesson_25b211801b454d9ba2a99a519ff3d998,gpattern_73b06ad2be9f43f49ef28a298552323a,sent_40ab341571374ea595135f27a48db0a2,1,,primary,approved,
gexample_5e419924dc1b48c094112c2c166f0311,glesson_25b211801b454d9ba2a99a519ff3d998,gpattern_73b06ad2be9f43f49ef28a298552323a,sent_be42931f34fe45a5a7a60499b69b4312,2,,variation,approved,
gexample_ca5f185ce063468c8358e6409aeb5280,glesson_7fb2f8481a4c4d02942993747c989fcc,,sent_f07ec027f91f4cd3a625623599754f8b,1,,primary,approved,
gexample_bdfb7ba3c5ba4c41be37c5aaebf2cbad,glesson_7fb2f8481a4c4d02942993747c989fcc,,sent_7c0ca4ce42004046b81ac9cb28f2b5aa,2,,variation,approved,
gexample_cd0f96f9b8e447668b993a8ce5258d03,glesson_8045fc9617b844d1bea15d13eeab2498,gpattern_2209e49aafd448d699e75e79ed2acfd7,sent_11c50fafb25a4941a6a90f0b42622eb1,1,,primary,approved,
gexample_16cca6e5ff1447e5acce62ee0b2a59f4,glesson_8045fc9617b844d1bea15d13eeab2498,gpattern_9ed63dfb08094847984c9164efdedbaf,sent_6309a43a347d4f56ae3e965cd3296de6,2,,variation,approved,
gexample_b63afb3846454f29aef449936f7c5134,glesson_8045fc9617b844d1bea15d13eeab2498,gpattern_9596d8858a2a4354813285a7a7ef9323,sent_14982a4542814d619d4a197657556275,3,,variation,approved,
gexample_81b039b2a20a46d8ae426c74a2869684,glesson_774188c53155422ea5f9f9d9176814f4,gpattern_b3555b4281974b1099fbe81b8c06ef31,sent_68e99c63481c46afb7c4a0db25645ae5,1,,primary,approved,
gexample_28be051c835d43068165a80323b30db3,glesson_774188c53155422ea5f9f9d9176814f4,gpattern_b3555b4281974b1099fbe81b8c06ef31,sent_24976a1023f74aa1904b98829654609c,2,,variation,approved,
gexample_b119fdc0a20e4f38874b65b4c4a9506f,glesson_74aaea9ca06346b8b9c1126fb6e0915e,gpattern_1dffe951ea2f4835859690e113ccb1b7,sent_66e33a42f8444438a0498e19abeb7479,1,,primary,approved,
gexample_654a52c8cce644b488a75d1cab87dc7e,glesson_74aaea9ca06346b8b9c1126fb6e0915e,gpattern_f532c35e63b2422a8ee53e64b5e89a69,sent_686ae9e4fbcc4eaf934e29984e882dd9,2,,variation,approved,
gexample_d5a1ea5937f84a849ae3a710179b5b92,glesson_0e77d991e9a346519efa66a6c5882497,gpattern_8bd94259fe8b4f71b8a4641328367953,sent_6a3256d10f974a2e9d37c7f2c51eaec9,1,,primary,approved,
gexample_ec9b8f0db2624a25b8e7a014f28feabe,glesson_0e77d991e9a346519efa66a6c5882497,gpattern_8bd94259fe8b4f71b8a4641328367953,sent_49724b8b44de460e997938bf11815a72,2,,variation,approved,
gexample_aeb1e2125c6c4a5abb2722bb73a5671d,glesson_a74fcd39ad2c4fb59a14ed3cf69e5f45,gpattern_1137ac8965924b978f8ec7540b466825,sent_3ddeb663cd7c4bb388c5496e25388351,1,,primary,approved,
gexample_123b3c06a89847928bea4bc7545cbde2,glesson_a74fcd39ad2c4fb59a14ed3cf69e5f45,gpattern_1137ac8965924b978f8ec7540b466825,sent_713e7d9abace43bb8309a108e6fda6dc,2,,variation,approved,
gexample_667757b4a0f94173a93434798236b75d,glesson_1a09481348024cffac4caba31e71ccb6,gpattern_67eb5e45404340ad9a8b8f6eb619ec76,sent_e6561ed011704683aec0316ad8e432c1,1,,primary,approved,
gexample_4a8276ab287c4322b723f74404f71934,glesson_1a09481348024cffac4caba31e71ccb6,gpattern_67eb5e45404340ad9a8b8f6eb619ec76,sent_5c6ba6a91f3846df9a91bc494d0288a7,2,,variation,approved,
gexample_9671af513ca143ec8d871186361a00bd,glesson_5a0310b4cf854089997508807c121c78,gpattern_9933ef32979b44d7a8207b76596121c4,sent_64f214ce054f4b4296d2b73a42469a57,1,,primary,approved,
gexample_7ba67025c3f645b3b0471a2169f9bb00,glesson_5a0310b4cf854089997508807c121c78,gpattern_fd96971fa1ce497a93c39a0efdef690f,sent_f553b32e12f944db8c53ec63c58e7d3c,2,,variation,approved,
gexample_bf99e3b373664a7b87a3cde8d74107de,glesson_5a0310b4cf854089997508807c121c78,gpattern_d97ce888a4984b83ae1d697fe89c6079,sent_11218690a43d4cbc970123179dc7565d,3,,variation,approved,
gexample_2109e85839b04ccebda19296a0eeadce,glesson_5a0310b4cf854089997508807c121c78,,sent_e75b96c09c314974be594dc8e65b14c4,4,,variation,approved,
gexample_b256c4a6c82143e6949845ca7f9d61c4,glesson_5a0310b4cf854089997508807c121c78,,sent_d0d33ca22aa247d19409cc7790dc7db2,5,,variation,approved,
gexample_743bdbe60134409e9af8a2a65709e041,glesson_5a0310b4cf854089997508807c121c78,,sent_5aacd29f1f104d9dafe1f0b5dbfab812,6,,variation,approved,
gexample_4a5fa77523884990be5f98a99c90068d,glesson_b94351c5fad2413b9981abea6bd8ba95,gpattern_c1b6510cb21a4734abcbe5f75fae4b88,sent_78f182a187254a438053a8ffa0cb6f81,1,,primary,approved,
gexample_322c0047e09a4d5ea7d946dec52b0862,glesson_b94351c5fad2413b9981abea6bd8ba95,gpattern_c1b6510cb21a4734abcbe5f75fae4b88,sent_848cda24621d41019eb233c2be11cc19,2,,variation,approved,
gexample_77d2854eee864747b1d941a44c0cc2d0,glesson_8a50ad5ec1cf47199bad98e7b15fbbfb,gpattern_8cc081616a254cd5a3c5c36f480f99f8,sent_cd344664b205414abcfa049cd7c9a81b,1,,primary,approved,
gexample_7dc0488344324c9984c487d9ff97dd98,glesson_8a50ad5ec1cf47199bad98e7b15fbbfb,gpattern_8cc081616a254cd5a3c5c36f480f99f8,sent_2475b659732a473fba021e60b58e835e,2,,variation,approved,
gexample_a505dc844b314f3d95015f4ebe902258,glesson_2168b15d20824e47b75dfa55e28dbf3b,gpattern_c7a3ac9fca7d466188ab4e0ae725c649,sent_955d4777a10f44b4a4df800fd57b2b12,1,,primary,approved,
gexample_59e26c8f7c6447a9a51f5759eabcc159,glesson_2168b15d20824e47b75dfa55e28dbf3b,gpattern_c7a3ac9fca7d466188ab4e0ae725c649,sent_7050e4bd117047c9a36c02fcf93564ed,2,,variation,approved,
gexample_e671edf0c9e24754a417f02b02033e1d,glesson_1fc581dad530442fa886235a4e4f7d9d,gpattern_951295c831224c229a1c7580f0873f35,sent_e32c51195c2346f2860e8822f1c38de2,1,,primary,approved,
gexample_7e571d41b4ce489b827af4eabce08263,glesson_1fc581dad530442fa886235a4e4f7d9d,gpattern_951295c831224c229a1c7580f0873f35,sent_5863ab8fa394403dbe00acb444e4b73b,2,,variation,approved,
gexample_73a7f0704ba64e8b8ee1a02accacf11a,glesson_4d919eed7b9347febdef9633d1781586,gpattern_b8f451374bf54b54b3013a36eb809292,sent_ef5a3e52ec70478f9058173a01e5db39,1,,primary,approved,
gexample_5434641f4e9542e2bfd0bc382a08b1a2,glesson_4d919eed7b9347febdef9633d1781586,gpattern_b8f451374bf54b54b3013a36eb809292,sent_948dfb7cddf64ca0ab7ba2bcb46d69d8,2,,variation,approved,
gexample_46c5e82c4eac455990e2c91a6d57f248,glesson_550e903fb0ab4a659570c5c0220af87d,gpattern_312a9bebab6c428797f60317eb01e3eb,sent_b6d70c3f48c841cc89c69803f01a7ac2,1,,primary,approved,
gexample_e31fa1c965854244a062d82b6a14ae05,glesson_550e903fb0ab4a659570c5c0220af87d,gpattern_312a9bebab6c428797f60317eb01e3eb,sent_bb6b69c2a48c404caadcfb02e8ad8db0,2,,variation,approved,
gexample_7de0d4aa46af4629a53b2f4ac3c31fd8,glesson_627f84e67bba43b397e2c78ba24d0683,gpattern_a94bd84b10584a95bbafdb75e473a60b,sent_c8bf54eee7cd4d169e483bb3b198abba,1,,primary,approved,
gexample_b94dfcacac86441fb4bb2737947714a5,glesson_627f84e67bba43b397e2c78ba24d0683,gpattern_a94bd84b10584a95bbafdb75e473a60b,sent_49a397ac4790417ea1188e33c417fb48,2,,variation,approved,
gexample_317f574714274eeda44a2d010b955f20,glesson_9a5f822d74fe4c839e358a1bc3acfd9b,gpattern_5fbd1f090858411387b8644b39025a22,sent_16a6cfa6200a421dbfa2e3b5aa491c81,1,,primary,approved,
gexample_1b77b0722365444b9e922bbc60dabf97,glesson_9a5f822d74fe4c839e358a1bc3acfd9b,gpattern_5fbd1f090858411387b8644b39025a22,sent_26041add9bc24f03ab384f3e5eebf1f1,2,,variation,approved,
gexample_97bca6c8a1ef482d8cf9379ee426028c,glesson_29e6003d76324040b5569af989f757da,,sent_ecd0089d92e645c3997e21c8ba395444,1,,primary,approved,
gexample_9265c95b75864ce7b60957c795af061b,glesson_29e6003d76324040b5569af989f757da,,sent_f41c7062720541a18d1d57000d5e7137,2,,variation,approved,
gexample_1dff9dee5dee4d5b9e42d971ebe01593,glesson_4eb138b94d8f4d2995ed9c5d082a8f28,,sent_f7a196276c8c4cb7a08dfe6f010d11a9,1,,primary,approved,
gexample_f99978af8dcd4825a07b68bc70506426,glesson_4eb138b94d8f4d2995ed9c5d082a8f28,,sent_4b7d565ec8c34a44b75070b7960217a7,2,,variation,approved,
gexample_f24e41bdddf74ae59975f93cde712c1b,glesson_a7ca54ff385649f5a6c3f1bfa66f4cba,,sent_7f23ee9592e04a66bd55a816161ac1df,1,,primary,approved,
gexample_e43e8adc03154f4fad8cbdf86251b128,glesson_a7ca54ff385649f5a6c3f1bfa66f4cba,,sent_3e2e97b7f831478b8b7e7ad1a217c0b7,2,,variation,approved,
gexample_663f7e0aa5cb4ac69d93357d5f938539,glesson_537d191c1b5c4bb596cb5b0152173131,,sent_3affba336de644c7865ae8dc261477ab,1,,primary,approved,
gexample_d0324fa46ebb4bd9a569119e95f2d0d8,glesson_537d191c1b5c4bb596cb5b0152173131,,sent_b0f254fc48e840da841f36dbd0615651,2,,variation,approved,
gexample_f855b8f080f04926a286eebb269b339b,glesson_27ecd777a2564adaafe8770a1d6b61ba,,sent_d7d00eafcb964916843aed6118cadcc8,1,,primary,approved,
gexample_8640feea6a7c4f4e88f02c2d5e867a20,glesson_27ecd777a2564adaafe8770a1d6b61ba,,sent_f1eb0981574f4b148ff3082373ed50df,2,,variation,approved,
gexample_5c389a20dd2e4c9fa0359864272a2c8e,glesson_fc44a931c80d4e79b32a28b5c7e4c29c,,sent_b4b7142bda1e418dbb826c23b162061e,1,,primary,approved,
gexample_a42945755bc44be5be3ba4375814fb98,glesson_fc44a931c80d4e79b32a28b5c7e4c29c,,sent_3b7e95c3ba13412e9fff362d0ecca1bc,2,,variation,approved,
gexample_e05bfa1ed08945f0be38de46dce6d173,glesson_59f6ebf93bea45fc8fd173609a6b93f7,gpattern_3406076058eb4c10a1219812c509808e,sent_5a04083eb22d4a94bb9674082e6df583,1,,primary,approved,
gexample_38376ef72b704929b9f9ac4706342a34,glesson_59f6ebf93bea45fc8fd173609a6b93f7,gpattern_3406076058eb4c10a1219812c509808e,sent_f6c4e9273f674f5f9a9f10bbf2c5b631,2,,variation,approved,
gexample_78219a5ebee94381a9e20eebae241418,glesson_d3d1433d431346659fad3a64d2d182b4,gpattern_287fe16b36c042489bc086fe5f8d019f,sent_811b9467098649ff95cd270dee7886fa,1,,primary,approved,
gexample_dc3ec87c0a4e4ffdae2c376758de7840,glesson_d3d1433d431346659fad3a64d2d182b4,gpattern_287fe16b36c042489bc086fe5f8d019f,sent_68dc810251ea447fa79da647db12e1b0,2,,variation,approved,
gexample_db7e9f6f44d14fff988abf25d0abae84,glesson_65cef66ccadb4bda94ba9c6ba8ee5533,gpattern_ae3aaafd01914f94a6c2cc3205c1d729,sent_81681579aa794ff8a34bad10acc939a5,1,,primary,approved,
gexample_55cab6f196e04f7c9aa3540d6ac99bb0,glesson_65cef66ccadb4bda94ba9c6ba8ee5533,gpattern_ae3aaafd01914f94a6c2cc3205c1d729,sent_59cc508e7721483abe0192efa11ffc3f,2,,variation,approved,
gexample_5c086316b84042b6a32d0b8ffb1fc037,glesson_605ba97eb84f4d5980bf26497ddab505,gpattern_ed993c25fa1442e583d17f8de0c093f6,sent_1fcb8582fbf548dd95313e5c3c97a53a,1,,primary,approved,
gexample_8b13136878f04f6d91b1cbed6f61242c,glesson_605ba97eb84f4d5980bf26497ddab505,gpattern_ed993c25fa1442e583d17f8de0c093f6,sent_9525bc234a524b0894fe81c76c493657,2,,variation,approved,
gexample_4be65931318d4f3a94de9adaf7559e07,glesson_30e3fcafb95040e2a6f3deee108b10e8,,sent_9346069f800947deba977982c1f84fc5,1,,primary,approved,
gexample_58c2fb7e17bd4d059853975d53540daa,glesson_30e3fcafb95040e2a6f3deee108b10e8,,sent_5a31cdb205e2482d8e559e2d18c38a9f,2,,variation,approved,
gexample_68c2285ec63e444db3a8d3f496f9cc1a,glesson_516cbfcecf1e41348048f4929d6e3627,,sent_21e4b7552883442b9a491fa3fa4d36a2,1,,primary,approved,
gexample_44393e8eed4746f7966f3d7532061e7d,glesson_516cbfcecf1e41348048f4929d6e3627,,sent_9e0342c018b744908b4b2940ec916882,2,,variation,approved,
gexample_99efca21b3c1459cb6cfcddcf8e23881,glesson_09d85cc1ba6e4814b12be153e06f304c,gpattern_6d770f0aa0e5445cace71ae92959da20,sent_cc89b89f82a64300b6d63e356386ac86,1,,primary,approved,
gexample_0579e287a70d4f0f8744256be8b599dd,glesson_09d85cc1ba6e4814b12be153e06f304c,gpattern_6d770f0aa0e5445cace71ae92959da20,sent_50e19cc76c7b4c47abe89fbc437bf18e,2,,variation,approved,
gexample_286bde47fbf7449eb940795906451504,glesson_c64087e117dd44169bd7781d5af92a73,gpattern_fb1f94087ef04cedbeeb17dd8e0c5821,sent_32ae23282e394ff19bef5f1bcbefb2c2,1,,primary,approved,
gexample_4ee9b9c40c62476dbed636bb5a7e0a63,glesson_c64087e117dd44169bd7781d5af92a73,gpattern_fb1f94087ef04cedbeeb17dd8e0c5821,sent_50e2f48ed2ec4645a770e157f39a7676,2,,variation,approved,
gexample_b241088c3d7843699cdbf0ddff4c4fe5,glesson_9cce8dd18eab4193b8fd140c593e243a,gpattern_55a8d582c8f94080bc238c9631de0bdf,sent_030467c180204224a0b239d79f2747a3,1,,primary,approved,
gexample_ed434a32f8ce4716a86ad5fd447970a7,glesson_9cce8dd18eab4193b8fd140c593e243a,gpattern_55a8d582c8f94080bc238c9631de0bdf,sent_d86e1b20b65f4fa69bce29fce05e9e01,2,,variation,approved,
gexample_799dd92687fe42f492352b4e8b2f2536,glesson_53b9d25d39a241d0a380f9f6971ed5b3,,sent_3d56cbcabacb4ba78f1d19c26e5aca34,1,,primary,approved,
gexample_43a48ad3d67d4d5d8dfe89df62e2cbc9,glesson_53b9d25d39a241d0a380f9f6971ed5b3,,sent_cf4cbc7f9e1847178411e459e6de2fc2,2,,variation,approved,
gexample_c1befca731734d688c12f10d7b961de7,glesson_9529a9ee5dd346bcb03610816cefc5c7,,sent_04040ff47ed442b6a6f1c0f47297e167,1,,primary,approved,
gexample_4d3da4f5d8d1425189d7a4a461f3523f,glesson_9529a9ee5dd346bcb03610816cefc5c7,,sent_6c12a04c271b484996e067171c53abe5,2,,variation,approved,
gexample_0143ebcbad7840b89c4fcce2633c3be0,glesson_7e7ea63f64d44d4882dfecb1f9a1b809,gpattern_d6e8d98551cf41bebef6407cbe214e28,sent_4fa8dac770994cbebe4b9e3841a9e133,1,,primary,approved,
gexample_9ed514f9c39f4f1d828bc509b33b993a,glesson_7e7ea63f64d44d4882dfecb1f9a1b809,gpattern_d6e8d98551cf41bebef6407cbe214e28,sent_8717fc279718445a9a9d27f27da1eec2,2,,variation,approved,
gexample_2c7c157583144534b2a753b969694d1b,glesson_cd34aec214fe4a9cabbf2f3af75c073c,gpattern_e9e2b06a21434f9f847ebba37a9b29b1,sent_82fb2bd8c74742a29d0483a66e641d4e,1,,primary,approved,
gexample_775740aa065747ff97ac2c7fa997e4d8,glesson_cd34aec214fe4a9cabbf2f3af75c073c,gpattern_e9e2b06a21434f9f847ebba37a9b29b1,sent_829d270601384a3ca9013bc50c7b66cd,2,,variation,approved,
gexample_184351f1cde94cac9e312a5179a87dee,glesson_a969cfb59bc94ffe9e4cfe7d987bed9c,gpattern_14d7202c551644bfa0c2394f275b4a04,sent_47b5f4878e474a33960398d6fd7ba005,1,,primary,approved,
gexample_fa9ce126be704acf950e07f354c728fe,glesson_a969cfb59bc94ffe9e4cfe7d987bed9c,gpattern_14d7202c551644bfa0c2394f275b4a04,sent_988ec29fad3c4086ad98de1cb297b097,2,,variation,approved,
gexample_e58f26accab446efb0d6391a481b65c8,glesson_2591dabcc1884f9abb97f4a2f22ff0b6,gpattern_eb32dd2a82bd4b58bc77ed4e2e8f9f5e,sent_9386ffe143b24d46b2a376dcbbdea719,1,,primary,approved,
gexample_3e4af6239e954b9181365b360f9ace40,glesson_2591dabcc1884f9abb97f4a2f22ff0b6,gpattern_eb32dd2a82bd4b58bc77ed4e2e8f9f5e,sent_e1eee838220b4fda9f14befd5eb108e3,2,,variation,approved,
gexample_62f883302c2a463badbfc095904e2c3c,glesson_da3d25b747b946389f9953cd5238b2f2,gpattern_6913355faa45496eb9483ac314854038,sent_b7277eab20574700953cec2f172662c6,1,,primary,approved,
gexample_c69fa4524a8f4b5b9268b602bfa52f40,glesson_da3d25b747b946389f9953cd5238b2f2,gpattern_6913355faa45496eb9483ac314854038,sent_601de76421034373b2743abfa75858b2,2,,variation,approved,
gexample_fc676d847f9a4c9cbf6e4adc1306afff,glesson_63b7cbccafa74b23bbd5aa16e6d062da,gpattern_5becfe37c40645dbbe3d945d1a0e1322,sent_5156211469c0422d97f94e18773c751f,1,,primary,approved,
gexample_8a804581cbcc408abf070c1f48fb3b5c,glesson_63b7cbccafa74b23bbd5aa16e6d062da,gpattern_5becfe37c40645dbbe3d945d1a0e1322,sent_9584bdad75da408f8dcfc9ed63fe318a,2,,variation,approved,
gexample_311f9840049a47a6a65119f979c6be9d,glesson_48a062355f864c48b758a0b01ef35199,gpattern_7c73052cecb8454da8b8e483d740a26d,sent_a01469a1a9e743d09c3cabf1cb480e5c,1,,primary,approved,
gexample_225abb81b9024a81a30c263e57170649,glesson_48a062355f864c48b758a0b01ef35199,gpattern_7c73052cecb8454da8b8e483d740a26d,sent_1616132014a94024ba749c2070cc2deb,2,,variation,approved,
gexample_fe5650a376b64940aabe4f3505929c30,glesson_2d8af7f2d3cf4844a8b8092c733e4ae6,,sent_84a688bcfae949f8abf2d8f471bc6328,1,,primary,approved,
gexample_a514f22d3545446aa7e80fb77a55c303,glesson_2d8af7f2d3cf4844a8b8092c733e4ae6,,sent_34f8ca673c91440c8809eab425c8d7cb,2,,variation,approved,
gexample_7ccad2609fb44ef18c7a9bf45a55b5d9,glesson_db21663d6ac94570a7bf0deebcd4c748,gpattern_f6ff582df7824506a2ca766a073fdd37,sent_ca2e75efb7c44123970cdac70ad1efed,1,,primary,approved,
gexample_6128395fc205482fbc122f7ff2a4c1a8,glesson_db21663d6ac94570a7bf0deebcd4c748,gpattern_f6ff582df7824506a2ca766a073fdd37,sent_171537a9c2644dedac6b191be2df3508,2,,variation,approved,
gexample_eae0a18426e64bddbca17b98a4aa55ff,glesson_2232c0c8bc1142afa9218cd5d1ed8c8b,gpattern_b69dd25d557f49098ba7f2f7e2000748,sent_0e067ef0aa1a4bdeaf168005996ba2ef,1,,primary,approved,
gexample_35652635834e4dc2bedb3b6c5e7bc9f5,glesson_2232c0c8bc1142afa9218cd5d1ed8c8b,gpattern_b69dd25d557f49098ba7f2f7e2000748,sent_7ba6409968464d04b58902f315fd6e92,2,,variation,approved,
gexample_4aff2d447c4a44d79d74852ae1e1567b,glesson_1c532271cd2640b49271c5a329873b24,gpattern_91ae5026b2a14b92be8e2411d580333d,sent_06288c026ff14851a7e8d453425caf46,1,,primary,approved,
gexample_549d40e3ad144f8689c35ea53a42f99d,glesson_1c532271cd2640b49271c5a329873b24,gpattern_91ae5026b2a14b92be8e2411d580333d,sent_982128db504f42bab4a9368dca099385,2,,variation,approved,
gexample_672bb4b9312b442cbff8aca91c096bb2,glesson_e905b001675443aca8517dd361e94872,gpattern_203c48b471bd47d0a3daf20d3f57af47,sent_0888cfc8091d493090249a7bf708f791,1,,primary,approved,
gexample_c7ddd534028a4652b35739bd8d3bc83b,glesson_e905b001675443aca8517dd361e94872,gpattern_203c48b471bd47d0a3daf20d3f57af47,sent_28d795128b3a479c8d12dae2e2085e7a,2,,variation,approved,
gexample_b559ff3cea5341e4a5511b6791d82bf3,glesson_36fbed7cb60f418fb1fcde9d82fc8d3c,gpattern_bc4e935d348d47ca933bffce1d5dd93d,sent_2737498703db46fabeb87cd2c0d03711,1,,primary,approved,
gexample_50cb13232e93489a8cf8148ab796cef1,glesson_36fbed7cb60f418fb1fcde9d82fc8d3c,gpattern_e2259e6fc963422b8c37efe7706d73a1,sent_6ac43e56e9484e87bcde466994844080,2,,variation,approved,
gexample_833ddd860345404db5bb1d83cd01691d,glesson_f5920fa0a3c042a48c647c76dd37c313,,sent_0b51a5ba3cc14403abfc33bd5c982aad,1,,primary,approved,
