vocab_id,locale,text,review_status,source_id,notes
hsk26-v00154,en,girlfriend,legacy_unreviewed,legacy-runtime,
hsk26-v00155,en,lady; madam; CL: 个 [ge4]; 位 [wei4],legacy_unreviewed,legacy-runtime,
hsk26-v00156,en,friend; CL: 个 [ge4]; 位 [wei4],legacy_unreviewed,legacy-runtime,
hsk26-v00157,en,cheap,legacy_unreviewed,legacy-runtime,
hsk26-v00158,en,pretty; beautiful,legacy_unreviewed,legacy-runtime,
hsk26-v00159,en,apple; CL: 个 [ge4]; 颗 [ke1],legacy_unreviewed,legacy-runtime,
hsk26-v00160,en,seven,legacy_unreviewed,legacy-runtime,
hsk26-v00161,en,to get up,legacy_unreviewed,legacy-runtime,
hsk26-v00162,en,thousand,legacy_unreviewed,legacy-runtime,
hsk26-v00163,en,front; before,legacy_unreviewed,legacy-runtime,
hsk26-v00164,en,money; CL: 笔 [bi3],legacy_unreviewed,legacy-runtime,
hsk26-v00165,en,to ask; please,legacy_unreviewed,legacy-runtime,
hsk26-v00166,en,excuse me; may I ask...?,legacy_unreviewed,legacy-runtime,
hsk26-v00167,en,to go,legacy_unreviewed,legacy-runtime,
hsk26-v00168,en,last year,legacy_unreviewed,legacy-runtime,
hsk26-v00169,en,hot; warm,legacy_unreviewed,legacy-runtime,
hsk26-v00170,en,person; people; CL: 个 [ge4]; 位 [wei4],legacy_unreviewed,legacy-runtime,
hsk26-v00171,en,to know; to recognize,legacy_unreviewed,legacy-runtime,
hsk26-v00172,en,day; date,legacy_unreviewed,legacy-runtime,
hsk26-v00173,en,three,legacy_unreviewed,legacy-runtime,
hsk26-v00174,en,store; retail shop; CL: 家 [jia1]; 个 [ge4],legacy_unreviewed,legacy-runtime,
hsk26-v00175,en,up; on; above,legacy_unreviewed,legacy-runtime,
hsk26-v00176,en,to go to work,legacy_unreviewed,legacy-runtime,
hsk26-v00177,en,to go to class,legacy_unreviewed,legacy-runtime,
hsk26-v00178,en,morning; before noon,legacy_unreviewed,legacy-runtime,
hsk26-v00179,en,to go to school,legacy_unreviewed,legacy-runtime,
hsk26-v00180,en,few; little,legacy_unreviewed,legacy-runtime,
hsk26-v00181,en,who,legacy_unreviewed,legacy-runtime,
hsk26-v00182,en,what,legacy_unreviewed,legacy-runtime,
hsk26-v00183,en,to get sick,legacy_unreviewed,legacy-runtime,
hsk26-v00184,en,ten,legacy_unreviewed,legacy-runtime,
hsk26-v00185,en,time; moment,legacy_unreviewed,legacy-runtime,
hsk26-v00186,en,time; duration,legacy_unreviewed,legacy-runtime,
hsk26-v00187,en,matter; thing; CL: 件 [jian4]; 桩 [zhuang1]; 回 [hui2],legacy_unreviewed,legacy-runtime,
hsk26-v00188,en,to be,legacy_unreviewed,legacy-runtime,
hsk26-v00189,en,mobile phone; CL: 部 [bu4]; 台 [tai2],legacy_unreviewed,legacy-runtime,
hsk26-v00190,en,book; CL: 本 [ben3]; 册 [ce4]; 部 [bu4],legacy_unreviewed,legacy-runtime,
hsk26-v00191,en,bookstore; CL: 家 [jia1],legacy_unreviewed,legacy-runtime,
hsk26-v00192,en,water,legacy_unreviewed,legacy-runtime,
hsk26-v00193,en,fruit; CL: 个 [ge4],legacy_unreviewed,legacy-runtime,
hsk26-v00194,en,to sleep,legacy_unreviewed,legacy-runtime,
hsk26-v00195,en,to sleep; go to bed,legacy_unreviewed,legacy-runtime,
hsk26-v00196,en,to say; to speak,legacy_unreviewed,legacy-runtime,
hsk26-v00197,en,to speak,legacy_unreviewed,legacy-runtime,
hsk26-v00198,en,four,legacy_unreviewed,legacy-runtime,
hsk26-v00199,en,years old,legacy_unreviewed,legacy-runtime,
hsk26-v00200,en,he; him,legacy_unreviewed,legacy-runtime,
hsk26-v00201,en,it,legacy_unreviewed,legacy-runtime,
hsk26-v00202,en,she; her,legacy_unreviewed,legacy-runtime,
hsk26-v00203,en,they; them (male/mixed people),legacy_unreviewed,legacy-runtime,
hsk26-v00204,en,they; them (things/animals),legacy_unreviewed,legacy-runtime,
hsk26-v00205,en,they; them (female people),legacy_unreviewed,legacy-runtime,
hsk26-v00206,en,too; very,legacy_unreviewed,legacy-runtime,
hsk26-v00207,en,day; sky,legacy_unreviewed,legacy-runtime,
hsk26-v00208,en,weather,legacy_unreviewed,legacy-runtime,
hsk26-v00209,en,to listen; to hear,legacy_unreviewed,legacy-runtime,
hsk26-v00210,en,to hear,legacy_unreviewed,legacy-runtime,
hsk26-v00211,en,classmate; CL: 位 [wei4]; 个 [ge4],legacy_unreviewed,legacy-runtime,
hsk26-v00212,en,outside; outer,legacy_unreviewed,legacy-runtime,
hsk26-v00213,en,outside,legacy_unreviewed,legacy-runtime,
hsk26-v00214,en,to play; to have fun,legacy_unreviewed,legacy-runtime,
hsk26-v00215,en,late,legacy_unreviewed,legacy-runtime,
hsk26-v00216,en,dinner; CL: 份 [fen4]; 顿 [dun4]; 次 [ci4]; 餐 [can1],legacy_unreviewed,legacy-runtime,
hsk26-v00217,en,evening; night; CL: 个 [ge4],legacy_unreviewed,legacy-runtime,
hsk26-v00218,en,hello?; hey!,legacy_unreviewed,legacy-runtime,
hsk26-v00219,en,to ask,legacy_unreviewed,legacy-runtime,
hsk26-v00220,en,question; problem; CL: 个 [ge4],legacy_unreviewed,legacy-runtime,
hsk26-v00221,en,I; me,legacy_unreviewed,legacy-runtime,
hsk26-v00222,en,we; us,legacy_unreviewed,legacy-runtime,
hsk26-v00223,en,five,legacy_unreviewed,legacy-runtime,
hsk26-v00224,en,lunch; CL: 份 [fen4]; 顿 [dun4]; 次 [ci4]; 餐 [can1],legacy_unreviewed,legacy-runtime,
hsk26-v00225,en,to like,legacy_unreviewed,legacy-runtime,
hsk26-v00226,en,down; below,legacy_unreviewed,legacy-runtime,
hsk26-v00227,en,to rain,legacy_unreviewed,legacy-runtime,
hsk26-v00228,en,to finish work,legacy_unreviewed,legacy-runtime,
hsk26-v00229,en,to finish class,legacy_unreviewed,legacy-runtime,
hsk26-v00230,en,afternoon; CL: 个 [ge4],legacy_unreviewed,legacy-runtime,
hsk26-v00231,en,Mr.; sir; CL: 位 [wei4],legacy_unreviewed,legacy-runtime,
hsk26-v00232,en,now,legacy_unreviewed,legacy-runtime,
hsk26-v00233,en,to think; to want,legacy_unreviewed,legacy-runtime,
hsk26-v00234,en,small,legacy_unreviewed,legacy-runtime,
hsk26-v00235,en,child; little kid; CL: 个 [ge4],legacy_unreviewed,legacy-runtime,
hsk26-v00236,en,hour; CL: 个 [ge4],legacy_unreviewed,legacy-runtime,
hsk26-v00237,en,primary school,legacy_unreviewed,legacy-runtime,
hsk26-v00238,en,primary school student; CL: 个 [ge4]; 名 [ming2],legacy_unreviewed,legacy-runtime,
hsk26-v00239,en,some; several,legacy_unreviewed,legacy-runtime,
hsk26-v00240,en,to write,legacy_unreviewed,legacy-runtime,
hsk26-v00241,en,thanks; to thank,legacy_unreviewed,legacy-runtime,
hsk26-v00242,en,new,legacy_unreviewed,legacy-runtime,
hsk26-v00243,en,week; day of the week; CL: 个 [ge4],legacy_unreviewed,legacy-runtime,
hsk26-v00244,en,Sunday (formal),legacy_unreviewed,legacy-runtime,
hsk26-v00245,en,Sunday (colloquial),legacy_unreviewed,legacy-runtime,
hsk26-v00246,en,to rest,legacy_unreviewed,legacy-runtime,
hsk26-v00247,en,to learn; to study,legacy_unreviewed,legacy-runtime,
hsk26-v00248,en,student,legacy_unreviewed,legacy-runtime,
hsk26-v00249,en,to study; learning,legacy_unreviewed,legacy-runtime,
hsk26-v00250,en,school; CL: 所 [suo3],legacy_unreviewed,legacy-runtime,
hsk26-v00251,en,snow; CL: 场 [chang2],legacy_unreviewed,legacy-runtime,
hsk26-v00252,en,to want; to need; will,legacy_unreviewed,legacy-runtime,
hsk26-v00253,en,also; too,legacy_unreviewed,legacy-runtime,
hsk26-v00254,en,one,legacy_unreviewed,legacy-runtime,
hsk26-v00255,en,clothes; CL: 件 [jian4]; 套 [tao4],legacy_unreviewed,legacy-runtime,
hsk26-v00256,en,doctor; CL: 个 [ge4]; 位 [wei4]; 名 [ming2],legacy_unreviewed,legacy-runtime,
hsk26-v00257,en,hospital; CL: 所 [suo3]; 家 [jia1]; 座 [zuo4],legacy_unreviewed,legacy-runtime,
hsk26-v00258,en,one half,legacy_unreviewed,legacy-runtime,
hsk26-v00259,en,a little; once,legacy_unreviewed,legacy-runtime,
hsk26-v00260,en,chair; CL: 把 [ba3]; 张 [zhang1],legacy_unreviewed,legacy-runtime,
hsk26-v00261,en,a little; a bit,legacy_unreviewed,legacy-runtime,
hsk26-v00262,en,some; a few,legacy_unreviewed,legacy-runtime,
hsk26-v00263,en,to have; there is,legacy_unreviewed,legacy-runtime,
hsk26-v00264,en,some,legacy_unreviewed,legacy-runtime,
hsk26-v00265,en,a little; somewhat,legacy_unreviewed,legacy-runtime,
hsk26-v00266,en,some; somewhat,legacy_unreviewed,legacy-runtime,
hsk26-v00267,en,rain; CL: 阵 [zhen4]; 场 [chang2],legacy_unreviewed,legacy-runtime,
hsk26-v00268,en,yuan,legacy_unreviewed,legacy-runtime,
hsk26-v00269,en,month; moon; CL: 个 [ge4]; 轮 [lun2],legacy_unreviewed,legacy-runtime,
hsk26-v00270,en,again,legacy_unreviewed,legacy-runtime,
hsk26-v00271,en,at; in; to be at,legacy_unreviewed,legacy-runtime,
hsk26-v00272,en,goodbye,legacy_unreviewed,legacy-runtime,
hsk26-v00273,en,early; morning,legacy_unreviewed,legacy-runtime,
hsk26-v00274,en,breakfast; CL: 份 [fen4]; 顿 [dun4]; 次 [ci4]; 餐 [can1],legacy_unreviewed,legacy-runtime,
hsk26-v00275,en,early morning,legacy_unreviewed,legacy-runtime,
hsk26-v00276,en,how?,legacy_unreviewed,legacy-runtime,
hsk26-v00277,en,how?; how about?,legacy_unreviewed,legacy-runtime,
hsk26-v00278,en,to look for; to find,legacy_unreviewed,legacy-runtime,
hsk26-v00279,en,this; these,legacy_unreviewed,legacy-runtime,
hsk26-v00280,en,here; this side,legacy_unreviewed,legacy-runtime,
hsk26-v00281,en,this; this one,legacy_unreviewed,legacy-runtime,
hsk26-v00282,en,here (formal),legacy_unreviewed,legacy-runtime,
hsk26-v00283,en,here (colloquial),legacy_unreviewed,legacy-runtime,
hsk26-v00284,en,these,legacy_unreviewed,legacy-runtime,
hsk26-v00285,en,really; truly,legacy_unreviewed,legacy-runtime,
hsk26-v00286,en,in the middle of; currently,legacy_unreviewed,legacy-runtime,
hsk26-v00287,en,classifier for animals; one of a pair,legacy_unreviewed,legacy-runtime,
hsk26-v00288,en,to know,legacy_unreviewed,legacy-runtime,
hsk26-v00289,en,China,legacy_unreviewed,legacy-runtime,
hsk26-v00290,en,Chinese writing; Chinese language,legacy_unreviewed,legacy-runtime,
hsk26-v00291,en,noon; midday; CL: 个 [ge4],legacy_unreviewed,legacy-runtime,
hsk26-v00292,en,middle school,legacy_unreviewed,legacy-runtime,
hsk26-v00293,en,middle-school student,legacy_unreviewed,legacy-runtime,
hsk26-v00294,en,to live; to reside,legacy_unreviewed,legacy-runtime,
hsk26-v00295,en,table; desk; CL: 张 [zhang1]; 套 [tao4],legacy_unreviewed,legacy-runtime,
hsk26-v00296,en,character; word; CL: 个 [ge4],legacy_unreviewed,legacy-runtime,
hsk26-v00297,en,yesterday,legacy_unreviewed,legacy-runtime,
hsk26-v00298,en,to sit,legacy_unreviewed,legacy-runtime,
hsk26-v00299,en,to do; to make,legacy_unreviewed,legacy-runtime,
hsk26-v00300,en,to cook; to prepare a meal,legacy_unreviewed,legacy-runtime,
hsk26-v00301,en,sentence-final modal particle,legacy_unreviewed,legacy-runtime,
hsk26-v00302,en,hobby; interest; to like; CL: 个 [ge4],legacy_unreviewed,legacy-runtime,
hsk26-v00303,en,white color,legacy_unreviewed,legacy-runtime,
hsk26-v00304,en,class; group; shift; CL: 个 [ge4],legacy_unreviewed,legacy-runtime,
hsk26-v00305,en,to help; to assist,legacy_unreviewed,legacy-runtime,
hsk26-v00306,en,to help; to lend a hand,legacy_unreviewed,legacy-runtime,
hsk26-v00307,en,bag; package; to wrap; CL: 个 [ge4]; 只 [zhi1],legacy_unreviewed,legacy-runtime,
hsk26-v00308,en,book; notebook; CL: 本 [ben3],legacy_unreviewed,legacy-runtime,
hsk26-v00309,en,than; to compare,legacy_unreviewed,legacy-runtime,
hsk26-v00310,en,pen; writing brush; CL: 支 [zhi1]; 枝 [zhi1],legacy_unreviewed,legacy-runtime,
hsk26-v00311,en,don't; do not,legacy_unreviewed,legacy-runtime,
hsk26-v00312,en,not bad; pretty good,legacy_unreviewed,legacy-runtime,
hsk26-v00313,en,embarrassed; sorry,legacy_unreviewed,legacy-runtime,
hsk26-v00314,en,long; length,legacy_unreviewed,legacy-runtime,
hsk26-v00315,en,rail station; bus stop; CL: 处 [chu4]; 个 [ge4],legacy_unreviewed,legacy-runtime,
hsk26-v00316,en,to go out; to come out,legacy_unreviewed,legacy-runtime,
hsk26-v00317,en,to go abroad; to leave the country,legacy_unreviewed,legacy-runtime,
hsk26-v00318,en,to come out; to appear,legacy_unreviewed,legacy-runtime,
hsk26-v00319,en,to go out; to leave home,legacy_unreviewed,legacy-runtime,
hsk26-v00320,en,to go out,legacy_unreviewed,legacy-runtime,
hsk26-v00321,en,bed; CL: 张 [zhang1],legacy_unreviewed,legacy-runtime,
hsk26-v00322,en,word; term; CL: 首 [shou3],legacy_unreviewed,legacy-runtime,
hsk26-v00323,en,time; occurrence,legacy_unreviewed,legacy-runtime,
hsk26-v00324,en,from,legacy_unreviewed,legacy-runtime,
hsk26-v00325,en,from childhood; from a young age,legacy_unreviewed,legacy-runtime,
hsk26-v00326,en,wrong; mistake,legacy_unreviewed,legacy-runtime,
hsk26-v00327,en,to hit; to play; to make,legacy_unreviewed,legacy-runtime,
hsk26-v00328,en,to take a taxi; to hitch a lift,legacy_unreviewed,legacy-runtime,
hsk26-v00329,en,to open; to turn on,legacy_unreviewed,legacy-runtime,
hsk26-v00330,en,but; yet; merely; only,legacy_unreviewed,legacy-runtime,
hsk26-v00331,en,but; however,legacy_unreviewed,legacy-runtime,
hsk26-v00332,en,structural particle after a verb,legacy_unreviewed,legacy-runtime,
hsk26-v00333,en,-ly particle before verb/adjective,legacy_unreviewed,legacy-runtime,
hsk26-v00334,en,to wait; to wait for,legacy_unreviewed,legacy-runtime,
hsk26-v00335,en,underground railway; subway,legacy_unreviewed,legacy-runtime,
hsk26-v00336,en,to order; to choose; to point,legacy_unreviewed,legacy-runtime,
hsk26-v00337,en,to understand; to comprehend,legacy_unreviewed,legacy-runtime,
hsk26-v00338,en,to move; to set in movement,legacy_unreviewed,legacy-runtime,
hsk26-v00339,en,restaurant; CL: 家 [jia1],legacy_unreviewed,legacy-runtime,
hsk26-v00340,en,to fly,legacy_unreviewed,legacy-runtime,
hsk26-v00341,en,high; tall,legacy_unreviewed,legacy-runtime,
hsk26-v00342,en,senior high school,legacy_unreviewed,legacy-runtime,
hsk26-v00343,en,to tell; to inform,legacy_unreviewed,legacy-runtime,
hsk26-v00344,en,height; stature,legacy_unreviewed,legacy-runtime,
hsk26-v00345,en,with; and; to follow,legacy_unreviewed,legacy-runtime,
hsk26-v00346,en,public transport vehicle; CL: 辆 [liang4],legacy_unreviewed,legacy-runtime,
hsk26-v00347,en,to cross; to go over,legacy_unreviewed,legacy-runtime,
hsk26-v00348,en,to come over; to come here,legacy_unreviewed,legacy-runtime,
hsk26-v00349,en,to celebrate the Chinese New Year,legacy_unreviewed,legacy-runtime,
