sentence_id,position,surface_form,vocab_id,resolution_status,coverage_type,review_status,notes
hsk2_sent_zh_qa_001,3,吗,hsk26-v00115,exact,exact,legacy_unreviewed,
hsk2_sent_zh_qa_001,4,很,hsk26-v00079,exact,exact,legacy_unreviewed,
hsk2_sent_zh_qa_001,5,得,hsk26-v00332,exact,exact,legacy_unreviewed,
hsk2_sent_zh_qa_001,6,快,hsk26-v00384,exact,exact,legacy_unreviewed,
hsk2_sent_zh_qa_001,7,我,hsk26-v00221,exact,exact,legacy_unreviewed,
hsk2_sent_zh_qa_001,8,跑,hsk26-v00414,exact,exact,legacy_unreviewed,
hsk2_sent_zh_qa_001,9,跑步,hsk26-v00415,exact,exact,legacy_unreviewed,
hsk3_sent_zh_en_001,1,包,hsk26-v00307,exact,exact,legacy_unreviewed,
hsk3_sent_zh_en_001,2,在,hsk26-v00271,exact,exact,legacy_unreviewed,
hsk3_sent_zh_en_001,3,把,hsk26-v00506,exact,exact,legacy_unreviewed,
hsk3_sent_zh_en_001,4,放,hsk26-v00624,exact,exact,legacy_unreviewed,
hsk3_sent_zh_en_001,5,请,hsk26-v00165,exact,exact,legacy_unreviewed,
hsk3_sent_zh_en_001,6,里,hsk26-v00110,exact,exact,legacy_unreviewed,
hsk3_sent_zh_en_001,7,护照,hsk26-v00674,exact,exact,legacy_unreviewed,
hsk3_sent_en_zh_001,1,上,hsk26-v00175,exact,exact,legacy_unreviewed,
hsk3_sent_en_zh_001,2,在,hsk26-v00271,exact,exact,legacy_unreviewed,
hsk3_sent_en_zh_001,3,子,hsk26-v00992,exact,bound_surface,legacy_unreviewed,
hsk3_sent_en_zh_001,4,我,hsk26-v00221,exact,exact,legacy_unreviewed,
hsk3_sent_en_zh_001,5,把,hsk26-v00506,exact,exact,legacy_unreviewed,
hsk3_sent_en_zh_001,6,放,hsk26-v00624,exact,exact,legacy_unreviewed,
hsk3_sent_en_zh_001,7,桌子,hsk26-v00295,exact,exact,legacy_unreviewed,
hsk3_sent_en_zh_001,8,信用卡,hsk26-v00907,exact,exact,legacy_unreviewed,
hsk3_sent_zh_qa_001,1,了,hsk26-v00108,exact,exact,legacy_unreviewed,
hsk3_sent_zh_qa_001,2,你,hsk26-v00146,exact,exact,legacy_unreviewed,
hsk3_sent_zh_qa_001,3,吗,hsk26-v00115,exact,exact,legacy_unreviewed,
hsk3_sent_zh_qa_001,4,带,hsk26-v00578,exact,exact,legacy_unreviewed,
hsk3_sent_zh_qa_001,5,我,hsk26-v00221,exact,exact,legacy_unreviewed,
hsk3_sent_zh_qa_001,6,把,hsk26-v00506,exact,exact,legacy_unreviewed,
hsk3_sent_zh_qa_001,7,来,hsk26-v00106,exact,exact,legacy_unreviewed,
hsk3_sent_zh_qa_001,8,护照,hsk26-v00674,exact,exact,legacy_unreviewed,
hsk3_sent_zh_qa_001,9,没有,hsk26-v00122,exact,exact,legacy_unreviewed,
hsk1_sent_zh_en_002,1,三,hsk26-v00173,exact,exact,legacy_unreviewed,
hsk1_sent_zh_en_002,2,今天,hsk26-v00094,exact,exact,legacy_unreviewed,
hsk1_sent_zh_en_002,3,星期,hsk26-v00243,exact,exact,legacy_unreviewed,
hsk1_sent_en_zh_002,1,喝,hsk26-v00077,exact,exact,legacy_unreviewed,
hsk1_sent_en_zh_002,2,她,hsk26-v00202,exact,exact,legacy_unreviewed,
hsk1_sent_en_zh_002,3,想,hsk26-v00233,exact,exact,legacy_unreviewed,
hsk1_sent_en_zh_002,4,茶,hsk26-v00017,exact,exact,legacy_unreviewed,
hsk1_sent_zh_qa_002,1,不,hsk26-v00013,exact,exact,legacy_unreviewed,
hsk1_sent_zh_qa_002,2,你,hsk26-v00146,exact,exact,legacy_unreviewed,
hsk1_sent_zh_qa_002,3,吗,hsk26-v00115,exact,exact,legacy_unreviewed,
hsk1_sent_zh_qa_002,4,喝,hsk26-v00077,exact,exact,legacy_unreviewed,
hsk1_sent_zh_qa_002,5,我,hsk26-v00221,exact,exact,legacy_unreviewed,
hsk1_sent_zh_qa_002,6,茶,hsk26-v00017,exact,exact,legacy_unreviewed,
hsk1_sent_zh_qa_002,7,喜欢,hsk26-v00225,exact,exact,legacy_unreviewed,
hsk2_sent_zh_en_002,1,他,hsk26-v00200,exact,exact,legacy_unreviewed,
hsk2_sent_zh_en_002,2,我,hsk26-v00221,exact,exact,legacy_unreviewed,
hsk2_sent_zh_en_002,3,比,hsk26-v00309,exact,exact,legacy_unreviewed,
hsk2_sent_zh_en_002,4,高,hsk26-v00341,exact,exact,legacy_unreviewed,
hsk2_sent_zh_en_002,5,一点儿,hsk26-v00261,exact,exact,legacy_unreviewed,
hsk2_sent_en_zh_002,1,了,hsk26-v00108,exact,exact,legacy_unreviewed,
hsk2_sent_en_zh_002,2,她,hsk26-v00202,exact,exact,legacy_unreviewed,
hsk2_sent_en_zh_002,3,完,hsk26-v00448,exact,exact,legacy_unreviewed,
hsk2_sent_en_zh_002,4,洗,hsk26-v00456,exact,exact,legacy_unreviewed,
hsk2_sent_en_zh_002,5,已经,hsk26-v00472,exact,exact,legacy_unreviewed,
hsk2_sent_en_zh_002,6,衣服,hsk26-v00255,exact,exact,legacy_unreviewed,
hsk2_sent_zh_qa_002,1,你,hsk26-v00146,exact,exact,legacy_unreviewed,
hsk2_sent_zh_qa_002,2,吗,hsk26-v00115,exact,exact,legacy_unreviewed,
hsk2_sent_zh_qa_002,3,我,hsk26-v00221,exact,exact,legacy_unreviewed,
hsk2_sent_zh_qa_002,4,看,hsk26-v00099,exact,exact,legacy_unreviewed,
hsk2_sent_zh_qa_002,5,过,,ambiguous,exact,legacy_unreviewed,
hsk2_sent_zh_qa_002,6,没有,hsk26-v00122,exact,exact,legacy_unreviewed,
hsk2_sent_zh_qa_002,7,电影,hsk26-v00038,exact,exact,legacy_unreviewed,
hsk2_sent_zh_qa_002,8,这个,hsk26-v00281,exact,exact,legacy_unreviewed,
hsk3_sent_zh_en_002,1,在,hsk26-v00271,exact,exact,legacy_unreviewed,
hsk3_sent_zh_en_002,2,室,hsk26-v00834,exact,bound_surface,legacy_unreviewed,
hsk3_sent_zh_en_002,3,我,hsk26-v00221,exact,exact,legacy_unreviewed,
hsk3_sent_zh_en_002,4,的,hsk26-v00030,exact,exact,legacy_unreviewed,
hsk3_sent_zh_en_002,5,旁边,hsk26-v00413,exact,exact,legacy_unreviewed,
hsk3_sent_zh_en_002,6,电梯,hsk26-v00594,exact,exact,legacy_unreviewed,
hsk3_sent_zh_en_002,7,办公室,hsk26-v00512,exact,exact,legacy_unreviewed,
hsk3_sent_en_zh_002,1,你,hsk26-v00146,exact,exact,legacy_unreviewed,
hsk3_sent_en_zh_002,2,吃,hsk26-v00021,exact,exact,legacy_unreviewed,
hsk3_sent_en_zh_002,3,饿,hsk26-v00610,exact,exact,legacy_unreviewed,
hsk3_sent_en_zh_002,4,可以,hsk26-v00102,exact,exact,legacy_unreviewed,
hsk3_sent_en_zh_002,5,如果,hsk26-v00819,exact,exact,legacy_unreviewed,
hsk3_sent_en_zh_002,6,觉得,hsk26-v00096,exact,exact,legacy_unreviewed,
hsk3_sent_en_zh_002,7,方便面,hsk26-v00620,exact,exact,legacy_unreviewed,
hsk3_sent_zh_qa_002,1,不,hsk26-v00013,exact,exact,legacy_unreviewed,
hsk3_sent_zh_qa_002,2,会,,ambiguous,exact,legacy_unreviewed,
hsk3_sent_zh_qa_002,3,你,hsk26-v00146,exact,exact,legacy_unreviewed,
hsk3_sent_zh_qa_002,4,吗,hsk26-v00115,exact,exact,legacy_unreviewed,
hsk3_sent_zh_qa_002,5,我,hsk26-v00221,exact,exact,legacy_unreviewed,
hsk3_sent_zh_qa_002,6,今天,hsk26-v00094,exact,exact,legacy_unreviewed,
hsk3_sent_zh_qa_002,7,迟到,hsk26-v00561,exact,exact,legacy_unreviewed,
hsk1_sent_zh_en_003,1,八,hsk26-v00002,exact,exact,legacy_unreviewed,
hsk1_sent_zh_en_003,2,半,hsk26-v00007,exact,exact,legacy_unreviewed,
hsk1_sent_zh_en_003,3,点,hsk26-v00033,exact,exact,legacy_unreviewed,
hsk1_sent_zh_en_003,4,现在,hsk26-v00232,exact,exact,legacy_unreviewed,
hsk1_sent_en_zh_003,1,三,hsk26-v00173,exact,exact,legacy_unreviewed,
hsk1_sent_en_zh_003,2,只,hsk26-v00287,exact,exact,legacy_unreviewed,
hsk1_sent_en_zh_003,3,有,hsk26-v00263,exact,exact,legacy_unreviewed,
hsk1_sent_en_zh_003,4,猫,hsk26-v00119,exact,exact,legacy_unreviewed,
hsk1_sent_en_zh_003,5,这儿,hsk26-v00283,exact,exact,legacy_unreviewed,
hsk1_sent_zh_qa_003,1,你,hsk26-v00146,exact,exact,legacy_unreviewed,
hsk1_sent_zh_qa_003,2,吗,hsk26-v00115,exact,exact,legacy_unreviewed,
hsk1_sent_zh_qa_003,3,我,hsk26-v00221,exact,exact,legacy_unreviewed,
hsk1_sent_zh_qa_003,4,有,hsk26-v00263,exact,exact,legacy_unreviewed,
hsk1_sent_zh_qa_003,5,课,hsk26-v00103,exact,exact,legacy_unreviewed,
hsk1_sent_zh_qa_003,6,今天,hsk26-v00094,exact,exact,legacy_unreviewed,
hsk1_sent_zh_qa_003,7,没有,hsk26-v00122,exact,exact,legacy_unreviewed,
hsk2_sent_zh_en_003,1,们,hsk26-v00124,exact,bound_surface,legacy_unreviewed,
hsk2_sent_zh_en_003,2,去,hsk26-v00167,exact,exact,legacy_unreviewed,
hsk2_sent_zh_en_003,3,上课,hsk26-v00177,exact,exact,legacy_unreviewed,
hsk2_sent_zh_en_003,4,下雨,hsk26-v00227,exact,exact,legacy_unreviewed,
hsk2_sent_zh_en_003,5,但是,hsk26-v00331,exact,exact,legacy_unreviewed,
hsk2_sent_zh_en_003,6,我们,hsk26-v00222,exact,exact,legacy_unreviewed,
hsk2_sent_zh_en_003,7,虽然,hsk26-v00438,exact,exact,legacy_unreviewed,
hsk2_sent_zh_en_003,8,还是,hsk26-v00352,exact,exact,legacy_unreviewed,
hsk2_sent_en_zh_003,1,请,hsk26-v00165,exact,exact,legacy_unreviewed,
hsk2_sent_en_zh_003,2,打开,hsk26-v00329,exact,exact,legacy_unreviewed,
hsk2_sent_en_zh_003,3,电脑,hsk26-v00036,exact,exact,legacy_unreviewed,
hsk2_sent_zh_qa_003,1,了,hsk26-v00108,exact,exact,legacy_unreviewed,
hsk2_sent_zh_qa_003,2,你,hsk26-v00146,exact,exact,legacy_unreviewed,
hsk2_sent_zh_qa_003,3,吃,hsk26-v00021,exact,exact,legacy_unreviewed,
hsk2_sent_zh_qa_003,4,吗,hsk26-v00115,exact,exact,legacy_unreviewed,
hsk2_sent_zh_qa_003,5,完,hsk26-v00448,exact,exact,legacy_unreviewed,
hsk2_sent_zh_qa_003,6,我,hsk26-v00221,exact,exact,legacy_unreviewed,
hsk2_sent_zh_qa_003,7,还,hsk26-v00067,exact,exact,legacy_unreviewed,
hsk2_sent_zh_qa_003,8,饭,hsk26-v00050,exact,exact,legacy_unreviewed,
hsk2_sent_zh_qa_003,9,已经,hsk26-v00472,exact,exact,legacy_unreviewed,
hsk2_sent_zh_qa_003,10,没有,hsk26-v00122,exact,exact,legacy_unreviewed,
hsk3_sent_zh_en_003,1,他,hsk26-v00200,exact,exact,legacy_unreviewed,
hsk3_sent_zh_en_003,2,到,hsk26-v00029,exact,exact,legacy_unreviewed,
hsk3_sent_zh_en_003,3,室,hsk26-v00834,exact,bound_surface,legacy_unreviewed,
hsk3_sent_zh_en_003,4,被,hsk26-v00519,exact,exact,legacy_unreviewed,
hsk3_sent_zh_en_003,5,请,hsk26-v00165,exact,exact,legacy_unreviewed,
hsk3_sent_zh_en_003,6,老师,hsk26-v00107,exact,exact,legacy_unreviewed,
hsk3_sent_zh_en_003,7,办公室,hsk26-v00512,exact,exact,legacy_unreviewed,
hsk3_sent_en_zh_003,1,去,hsk26-v00167,exact,exact,legacy_unreviewed,
hsk3_sent_en_zh_003,2,她,hsk26-v00202,exact,exact,legacy_unreviewed,
hsk3_sent_en_zh_003,3,被,hsk26-v00519,exact,exact,legacy_unreviewed,
hsk3_sent_en_zh_003,4,请,hsk26-v00165,exact,exact,legacy_unreviewed,
hsk3_sent_en_zh_003,5,参加,hsk26-v00546,exact,exact,legacy_unreviewed,
hsk3_sent_en_zh_003,6,同事,hsk26-v00859,exact,exact,legacy_unreviewed,
hsk3_sent_en_zh_003,7,晚会,hsk26-v00871,exact,exact,legacy_unreviewed,
hsk3_sent_zh_qa_003,1,了,hsk26-v00108,exact,exact,legacy_unreviewed,
hsk3_sent_zh_qa_003,2,你,hsk26-v00146,exact,exact,legacy_unreviewed,
hsk3_sent_zh_qa_003,3,吗,hsk26-v00115,exact,exact,legacy_unreviewed,
hsk3_sent_zh_qa_003,4,我,hsk26-v00221,exact,exact,legacy_unreviewed,
hsk3_sent_zh_qa_003,5,感冒,hsk26-v00639,exact,exact,legacy_unreviewed,
hsk3_sent_zh_qa_003,6,没有,hsk26-v00122,exact,exact,legacy_unreviewed,
hsk1_sent_zh_en_004,1,六,hsk26-v00113,exact,exact,legacy_unreviewed,
hsk1_sent_zh_en_004,2,我,hsk26-v00221,exact,exact,legacy_unreviewed,
hsk1_sent_zh_en_004,3,点,hsk26-v00033,exact,exact,legacy_unreviewed,
hsk1_sent_zh_en_004,4,早上,hsk26-v00275,exact,exact,legacy_unreviewed,
hsk1_sent_zh_en_004,5,起床,hsk26-v00161,exact,exact,legacy_unreviewed,
hsk1_sent_en_zh_004,1,我,hsk26-v00221,exact,exact,legacy_unreviewed,
hsk1_sent_en_zh_004,2,没有,hsk26-v00122,exact,exact,legacy_unreviewed,
hsk1_sent_en_zh_004,3,男朋友,hsk26-v00143,exact,exact,legacy_unreviewed,
hsk1_sent_zh_qa_004,1,不,hsk26-v00013,exact,exact,legacy_unreviewed,
hsk1_sent_zh_qa_004,2,会,hsk26-v00082,exact,exact,legacy_unreviewed,
hsk1_sent_zh_qa_004,3,你,hsk26-v00146,exact,exact,legacy_unreviewed,
hsk1_sent_zh_qa_004,4,写,hsk26-v00240,exact,exact,legacy_unreviewed,
hsk1_sent_zh_qa_004,5,吗,hsk26-v00115,exact,exact,legacy_unreviewed,
hsk1_sent_zh_qa_004,6,我,hsk26-v00221,exact,exact,legacy_unreviewed,
hsk1_sent_zh_qa_004,7,汉字,hsk26-v00070,exact,exact,legacy_unreviewed,
hsk2_sent_zh_en_004,1,他,hsk26-v00200,exact,exact,legacy_unreviewed,
hsk2_sent_zh_en_004,2,去,hsk26-v00167,exact,exact,legacy_unreviewed,
hsk2_sent_zh_en_004,3,疼,hsk26-v00440,exact,exact,legacy_unreviewed,
hsk2_sent_zh_en_004,4,因为,hsk26-v00476,exact,exact,legacy_unreviewed,
hsk2_sent_zh_en_004,5,所以,hsk26-v00439,exact,exact,legacy_unreviewed,
hsk2_sent_zh_en_004,6,没有,hsk26-v00122,exact,exact,legacy_unreviewed,
hsk2_sent_zh_en_004,7,跑步,hsk26-v00415,exact,exact,legacy_unreviewed,
hsk2_sent_zh_en_004,8,身体,hsk26-v00429,exact,exact,legacy_unreviewed,
hsk2_sent_en_zh_004,1,去,hsk26-v00167,exact,exact,legacy_unreviewed,
hsk2_sent_en_zh_004,2,想,hsk26-v00233,exact,exact,legacy_unreviewed,
hsk2_sent_en_zh_004,3,我,hsk26-v00221,exact,exact,legacy_unreviewed,
hsk2_sent_en_zh_004,4,跟,hsk26-v00345,exact,exact,legacy_unreviewed,
hsk2_sent_en_zh_004,5,旅游,hsk26-v00394,exact,exact,legacy_unreviewed,
hsk2_sent_en_zh_004,6,朋友,hsk26-v00156,exact,exact,legacy_unreviewed,
hsk2_sent_zh_qa_004,1,不,hsk26-v00013,exact,exact,legacy_unreviewed,
hsk2_sent_zh_qa_004,2,你,hsk26-v00146,exact,exact,legacy_unreviewed,
hsk2_sent_zh_qa_004,3,吗,hsk26-v00115,exact,exact,legacy_unreviewed,
hsk2_sent_zh_qa_004,4,坐,hsk26-v00298,exact,exact,legacy_unreviewed,
hsk2_sent_zh_qa_004,5,想,hsk26-v00233,exact,exact,legacy_unreviewed,
hsk2_sent_zh_qa_004,6,我,hsk26-v00221,exact,exact,legacy_unreviewed,
hsk2_sent_zh_qa_004,7,地铁,hsk26-v00335,exact,exact,legacy_unreviewed,
hsk3_sent_zh_en_004,1,不,hsk26-v00013,exact,exact,legacy_unreviewed,
hsk3_sent_zh_en_004,2,们,hsk26-v00124,exact,bound_surface,legacy_unreviewed,
hsk3_sent_zh_en_004,3,去,hsk26-v00167,exact,exact,legacy_unreviewed,
hsk3_sent_zh_en_004,4,园,hsk26-v00955,exact,bound_surface,legacy_unreviewed,
hsk3_sent_zh_en_004,5,就,hsk26-v00376,exact,exact,legacy_unreviewed,
hsk3_sent_zh_en_004,6,下雨,hsk26-v00227,exact,exact,legacy_unreviewed,
hsk3_sent_zh_en_004,7,公园,hsk26-v00648,exact,exact,legacy_unreviewed,
hsk3_sent_zh_en_004,8,如果,hsk26-v00819,exact,exact,legacy_unreviewed,
hsk3_sent_zh_en_004,9,我们,hsk26-v00222,exact,exact,legacy_unreviewed,
hsk3_sent_zh_en_004,10,明天,hsk26-v00129,exact,exact,legacy_unreviewed,
hsk3_sent_en_zh_004,1,他,hsk26-v00200,exact,exact,legacy_unreviewed,
hsk3_sent_en_zh_004,2,要,hsk26-v00252,exact,exact,legacy_unreviewed,
hsk3_sent_en_zh_004,3,还,,ambiguous,exact,legacy_unreviewed,
hsk3_sent_en_zh_004,4,咖啡,hsk26-v00377,exact,exact,legacy_unreviewed,
hsk3_sent_en_zh_004,5,除了,hsk26-v00566,exact,exact,legacy_unreviewed,
hsk3_sent_en_zh_004,6,矿泉水,hsk26-v00742,exact,exact,legacy_unreviewed,
hsk3_sent_zh_qa_004,1,不,hsk26-v00013,exact,exact,legacy_unreviewed,
hsk3_sent_zh_qa_004,2,你,hsk26-v00146,exact,exact,legacy_unreviewed,
hsk3_sent_zh_qa_004,3,吗,hsk26-v00115,exact,exact,legacy_unreviewed,
hsk3_sent_zh_qa_004,4,我,hsk26-v00221,exact,exact,legacy_unreviewed,
hsk3_sent_zh_qa_004,5,参加,hsk26-v00546,exact,exact,legacy_unreviewed,
hsk3_sent_zh_qa_004,6,愿意,hsk26-v00957,exact,exact,legacy_unreviewed,
hsk3_sent_zh_qa_004,7,比赛,hsk26-v00524,exact,exact,legacy_unreviewed,
hsk1_sent_zh_en_005,1,他,hsk26-v00200,exact,exact,legacy_unreviewed,
hsk1_sent_zh_en_005,2,上午,hsk26-v00178,exact,exact,legacy_unreviewed,
hsk1_sent_zh_en_005,3,上课,hsk26-v00177,exact,exact,legacy_unreviewed,
hsk1_sent_zh_en_005,4,下午,hsk26-v00230,exact,exact,legacy_unreviewed,
hsk1_sent_zh_en_005,5,工作,hsk26-v00063,exact,exact,legacy_unreviewed,
hsk1_sent_en_zh_005,1,们,hsk26-v00124,exact,bound_surface,legacy_unreviewed,
hsk1_sent_en_zh_005,2,去,hsk26-v00167,exact,exact,legacy_unreviewed,
hsk1_sent_en_zh_005,3,下午,hsk26-v00230,exact,exact,legacy_unreviewed,
hsk1_sent_en_zh_005,4,书店,hsk26-v00191,exact,exact,legacy_unreviewed,
hsk1_sent_en_zh_005,5,我们,hsk26-v00222,exact,exact,legacy_unreviewed,
hsk1_sent_zh_qa_005,1,不,hsk26-v00013,exact,exact,legacy_unreviewed,
hsk1_sent_zh_qa_005,2,你,hsk26-v00146,exact,exact,legacy_unreviewed,
hsk1_sent_zh_qa_005,3,吃,hsk26-v00021,exact,exact,legacy_unreviewed,
hsk1_sent_zh_qa_005,4,吗,hsk26-v00115,exact,exact,legacy_unreviewed,
hsk1_sent_zh_qa_005,5,想,hsk26-v00233,exact,exact,legacy_unreviewed,
hsk1_sent_zh_qa_005,6,我,hsk26-v00221,exact,exact,legacy_unreviewed,
hsk1_sent_zh_qa_005,7,米饭,hsk26-v00125,exact,exact,legacy_unreviewed,
hsk2_sent_zh_en_005,1,请,hsk26-v00165,exact,exact,legacy_unreviewed,
hsk2_sent_zh_en_005,2,门,hsk26-v00400,exact,exact,legacy_unreviewed,
hsk2_sent_zh_en_005,3,打开,hsk26-v00329,exact,exact,legacy_unreviewed,
hsk2_sent_en_zh_005,1,了,hsk26-v00108,exact,exact,legacy_unreviewed,
hsk2_sent_en_zh_005,2,写,hsk26-v00240,exact,exact,legacy_unreviewed,
hsk2_sent_en_zh_005,3,字,hsk26-v00296,exact,exact,legacy_unreviewed,
hsk2_sent_en_zh_005,4,我,hsk26-v00221,exact,exact,legacy_unreviewed,
hsk2_sent_en_zh_005,5,错,hsk26-v00326,exact,exact,legacy_unreviewed,
hsk2_sent_en_zh_005,6,这个,hsk26-v00281,exact,exact,legacy_unreviewed,
hsk2_sent_zh_qa_005,1,不,hsk26-v00013,exact,exact,legacy_unreviewed,
hsk2_sent_zh_qa_005,2,会,hsk26-v00082,exact,exact,legacy_unreviewed,
hsk2_sent_zh_qa_005,3,你,hsk26-v00146,exact,exact,legacy_unreviewed,
hsk2_sent_zh_qa_005,4,吗,hsk26-v00115,exact,exact,legacy_unreviewed,
hsk2_sent_zh_qa_005,5,我,hsk26-v00221,exact,exact,legacy_unreviewed,
hsk2_sent_zh_qa_005,6,打,hsk26-v00327,exact,exact,legacy_unreviewed,
hsk2_sent_zh_qa_005,7,篮球,hsk26-v00387,exact,exact,legacy_unreviewed,
hsk3_sent_zh_en_005,1,我,hsk26-v00221,exact,exact,legacy_unreviewed,
hsk3_sent_zh_en_005,2,还,,ambiguous,exact,legacy_unreviewed,
hsk3_sent_zh_en_005,3,外语,hsk26-v00867,exact,exact,legacy_unreviewed,
hsk3_sent_zh_en_005,4,学习,hsk26-v00249,exact,exact,legacy_unreviewed,
hsk3_sent_zh_en_005,5,汉语,hsk26-v00069,exact,exact,legacy_unreviewed,
hsk3_sent_zh_en_005,6,除了,hsk26-v00566,exact,exact,legacy_unreviewed,
hsk3_sent_en_zh_005,1,们,hsk26-v00124,exact,bound_surface,legacy_unreviewed,
hsk3_sent_en_zh_005,2,聊,hsk26-v00755,exact,exact,legacy_unreviewed,
hsk3_sent_en_zh_005,3,一边,hsk26-v00933,exact,exact,legacy_unreviewed,
hsk3_sent_en_zh_005,4,我们,hsk26-v00222,exact,exact,legacy_unreviewed,
hsk3_sent_en_zh_005,5,新闻,hsk26-v00904,exact,exact,legacy_unreviewed,
hsk3_sent_en_zh_005,6,走路,hsk26-v00496,exact,exact,legacy_unreviewed,
hsk3_sent_zh_qa_005,1,了,hsk26-v00108,exact,exact,legacy_unreviewed,
hsk3_sent_zh_qa_005,2,他,hsk26-v00200,exact,exact,legacy_unreviewed,
hsk3_sent_zh_qa_005,3,你,hsk26-v00146,exact,exact,legacy_unreviewed,
hsk3_sent_zh_qa_005,4,发,hsk26-v00614,exact,exact,legacy_unreviewed,
hsk3_sent_zh_qa_005,5,吗,hsk26-v00115,exact,exact,legacy_unreviewed,
hsk3_sent_zh_qa_005,6,我,hsk26-v00221,exact,exact,legacy_unreviewed,
hsk3_sent_zh_qa_005,7,把,hsk26-v00506,exact,exact,legacy_unreviewed,
hsk3_sent_zh_qa_005,8,给,hsk26-v00061,exact,exact,legacy_unreviewed,
hsk3_sent_zh_qa_005,9,没有,hsk26-v00122,exact,exact,legacy_unreviewed,
hsk3_sent_zh_qa_005,10,邮件,hsk26-v00942,exact,exact,legacy_unreviewed,
hsk1_sent_zh_en_006,1,买,hsk26-v00116,exact,exact,legacy_unreviewed,
hsk1_sent_zh_en_006,2,在,hsk26-v00271,exact,exact,legacy_unreviewed,
hsk1_sent_zh_en_006,3,她,hsk26-v00202,exact,exact,legacy_unreviewed,
hsk1_sent_zh_en_006,4,商店,hsk26-v00174,exact,exact,legacy_unreviewed,
hsk1_sent_zh_en_006,5,衣服,hsk26-v00255,exact,exact,legacy_unreviewed,
hsk1_sent_en_zh_006,1,很,hsk26-v00079,exact,exact,legacy_unreviewed,
hsk1_sent_en_zh_006,2,贵,hsk26-v00065,exact,exact,legacy_unreviewed,
hsk1_sent_en_zh_006,3,这个,hsk26-v00281,exact,exact,legacy_unreviewed,
hsk1_sent_en_zh_006,4,饭店,hsk26-v00051,exact,exact,legacy_unreviewed,
hsk1_sent_zh_qa_006,1,不,hsk26-v00013,exact,exact,legacy_unreviewed,
hsk1_sent_zh_qa_006,2,你,hsk26-v00146,exact,exact,legacy_unreviewed,
hsk1_sent_zh_qa_006,3,吗,hsk26-v00115,exact,exact,legacy_unreviewed,
hsk1_sent_zh_qa_006,4,在,hsk26-v00271,exact,exact,legacy_unreviewed,
hsk1_sent_zh_qa_006,5,家,hsk26-v00086,exact,exact,legacy_unreviewed,
hsk1_sent_zh_qa_006,6,我,hsk26-v00221,exact,exact,legacy_unreviewed,
hsk2_sent_zh_en_006,1,一,hsk26-v00254,exact,exact,legacy_unreviewed,
hsk2_sent_zh_en_006,2,买,hsk26-v00116,exact,exact,legacy_unreviewed,
hsk2_sent_zh_en_006,3,了,hsk26-v00108,exact,exact,legacy_unreviewed,
hsk2_sent_zh_en_006,4,块,hsk26-v00105,exact,exact,legacy_unreviewed,
