grammar_target_id,grammar_example_id,grammar_element_id,target_order,target_role,target_text_zh,occurrence_number,review_status,notes
gtarget_14c922091174486aa7aaf7a8dca4cad8,gexample_317f574714274eeda44a2d010b955f20,gelement_ba781e25e5c9448e8a46f90acd57e89d,1,location_phrase,桌子上,1,approved,
gtarget_d4380ff4bfe843b1a46e0b30d5f9dede,gexample_1b77b0722365444b9e922bbc60dabf97,gelement_ba781e25e5c9448e8a46f90acd57e89d,1,location_phrase,房间里,1,approved,
gtarget_2d198d6e263d4cafa006ca803f37c50b,gexample_97bca6c8a1ef482d8cf9379ee426028c,gelement_336155e1e97e47d4867aef6ae177cdba,1,subject,学生,1,approved,
gtarget_c8b56f3894544ada8067b59ad90aecaa,gexample_9265c95b75864ce7b60957c795af061b,gelement_13bcd1222d2b4141a300a9f0644af2d1,1,subject,他们,1,approved,
gtarget_7e5b6c96b28347e58abbf7d781ed1413,gexample_1dff9dee5dee4d5b9e42d971ebe01593,gelement_0060b621bc9c4bea8558ca495dcda8da,1,predicate,星期日,1,approved,
gtarget_699fa6d5906c4ebca0d3eea4bcb98652,gexample_f99978af8dcd4825a07b68bc70506426,gelement_ba76d5fd71884925a41142508a990c4d,1,predicate,十岁,1,approved,
gtarget_0e23b9e4dd70402eacb930db3b496f34,gexample_f24e41bdddf74ae59975f93cde712c1b,gelement_1ec032ecc39a46b7baab34a526b7921d,1,predicate,学习汉语,1,approved,
gtarget_6aff44260dd24a70a2e9e6d2dee01ee7,gexample_e43e8adc03154f4fad8cbdf86251b128,gelement_12de4653eab84bb09a0697cd0d70ab85,1,predicate,很漂亮,1,approved,
gtarget_b20e3addc7a64e028e74d4f92aafc035,gexample_663f7e0aa5cb4ac69d93357d5f938539,gelement_71447aceffe74483856fd2df975de125,1,object,电影,1,approved,
gtarget_f32f3fb669d9456d9c8b939d155690cf,gexample_d0324fa46ebb4bd9a569119e95f2d0d8,gelement_028e92c3d3984fe690904f3f06fef5c8,1,object,他们,1,approved,
gtarget_2687861fda9e4d9f9c6642b8020f11ac,gexample_f855b8f080f04926a286eebb269b339b,gelement_7ad4332f431347d39f8637ab247b62cd,1,attributive,老师的,1,approved,
gtarget_17da8a2c497f4dfb9e4c1dddf032b8dd,gexample_8640feea6a7c4f4e88f02c2d5e867a20,gelement_3cd62e2fb8f3470aad5da162e60036f5,1,attributive,两本,1,approved,
gtarget_ccf46b0afa6e4d0dba73d1233c83251a,gexample_5c389a20dd2e4c9fa0359864272a2c8e,gelement_b5c61d54bdd047e983d3cb755804aae3,1,adverbial,非常,1,approved,
gtarget_d6fd9d55774d4f6981d73a0195efd749,gexample_a42945755bc44be5be3ba4375814fb98,gelement_f09db3f2b04749cdba41b20a14ef6b06,1,adverbial,今天,1,approved,
gtarget_dfec22f53cca493db3da927cf329f7d8,gexample_a42945755bc44be5be3ba4375814fb98,gelement_d902d09928274808a7f57c2e14ce2f9e,2,adverbial,在学校,1,approved,
gtarget_0e2f340daf93463a970bb0b875c87fc5,gexample_e05bfa1ed08945f0be38de46dce6d173,gelement_61264ae401b145d2ac3a8e04f1c02f24,1,quantity_complement,一下,1,approved,
gtarget_9bb9046912554f8095866ee68df509db,gexample_38376ef72b704929b9f9ac4706342a34,gelement_61264ae401b145d2ac3a8e04f1c02f24,1,quantity_complement,一下,1,approved,
gtarget_8f04b639f4e1488f8260be9126fc6ce3,gexample_78219a5ebee94381a9e20eebae241418,gelement_570bb8aec88b41a6aab59d9a131b0fb9,1,verbal_predicate,学习汉语,1,approved,
gtarget_2fa81dde433646bcb0e3a1542fe82a32,gexample_dc3ec87c0a4e4ffdae2c376758de7840,gelement_570bb8aec88b41a6aab59d9a131b0fb9,1,verbal_predicate,有两本书,1,approved,
gtarget_9f21c00ee0ab4006b484030f776e0c6d,gexample_db7e9f6f44d14fff988abf25d0abae84,gelement_c17b2d9dae914028a5bd078908796f16,1,adjectival_predicate,很高兴,1,approved,
gtarget_b3ffbea48d184db39527f36c389b8b98,gexample_55cab6f196e04f7c9aa3540d6ac99bb0,gelement_c17b2d9dae914028a5bd078908796f16,1,adjectival_predicate,太热了,1,approved,
gtarget_c5d0bd213e8446e5842a8f24148270d4,gexample_5c086316b84042b6a32d0b8ffb1fc037,gelement_a9f5915116a0451ca6f4efbe49775f93,1,nominal_predicate,五月一号,1,approved,
gtarget_d432085b280743ae88f9c9baa58c3eb4,gexample_8b13136878f04f6d91b1cbed6f61242c,gelement_a9f5915116a0451ca6f4efbe49775f93,1,nominal_predicate,十八岁,1,approved,
gtarget_6ddd4af31a3a4d6ab8baa04c7940a209,gexample_99efca21b3c1459cb6cfcddcf8e23881,gelement_bcb67b35e0e4417c96a4a39017eaeb16,1,question_marker,吗,1,approved,
gtarget_71de8f91488447169fd63831a34f873c,gexample_0579e287a70d4f0f8744256be8b599dd,gelement_bcb67b35e0e4417c96a4a39017eaeb16,1,question_marker,吗,1,approved,
gtarget_d93d38403860436ab84ceccef10534a2,gexample_286bde47fbf7449eb940795906451504,gelement_91beea8e98ad4cc8875f7b61e310cf2c,1,question_word,谁,1,approved,
gtarget_93db14ee60124c1080f204afeaeb3895,gexample_4ee9b9c40c62476dbed636bb5a7e0a63,gelement_91beea8e98ad4cc8875f7b61e310cf2c,1,question_word,什么,1,approved,
gtarget_f5d86c8ce4ef4029a13bcbb7b1ed68cc,gexample_b241088c3d7843699cdbf0ddff4c4fe5,gelement_fba6462ed09d4e75b8d24bb09ba5007d,1,affirmative_negative_predicate,是不是,1,approved,
gtarget_c6a56876191e4b86ab74df54f107ea33,gexample_ed434a32f8ce4716a86ad5fd447970a7,gelement_fba6462ed09d4e75b8d24bb09ba5007d,1,affirmative_negative_predicate,去不去,1,approved,
gtarget_7db7477a1e234854bd7acd861392467c,gexample_0143ebcbad7840b89c4fcce2633c3be0,gelement_023ddbdfaa5547ac8c084c7fdc8071bf,1,copula,是,1,approved,
gtarget_70767d00bc044ad3b7b1e644277dbd91,gexample_9ed514f9c39f4f1d828bc509b33b993a,gelement_023ddbdfaa5547ac8c084c7fdc8071bf,1,copula,是,1,approved,
gtarget_313fc8eebde34f5b8a796949ab519297,gexample_2c7c157583144534b2a753b969694d1b,gelement_8d6da5f855fe4532a122111f858f9181,1,possession_verb,有,1,approved,
gtarget_d055000636c7489bb608130d08c71606,gexample_775740aa065747ff97ac2c7fa997e4d8,gelement_8d6da5f855fe4532a122111f858f9181,1,negative_possession,没有,1,approved,
gtarget_e9f69520cc0e4555a60178a2922c0a4c,gexample_184351f1cde94cac9e312a5179a87dee,gelement_b109789a94154c708fb7bb28b66ee4ea,1,copula,是,1,approved,
gtarget_aa3e52d4a31a44b180e371b4bd4858d1,gexample_fa9ce126be704acf950e07f354c728fe,gelement_b109789a94154c708fb7bb28b66ee4ea,1,copula,是,1,approved,
gtarget_e2e94929584b43b9aff98e456e62e3ed,gexample_e58f26accab446efb0d6391a481b65c8,gelement_10a03f265ed34b6e96bdbb01028a8b03,1,existential_verb,有,1,approved,
gtarget_036a418820ee43b9a366eeea992c0bf2,gexample_3e4af6239e954b9181365b360f9ace40,gelement_10a03f265ed34b6e96bdbb01028a8b03,1,existential_verb,有,1,approved,
gtarget_8cdaa6afbee74be5bca7f51d6955d167,gexample_62f883302c2a463badbfc095904e2c3c,gelement_3f37492906d7467a8a4459e59bbc39a9,1,serial_sequence,去商店买水果,1,approved,
gtarget_64dd400a68c24f2c82c0012d0df1f932,gexample_c69fa4524a8f4b5b9268b602bfa52f40,gelement_3f37492906d7467a8a4459e59bbc39a9,1,serial_sequence,去学校学习汉语,1,approved,
gtarget_b27cc66b1b2e465899a9bcc9a4e6191f,gexample_fc676d847f9a4c9cbf6e4adc1306afff,gelement_806720070f57489c8a0cfe99adc46a81,1,serial_sequence,坐出租车去学校,1,approved,
gtarget_87b27b2ea7ae4412b3227a84b3708224,gexample_8a804581cbcc408abf070c1f48fb3b5c,gelement_806720070f57489c8a0cfe99adc46a81,1,serial_sequence,开车去医院,1,approved,
gtarget_99edcd80c6af4af9b6f540541844b484,gexample_311f9840049a47a6a65119f979c6be9d,gelement_ae30c784dfa743119e671d5c142bb21e,1,double_object_sequence,给你一本书,1,approved,
gtarget_cc3d2d1f18f04369a3c464d4ade39738,gexample_225abb81b9024a81a30c263e57170649,gelement_ae30c784dfa743119e671d5c142bb21e,1,double_object_sequence,给我一个苹果,1,approved,
gtarget_3b4c7cfc212d440da319db4e2e9e22a8,gexample_7ccad2609fb44ef18c7a9bf45a55b5d9,gelement_1d5f4d30470d479e87840416aa71bc0a,1,connector,也,1,approved,
gtarget_2be63d2b304a4a20bfa264039daf80cb,gexample_6128395fc205482fbc122f7ff2a4c1a8,gelement_1d5f4d30470d479e87840416aa71bc0a,1,connector,也,1,approved,
gtarget_dc3e52812fb840b0a99267bb21b888e4,gexample_eae0a18426e64bddbca17b98a4aa55ff,gelement_5833ff2afdad4c84a88126ed6029713e,1,connector,还,1,approved,
gtarget_2ee7390b3b9944108ededaa498a72856,gexample_35652635834e4dc2bedb3b6c5e7bc9f5,gelement_5833ff2afdad4c84a88126ed6029713e,1,connector,还,1,approved,
gtarget_d5e4e581dbb54e8d97daa281862b8a98,gexample_4aff2d447c4a44d79d74852ae1e1567b,gelement_fab30cfa711444f3a7513679777f3819,1,aspect_particle,了,1,approved,
gtarget_caf43b0c99b741e8b0cd6b20ff79b7eb,gexample_549d40e3ad144f8689c35ea53a42f99d,gelement_fab30cfa711444f3a7513679777f3819,1,aspect_particle,了,1,approved,
gtarget_7a39c094406e4f039975de5b78956a48,gexample_672bb4b9312b442cbff8aca91c096bb2,gelement_592dd1d340a64895812be9c974a28f55,1,change_particle,了,1,approved,
gtarget_c0f250782e1c4c79ad8055aaa9b360c4,gexample_c7ddd534028a4652b35739bd8d3bc83b,gelement_592dd1d340a64895812be9c974a28f55,1,change_particle,了,1,approved,
gtarget_e9e6c8d47bca48faaaca5234259a6ce3,gexample_b559ff3cea5341e4a5511b6791d82bf3,gelement_f609c5b1b9874977ac1a4f5dd6f47604,1,progressive_marker,在,1,approved,
gtarget_d6f79e06175045eb8660332c3204d95c,gexample_50cb13232e93489a8cf8148ab796cef1,gelement_e5d6d033fb554376aaac73acde128aec,1,progressive_marker,正在,1,approved,
gtarget_b3038353b7d24cc3a7a9597667706b0e,gexample_833ddd860345404db5bb1d83cd01691d,gelement_e77a0788e3884ec8b812ca8fc3c85510,1,progressive_marker,在,1,approved,
gtarget_9b2c8c257590498593bf1c6e3d6e3d97,gexample_833ddd860345404db5bb1d83cd01691d,gelement_e77a0788e3884ec8b812ca8fc3c85510,2,final_particle,呢,1,approved,
gtarget_89d48525ac474c59b46abd81a5527337,gexample_5b24c462aa044d5f91369d01aa97aaee,gelement_644bcc35b2964dc99edefc3f5e98b45c,1,progressive_marker,正在,1,approved,
gtarget_4396fbb55a0a4d908679b8aad4b7d84d,gexample_5b24c462aa044d5f91369d01aa97aaee,gelement_644bcc35b2964dc99edefc3f5e98b45c,2,final_particle,呢,1,approved,
gtarget_6997a51d24c04346af17151c67dac8a4,gexample_8370f8a046424dbaa24d4a8e802c9c24,gelement_afad040d164d45c7a3e67745ca67dc73,1,final_particle,呢,1,approved,
gtarget_4c19b20be0804798b679fc51a9e01d64,gexample_986849ae57014c93a46cd716b8d457a9,gelement_afad040d164d45c7a3e67745ca67dc73,1,final_particle,呢,1,approved,
gtarget_c576dbcd25bf4a659dc28a7027db0f19,gexample_55815d6472fa400dba44bbaae76431ed,gelement_0d3fcae3cb80440a8a9caad8e6978186,1,currency_unit,元,1,approved,
gtarget_d7936c6539014d1cafef26482cc50fa0,gexample_a7baa2c61a23455ea2b74312ccac834f,gelement_df7899e2d9ad4822bcb639977f92eae1,1,currency_unit,块,1,approved,
gtarget_1a13264f7bc342a8b95301eab60a3664,gexample_9c99b8f9d57a4454b2dea633747d9372,gelement_38c782143598477ab4c6a0e0b1551e7b,1,ordinal,第一,1,approved,
gtarget_7241242690114f5586b525d9cc7d306f,gexample_1391458727414af19beea6cfbec1a593,gelement_38c782143598477ab4c6a0e0b1551e7b,1,ordinal,第三,1,approved,
gtarget_847902c89f65422589eb44da70a4a863,gexample_4bfbed213de44105bf69a4fa9a0500b8,gelement_4ff9028033424c48bce1b9628fcf5149,1,month_expression,五月,1,approved,
gtarget_f3e7bd5cb22745239534914b5a2953bd,gexample_4bfbed213de44105bf69a4fa9a0500b8,gelement_b72213f8f5c0451dadb05fe672debcd7,2,day_expression,一日,1,approved,
gtarget_3f96ed49640c41d2a480ae9b16d77717,gexample_01e7043b830740c39ed5656f0e61e01b,gelement_0e7a9058985b4097a51b36b3d35d693a,1,weekday_expression,星期日,1,approved,
gtarget_9e99da3713f546a5ac032fe0b7526d27,gexample_b221023dea524363882ad43c7bf573cb,gelement_cf53be8b4bbb49b7b22becff4733ae70,1,clock_expression,三点半,1,approved,
gtarget_37c3ec97c93c43ff8f3587ca72d43fd9,gexample_74451532160a4f80a6b2caa9f822b46f,gelement_526a60a779d94a7caa5757078fdc2417,1,clock_expression,八点十分,1,approved,
gtarget_36a82e8cc392441493148edfba5564e6,gexample_d8f56ce24a88448db470debb1fc82c7d,gelement_15ecab3be109435ca0ccffcc06d370fa,1,suffix,面,1,approved,
gtarget_f1184671474046a49a4fc6838a8c16f0,gexample_88f448fab85549edad51537d3556a01a,gelement_15ecab3be109435ca0ccffcc06d370fa,1,suffix,面,1,approved,
gtarget_45f650339272474a9ad9328d6421c165,gexample_d1dd72289466409abffb82fcda5977cc,gelement_2d5e65f0a6e140f1a9e2d9743847eee6,1,location_noun,左,1,approved,
gtarget_43ffbeec4095492fb20f2da78c5ec49c,gexample_9e94012cbd24447490c03664d63e3f6d,gelement_d76a396b72c647999640435597e3ce19,1,location_noun,右,1,approved,
gtarget_0ce8f44c7bca44f099c7e9543621ba4a,gexample_bdc3f03b9c9b433ea8751a4f9d894049,gelement_558ab6be40a541b5b41a7915df61e84e,1,reduplicated_verb,看看,1,approved,
gtarget_223f598e09d14bf5ad173fb749831470,gexample_dfe6654b0b1347b9af4e5cf42eafbd83,gelement_63009f492668415993694ce84134fc66,1,reduplicated_verb,看一看,1,approved,
