grammar_example_id,grammar_point_id,grammar_element_id,demonstration_order,analysis_en,review_status,notes
gexample_7b4ec541d9c748e6b701fc95b9af1675,hsk26-g1-012,gelement_d265a71d2bed49f481e63209583ad339,1,只 classifies the animal 猫 inside the phrase 一只猫.,approved,
gexample_72230dad3b214b48babca1deecda6de4,hsk26-g1-013,gelement_cbf9606281d3493b8bbad441e6946592,1,杯 sits between 一 and 茶 and counts one cupful of tea.,approved,
gexample_a54d45a24dd841bb9d25c9be7b1a7a8b,hsk26-g1-013,gelement_cbf9606281d3493b8bbad441e6946592,1,杯 classifies two servings of water after 两.,approved,
gexample_25e9ec64c086476699c1c433cc32a510,hsk26-g1-014,gelement_769a7798ae1a484f86bf20e35522ae8d,1,日 follows the date number 一 in the formal calendar expression 五月一日.,approved,
gexample_9e2715b975194e9ba847d631e0c471c6,hsk26-g1-014,gelement_bce42ed3a863431e8ce38011cb40b803,1,岁 follows 十 and measures the son's age in years.,approved,
gexample_f5c5a835d42b45cc92c32385fbfdc4c3,hsk26-g1-015,gelement_eb0bf178e84f47e9ab0d0fbe7f2e47ee,1,很 links the topic 今天天气 to the adjective 冷 and gives it an ordinary degree reading.,approved,
gexample_cc233499b3824dfa925317e57445ac1b,hsk26-g1-015,gelement_6130f48ca8e442a7bca55ec058976199,1,有一点儿 precedes 贵 and presents the degree of expense as mildly undesirable.,approved,
gexample_25425ae695f14bbfbf9b6e4180c3914c,hsk26-g1-016,gelement_9e115b6cf8c14f5681980d7a833bd59a,1,都 follows 我们 and distributes 是学生 over every person in that group.,approved,
gexample_8c709835d14e4f19818b3a58aeba7b11,hsk26-g1-016,gelement_9e115b6cf8c14f5681980d7a833bd59a,1,都 follows the plural set 这些书 and makes 很好 apply to all of them.,approved,
gexample_500d8710344a48218dcb3a2d0b77bdeb,hsk26-g1-017,gelement_79d5cb73c61e4f7a8d326c75ad3ab198,1,在 immediately precedes 看书 and marks the reading as ongoing.,approved,
gexample_99b2c8a87f2f47a294805d8b4f17165e,hsk26-g1-017,gelement_311e553831a34543813310c7c33904aa,1,正在 before 吃饭 emphasizes that the meal is in progress at this moment.,approved,
gexample_6aaf0acb0a3245d8a9f6516832a0036c,hsk26-g1-018,gelement_b8665d534c154fe5b4bde3595424c9a0,1,再 precedes 来 and places another occurrence of coming on tomorrow's schedule.,approved,
gexample_5e419924dc1b48c094112c2c166f0311,hsk26-g1-018,gelement_b8665d534c154fe5b4bde3595424c9a0,1,"再 before 说 requests another performance, while 一下 keeps the request light.",approved,
gexample_ca5f185ce063468c8358e6409aeb5280,hsk26-g1-019,gelement_e8bc3d2e18334230a6acce1a31620d92,1,还 introduces 买了水果 as an additional purchase after 买了书.,approved,
gexample_bdfb7ba3c5ba4c41be37c5aaebf2cbad,hsk26-g1-019,gelement_3fb8042e1ebb4a9dae3481700ac10540,1,也 before 是学生 marks the speaker as sharing the status already stated for 他.,approved,
gexample_cd0f96f9b8e447668b993a8ce5258d03,hsk26-g1-020,gelement_a60d56763edd4758adf9fc03bb12fd01,1,不 before 喝 presents tea-drinking as a general negative choice or habit.,approved,
gexample_16cca6e5ff1447e5acce62ee0b2a59f4,hsk26-g1-020,gelement_ae55dd6f23c64d229debda563a429198,1,没有 precedes 上班 and denies that the past event occurred; no perfective 了 appears.,approved,
gexample_b63afb3846454f29aef449936f7c5134,hsk26-g1-020,gelement_0848f17eaaf44eb793d8cad80c47e684,1,不要 stands before 说话 and turns the clause into a prohibition.,approved,
gexample_81b039b2a20a46d8ae426c74a2869684,hsk26-g1-021,gelement_4de22919d2d44c9a8077d864b648637a,1,在 introduces 学校 as the location of 学习汉语 and the whole setting precedes the action.,approved,
gexample_28be051c835d43068165a80323b30db3,hsk26-g1-021,gelement_4de22919d2d44c9a8077d864b648637a,1,在 introduces 三点 as the time setting for 上课.,approved,
gexample_b119fdc0a20e4f38874b65b4c4a9506f,hsk26-g1-022,gelement_231cf6fc070548549013b3c5e8778a5c,1,和 introduces 朋友 as the companion who goes with the subject.,approved,
gexample_654a52c8cce644b488a75d1cab87dc7e,hsk26-g1-022,gelement_eb332a8ff1534de5822d30ceb310e18d,1,对 introduces 我 as the person toward whom the speaking is directed.,approved,
gexample_d5a1ea5937f84a849ae3a710179b5b92,hsk26-g1-023,gelement_e498f91673f64226b98be2a9dac0b18d,1,和 joins the two parallel objects 茶 and 牛奶 inside one object phrase.,approved,
gexample_ec9b8f0db2624a25b8e7a014f28feabe,hsk26-g1-023,gelement_e498f91673f64226b98be2a9dac0b18d,1,和 coordinates 苹果 and 鸡蛋 as the two things bought.,approved,
gexample_aeb1e2125c6c4a5abb2722bb73a5671d,hsk26-g1-024,gelement_9b24ead5baa4441dba26d9a9e642cda1,1,的 links the possessor 我 to the possessed noun 书.,approved,
gexample_123b3c06a89847928bea4bc7545cbde2,hsk26-g1-024,gelement_9b24ead5baa4441dba26d9a9e642cda1,1,"的 links 好看, meaning 'good to watch' here, to the noun 电影.",approved,
gexample_667757b4a0f94173a93434798236b75d,hsk26-g1-025,gelement_0e26489ecb7740a6a836ea4537dfb860,1,"了 follows 买 and presents the two-book purchase as a realized, bounded event.",approved,
gexample_4a8276ab287c4322b723f74404f71934,hsk26-g1-025,gelement_0e26489ecb7740a6a836ea4537dfb860,1,了 follows 吃 and views the dinner event as complete.,approved,
gexample_9671af513ca143ec8d871186361a00bd,hsk26-g1-026,gelement_ff8baf3e9fd2418481a45fac68dcc311,1,吧 at sentence end softens 回家 into an inclusive suggestion.,approved,
gexample_7ba67025c3f645b3b0471a2169f9bb00,hsk26-g1-026,gelement_8eaaf40fdfd046da939058da7452f7d3,1,Sentence-final 了 presents rain as the new situation now in effect.,approved,
gexample_bf99e3b373664a7b87a3cde8d74107de,hsk26-g1-026,gelement_d1427939ada44d56b07a9d2be2d63987,1,吗 converts the statement-order clause into a neutral yes-no question.,approved,
gexample_2109e85839b04ccebda19296a0eeadce,hsk26-g1-026,gelement_6d8fc2d31338471b85e14bd32c5395e6,1,呢 closes a question already focused by 什么 and gives it a natural inquiring tone.,approved,
gexample_b256c4a6c82143e6949845ca7f9d61c4,hsk26-g1-026,gelement_05f2c1c21f5f413c84ff097ec9e5a5ed,1,你呢 reuses the preceding topic and asks the same question about 你 without repeating the predicate.,approved,
gexample_743bdbe60134409e9af8a2a65709e041,hsk26-g1-026,gelement_6e1a60abc4d14070a7ce18433cdb9382,1,Sentence-final 呢 highlights 看书 as the ongoing situation.,approved,
gexample_4a5fa77523884990be5f98a99c90068d,hsk26-g1-027,gelement_1c6820a111df4063b7e43bbc9d54015f,1,喂 opens the phone exchange by securing the listener's attention before the greeting.,approved,
gexample_322c0047e09a4d5ea7d946dec52b0862,hsk26-g1-027,gelement_1c6820a111df4063b7e43bbc9d54015f,1,喂 stands outside the clause and opens the call before the polite question.,approved,
gexample_77d2854eee864747b1d941a44c0cc2d0,hsk26-g1-028,gelement_d3b7e732c22149f8a878c62c7e02922d,1,爸爸妈妈 coordinates two kinship nouns as the plural subject of the sentence.,approved,
gexample_7dc0488344324c9984c487d9ff97dd98,hsk26-g1-028,gelement_d3b7e732c22149f8a878c62c7e02922d,1,读书 and 写字 are parallel verb-object phrases joined by 和 as one object of 喜欢.,approved,
gexample_a505dc844b314f3d95015f4ebe902258,hsk26-g1-029,gelement_6568409fcccf4305be5dc259f7dc5734,1,"我的 modifies the head noun 书, and the whole phrase means 'my book.'",approved,
gexample_59e26c8f7c6447a9a51f5759eabcc159,hsk26-g1-029,gelement_6568409fcccf4305be5dc259f7dc5734,1,"好看的, meaning 'good to watch' here, modifies the head noun 电影.",approved,
gexample_e671edf0c9e24754a417f02b02033e1d,hsk26-g1-030,gelement_32a436e8e63a4a8287c1a424f9759738,1,"看 is the verb and 书 is its following object, together forming 看书.",approved,
gexample_7e571d41b4ce489b827af4eabce08263,hsk26-g1-030,gelement_32a436e8e63a4a8287c1a424f9759738,1,吃 and its object-like component 饭 form the verb-object expression 吃饭 inside the predicate 在吃饭.,approved,
gexample_73a7f0704ba64e8b8ee1a02accacf11a,hsk26-g1-031,gelement_1ccf20e7a20744f08a1bf3be2c6f6b58,1,天气 is the internal subject and 很好 its predicate; 天气很好 is the proposition after 觉得.,approved,
gexample_5434641f4e9542e2bfd0bc382a08b1a2,hsk26-g1-031,gelement_1ccf20e7a20744f08a1bf3be2c6f6b58,1,"他 is the internal subject of 是老师, and the whole proposition follows 知道.",approved,
gexample_46c5e82c4eac455990e2c91a6d57f248,hsk26-g1-032,gelement_39be1f69e9334636950e34f51d80623f,1,三本 combines the numeral 三 with the book classifier 本 before 书.,approved,
gexample_e31fa1c965854244a062d82b6a14ae05,hsk26-g1-032,gelement_39be1f69e9334636950e34f51d80623f,1,两件 is a numeral-measure phrase that quantifies the following 衣服.,approved,
gexample_7de0d4aa46af4629a53b2f4ac3c31fd8,hsk26-g1-033,gelement_9c4a48936289472d87c9f7ac4ece82a7,1,在学校 contains preposition 在 and object 学校; the whole phrase sets the location of 学习.,approved,
gexample_b94dfcacac86441fb4bb2737947714a5,hsk26-g1-033,gelement_9c4a48936289472d87c9f7ac4ece82a7,1,对我 combines 对 with its pronoun object 我 and identifies the target of speaking.,approved,
gexample_317f574714274eeda44a2d010b955f20,hsk26-g1-034,gelement_ba781e25e5c9448e8a46f90acd57e89d,1,桌子上 combines the reference 桌子 with 上 to name its upper surface.,approved,
gexample_1b77b0722365444b9e922bbc60dabf97,hsk26-g1-034,gelement_ba781e25e5c9448e8a46f90acd57e89d,1,房间里 combines 房间 with 里 and serves as the place where the cat exists.,approved,
gexample_97bca6c8a1ef482d8cf9379ee426028c,hsk26-g1-035,gelement_336155e1e97e47d4867aef6ae177cdba,1,学生 is a noun in the subject position before the predicate 在看书.,approved,
gexample_9265c95b75864ce7b60957c795af061b,hsk26-g1-035,gelement_13bcd1222d2b4141a300a9f0644af2d1,1,他们 is the pronoun subject about which 都很高兴 is stated.,approved,
gexample_1dff9dee5dee4d5b9e42d971ebe01593,hsk26-g1-036,gelement_0060b621bc9c4bea8558ca495dcda8da,1,星期日 is the noun predicate giving the calendar identity of 明天 without 是.,approved,
gexample_f99978af8dcd4825a07b68bc70506426,hsk26-g1-036,gelement_ba76d5fd71884925a41142508a990c4d,1,十岁 is a quantity phrase used directly as the age predicate of 我儿子.,approved,
gexample_f24e41bdddf74ae59975f93cde712c1b,hsk26-g1-037,gelement_1ec032ecc39a46b7baab34a526b7921d,1,学习汉语 is the verbal predicate stating the subject's activity.,approved,
gexample_e43e8adc03154f4fad8cbdf86251b128,hsk26-g1-037,gelement_12de4653eab84bb09a0697cd0d70ab85,1,很漂亮 is an adjectival predicate describing 这件衣服 without using 是.,approved,
gexample_663f7e0aa5cb4ac69d93357d5f938539,hsk26-g1-038,gelement_71447aceffe74483856fd2df975de125,1,电影 is the noun object selected by 喜欢.,approved,
gexample_d0324fa46ebb4bd9a569119e95f2d0d8,hsk26-g1-038,gelement_028e92c3d3984fe690904f3f06fef5c8,1,他们 is the pronoun object directly following 认识.,approved,
gexample_f855b8f080f04926a286eebb269b339b,hsk26-g1-039,gelement_7ad4332f431347d39f8637ab247b62cd,1,老师的 is a nominal possessive attributive placed before the head noun 书.,approved,
gexample_8640feea6a7c4f4e88f02c2d5e867a20,hsk26-g1-039,gelement_3cd62e2fb8f3470aad5da162e60036f5,1,两本 is a numeral-measure attributive directly quantifying the head noun 书.,approved,
gexample_5c389a20dd2e4c9fa0359864272a2c8e,hsk26-g1-040,gelement_b5c61d54bdd047e983d3cb755804aae3,1,非常 is an adverbial immediately modifying the degree of 高兴.,approved,
gexample_a42945755bc44be5be3ba4375814fb98,hsk26-g1-040,gelement_f09db3f2b04749cdba41b20a14ef6b06,1,今天 frames 学习 as the time adverbial.,approved,
gexample_a42945755bc44be5be3ba4375814fb98,hsk26-g1-040,gelement_d902d09928274808a7f57c2e14ce2f9e,2,在学校 frames 学习 as the place adverbial after the time expression.,approved,
gexample_e05bfa1ed08945f0be38de46dce6d173,hsk26-g1-041,gelement_61264ae401b145d2ac3a8e04f1c02f24,1,一下 follows 看 and presents the requested look as brief and limited.,approved,
gexample_38376ef72b704929b9f9ac4706342a34,hsk26-g1-041,gelement_61264ae401b145d2ac3a8e04f1c02f24,1,一下 follows 说 and makes the request to say your name brief and less abrupt.,approved,
gexample_78219a5ebee94381a9e20eebae241418,hsk26-g1-042,gelement_570bb8aec88b41a6aab59d9a131b0fb9,1,我 is the subject and 学习汉语 is the verbal predicate centered on 学习.,approved,
gexample_dc3ec87c0a4e4ffdae2c376758de7840,hsk26-g1-042,gelement_570bb8aec88b41a6aab59d9a131b0fb9,1,有两本书 is a verbal predicate headed by 有 and states possession about 他.,approved,
gexample_db7e9f6f44d14fff988abf25d0abae84,hsk26-g1-043,gelement_c17b2d9dae914028a5bd078908796f16,1,"很高兴 is the adjectival predicate describing 她, with no 是.",approved,
gexample_55cab6f196e04f7c9aa3540d6ac99bb0,hsk26-g1-043,gelement_c17b2d9dae914028a5bd078908796f16,1,太热了 is the adjectival predicate describing today's weather condition.,approved,
gexample_5c086316b84042b6a32d0b8ffb1fc037,hsk26-g1-044,gelement_a9f5915116a0451ca6f4efbe49775f93,1,五月一号 is a calendar-date nominal predicate directly following 今天.,approved,
gexample_8b13136878f04f6d91b1cbed6f61242c,hsk26-g1-044,gelement_a9f5915116a0451ca6f4efbe49775f93,1,十八岁 is an age expression functioning directly as the predicate of 我妹妹.,approved,
gexample_4be65931318d4f3a94de9adaf7559e07,hsk26-g1-045,gelement_15fa1378a7a04f42a245629ed08fc3fc,1,The weather event 下雨了 forms the whole message without a separate grammatical subject.,approved,
gexample_58c2fb7e17bd4d059853975d53540daa,hsk26-g1-045,gelement_15fa1378a7a04f42a245629ed08fc3fc,1,"太冷了 presents the experienced condition directly, with no explicit subject-predicate division.",approved,
gexample_68c2285ec63e444db3a8d3f496f9cc1a,hsk26-g1-046,gelement_6fe0423659034c669ce944fba716458e,1,The sentence states the speaker's status and does not request an answer or action.,approved,
gexample_44393e8eed4746f7966f3d7532061e7d,hsk26-g1-046,gelement_6fe0423659034c669ce944fba716458e,1,The sentence presents today's temperature as information in declarative form.,approved,
gexample_99efca21b3c1459cb6cfcddcf8e23881,hsk26-g1-047,gelement_bcb67b35e0e4417c96a4a39017eaeb16,1,吗 follows the complete proposition 你是老师 and asks whether it is true.,approved,
gexample_0579e287a70d4f0f8744256be8b599dd,hsk26-g1-047,gelement_bcb67b35e0e4417c96a4a39017eaeb16,1,吗 turns the statement-order event 他今天来 into a neutral yes-no question.,approved,
gexample_286bde47fbf7449eb940795906451504,hsk26-g1-048,gelement_91beea8e98ad4cc8875f7b61e310cf2c,1,谁 fills the subject position and asks for the unknown person's identity.,approved,
gexample_4ee9b9c40c62476dbed636bb5a7e0a63,hsk26-g1-048,gelement_91beea8e98ad4cc8875f7b61e310cf2c,1,什么 remains in the object position after 吃 and asks for the unknown food.,approved,
gexample_b241088c3d7843699cdbf0ddff4c4fe5,hsk26-g1-049,gelement_fba6462ed09d4e75b8d24bb09ba5007d,1,是不是 presents the affirmative 是 and negative 不是 as the two choices.,approved,
gexample_ed434a32f8ce4716a86ad5fd447970a7,hsk26-g1-049,gelement_fba6462ed09d4e75b8d24bb09ba5007d,1,去不去 repeats 去 around 不 and asks the listener to choose between going and not going.,approved,
gexample_799dd92687fe42f492352b4e8b2f2536,hsk26-g1-050,gelement_8eb42fd503b6433b863ac05e64156496,1,"请 introduces the requested action 坐, with the listener understood as its subject.",approved,
gexample_43a48ad3d67d4d5d8dfe89df62e2cbc9,hsk26-g1-050,gelement_8eb42fd503b6433b863ac05e64156496,1,不要 turns 说话 into a prohibition directed at the listener.,approved,
gexample_c1befca731734d688c12f10d7b961de7,hsk26-g1-051,gelement_5f9017ec1902408f928a526ac09af488,1,太漂亮了 presents the speaker's strong admiration rather than a neutral description.,approved,
gexample_4d3da4f5d8d1425189d7a4a461f3523f,hsk26-g1-051,gelement_5f9017ec1902408f928a526ac09af488,1,真 intensifies 好吃 and gives the sentence an enthusiastic evaluative force.,approved,
gexample_0143ebcbad7840b89c4fcce2633c3be0,hsk26-g1-052,gelement_023ddbdfaa5547ac8c084c7fdc8071bf,1,是 links 他 to the class label 老师.,approved,
gexample_9ed514f9c39f4f1d828bc509b33b993a,hsk26-g1-052,gelement_023ddbdfaa5547ac8c084c7fdc8071bf,1,是 identifies the referent of 这 as 我的书.,approved,
gexample_2c7c157583144534b2a753b969694d1b,hsk26-g1-053,gelement_8d6da5f855fe4532a122111f858f9181,1,有 links the possessor 我 to the possessed quantity 两本书.,approved,
gexample_775740aa065747ff97ac2c7fa997e4d8,hsk26-g1-053,gelement_8d6da5f855fe4532a122111f858f9181,1,没有 is the negative possession form and denies a computer in her possession.,approved,
gexample_184351f1cde94cac9e312a5179a87dee,hsk26-g1-054,gelement_b109789a94154c708fb7bb28b66ee4ea,1,"学校前边 is the initial location, and 是 identifies 书店 as what occupies it.",approved,
gexample_fa9ce126be704acf950e07f354c728fe,hsk26-g1-054,gelement_b109789a94154c708fb7bb28b66ee4ea,1,"医院后边 establishes the location before 是, and 饭店 names what is there.",approved,
gexample_e58f26accab446efb0d6391a481b65c8,hsk26-g1-055,gelement_10a03f265ed34b6e96bdbb01028a8b03,1,"桌子上 is the initial place, and 有 introduces the new entity 一本书.",approved,
gexample_3e4af6239e954b9181365b360f9ace40,hsk26-g1-055,gelement_10a03f265ed34b6e96bdbb01028a8b03,1,"房间里 sets the location, while 有 presents 两只猫 as existing there.",approved,
gexample_62f883302c2a463badbfc095904e2c3c,hsk26-g1-056,gelement_3f37492906d7467a8a4459e59bbc39a9,1,"去商店 happens first, and 买水果 states the purpose of going.",approved,
gexample_c69fa4524a8f4b5b9268b602bfa52f40,hsk26-g1-056,gelement_3f37492906d7467a8a4459e59bbc39a9,1,"去学校 is followed directly by 学习汉语, which gives the purpose of going.",approved,
gexample_fc676d847f9a4c9cbf6e4adc1306afff,hsk26-g1-057,gelement_806720070f57489c8a0cfe99adc46a81,1,坐出租车 precedes 去学校 and states the means by which the going happens.,approved,
gexample_8a804581cbcc408abf070c1f48fb3b5c,hsk26-g1-057,gelement_806720070f57489c8a0cfe99adc46a81,1,开车 is the manner action and directly precedes the destination action 去医院.,approved,
gexample_311f9840049a47a6a65119f979c6be9d,hsk26-g1-058,gelement_ae30c784dfa743119e671d5c142bb21e,1,"给 takes 你 as the recipient object and 一本书 as the thing object, in that order.",approved,
gexample_225abb81b9024a81a30c263e57170649,hsk26-g1-058,gelement_ae30c784dfa743119e671d5c142bb21e,1,"我 is the first, recipient-like object of 给, followed by the transferred item 一个苹果.",approved,
gexample_fe5650a376b64940aabe4f3505929c30,hsk26-g1-059,gelement_d0fb623a01fe4919b7218b33479ffb36,1,"The rain clause precedes the decision clause, and their causal relation is understood without a conjunction.",approved,
gexample_a514f22d3545446aa7e80fb77a55c303,hsk26-g1-059,gelement_d0fb623a01fe4919b7218b33479ffb36,1,The illness and response form two related clauses; context supplies the causal link without an overt connector.,approved,
gexample_7ccad2609fb44ef18c7a9bf45a55b5d9,hsk26-g1-060,gelement_1d5f4d30470d479e87840416aa71bc0a,1,也 precedes the second 喜欢看书 and marks it as parallel to the first clause.,approved,
gexample_6128395fc205482fbc122f7ff2a4c1a8,hsk26-g1-060,gelement_1d5f4d30470d479e87840416aa71bc0a,1,也 in the second clause makes 爸爸 share the teacher status already stated for 妈妈.,approved,
gexample_eae0a18426e64bddbca17b98a4aa55ff,hsk26-g1-061,gelement_5833ff2afdad4c84a88126ed6029713e,1,还 introduces 买了水果 as an additional purchase after the first clause.,approved,
gexample_35652635834e4dc2bedb3b6c5e7bc9f5,hsk26-g1-061,gelement_5833ff2afdad4c84a88126ed6029713e,1,还 adds 会写汉字 to the ability 会说汉语 already stated.,approved,
gexample_4aff2d447c4a44d79d74852ae1e1567b,hsk26-g1-062,gelement_fab30cfa711444f3a7513679777f3819,1,了 follows 看 and presents the movie-watching event as a bounded whole.,approved,
gexample_549d40e3ad144f8689c35ea53a42f99d,hsk26-g1-062,gelement_fab30cfa711444f3a7513679777f3819,1,了 after 买 marks the computer purchase as realized and complete.,approved,
gexample_672bb4b9312b442cbff8aca91c096bb2,hsk26-g1-063,gelement_592dd1d340a64895812be9c974a28f55,1,Sentence-final 了 presents cold weather as the new state now in effect.,approved,
gexample_c7ddd534028a4652b35739bd8d3bc83b,hsk26-g1-063,gelement_592dd1d340a64895812be9c974a28f55,1,"Final 了 marks university-student status as a new situation, not a completed action.",approved,
gexample_b559ff3cea5341e4a5511b6791d82bf3,hsk26-g1-064,gelement_f609c5b1b9874977ac1a4f5dd6f47604,1,在 stands directly before 看书 and marks reading as ongoing.,approved,
gexample_50cb13232e93489a8cf8148ab796cef1,hsk26-g1-064,gelement_e5d6d033fb554376aaac73acde128aec,1,正在 directly precedes 吃饭 and focuses on the meal being in progress now.,approved,
gexample_833ddd860345404db5bb1d83cd01691d,hsk26-g1-065,gelement_e77a0788e3884ec8b812ca8fc3c85510,1,在 marks 看书 as ongoing and final 呢 reinforces the current-situation frame.,approved,
gexample_5b24c462aa044d5f91369d01aa97aaee,hsk26-g1-065,gelement_644bcc35b2964dc99edefc3f5e98b45c,1,"正在 focuses the ongoing meal, and 呢 closes the clause as a current situation.",approved,
gexample_8370f8a046424dbaa24d4a8e802c9c24,hsk26-g1-066,gelement_afad040d164d45c7a3e67745ca67dc73,1,Final 呢 gives 看电视 the contextually ongoing reading without an overt preverbal marker.,approved,
gexample_986849ae57014c93a46cd716b8d457a9,hsk26-g1-066,gelement_afad040d164d45c7a3e67745ca67dc73,1,呢 closes 做饭 and highlights cooking as the activity underway now.,approved,
gexample_55815d6472fa400dba44bbaae76431ed,hsk26-g1-067,gelement_0d3fcae3cb80440a8a9caad8e6978186,1,二十元 is the standard-form money amount used directly as the book's price.,approved,
gexample_a7baa2c61a23455ea2b74312ccac834f,hsk26-g1-067,gelement_df7899e2d9ad4822bcb639977f92eae1,1,三块 uses everyday 块 as the yuan unit in the stated price.,approved,
gexample_9c99b8f9d57a4454b2dea633747d9372,hsk26-g1-068,gelement_38c782143598477ab4c6a0e0b1551e7b,1,"第 prefixes 一 to form 第一, which precedes the book classifier 本.",approved,
gexample_1391458727414af19beea6cfbec1a593,hsk26-g1-068,gelement_38c782143598477ab4c6a0e0b1551e7b,1,第三 gives the student's ordered position and is followed by classifier 个.,approved,
gexample_4bfbed213de44105bf69a4fa9a0500b8,hsk26-g1-069,gelement_4ff9028033424c48bce1b9628fcf5149,1,五月 places the month number before 月 in larger-to-smaller date order.,approved,
gexample_4bfbed213de44105bf69a4fa9a0500b8,hsk26-g1-069,gelement_b72213f8f5c0451dadb05fe672debcd7,2,一日 follows the month and marks the first day in formal date style.,approved,
gexample_01e7043b830740c39ed5656f0e61e01b,hsk26-g1-069,gelement_0e7a9058985b4097a51b36b3d35d693a,1,星期日 is the conventional weekday expression for Sunday and serves as the predicate of 明天.,approved,
gexample_b221023dea524363882ad43c7bf573cb,hsk26-g1-070,gelement_cf53be8b4bbb49b7b22becff4733ae70,1,三点 gives the hour and 半 adds half an hour to form 3:30.,approved,
gexample_74451532160a4f80a6b2caa9f822b46f,hsk26-g1-070,gelement_526a60a779d94a7caa5757078fdc2417,1,八点 states the hour and 十分 supplies the minute value before the action 上课.,approved,
