vocab_id,syllabus_form,hanzi,pinyin,part_of_speech_zh,active_exact_sentence_count,active_exact_card_count,approved_active_context_count,legacy_unreviewed_active_context_count,other_active_context_count,deficit_to_2,deficit_to_3,surplus_above_3,at_least_one,at_least_two,at_least_three,active_open_issue_count,active_open_issue_ids,active_sentence_ids,active_card_ids
hsk26-v00320,出去,出去,chūqù,动,2,2,1,1,0,0,1,0,True,True,False,0,,hsk2_sent_aug_seed_077|sent_a6e590aa1512432d97e48c3c02f9c6d7,hsk2_sent_aug_seed_077|scard_a2148399193c4a67a2d19e54550849f5
hsk26-v00321,床,床,chuáng,名,2,2,1,1,0,0,1,0,True,True,False,0,,hsk2_sent_aug_seed_121|sent_3dde3fa5d86c444d94a506fc566a5a35,hsk2_sent_aug_seed_121|scard_c93896b914bf4184bafabd4c9c4b3f23
hsk26-v00322,词,词,cí,名,2,2,1,1,0,0,1,0,True,True,False,0,,hsk2_sent_zh_en_047|sent_3c03116648cd4e94b76c9224b41b6747,hsk2_sent_zh_en_047|scard_b5ac50c402fc437894aaf556391352b2
hsk26-v00323,次,次,cì,量、（形）,3,3,1,2,0,0,0,0,True,True,True,0,,hsk2_sent_aug_dense_0065|hsk2_sent_zh_en_036|sent_70e5676297464083bddfbfbfe70280c1,hsk2_sent_aug_dense_0065|hsk2_sent_zh_en_036|scard_48699f69a151468f93895f0d2917b249
hsk26-v00324,从,从,cóng,介、（副）,3,3,2,1,0,0,0,0,True,True,True,0,,hsk2_sent_aug_seed_077|sent_0ec4b29b85834510b9d2ec657e30c8a8|sent_747c307f62694c47b2dc0c6988100267,hsk2_sent_aug_seed_077|scard_e1e441a78bdd438b8985893d148573d3|scard_fc9d1409b55241879b55f3d5c7459e2b
hsk26-v00325,从小,从小,cóngxiǎo,副,2,2,0,2,0,0,1,0,True,True,False,0,,hsk2_sent_aug_dense_0042|hsk2_sent_zh_en_001,hsk2_sent_aug_dense_0042|hsk2_sent_zh_en_001
hsk26-v00326,错,错,cuò,形,2,2,0,2,0,0,1,0,True,True,False,0,,hsk2_sent_zh_en_020|hsk2_sent_zh_en_067,hsk2_sent_zh_en_020|hsk2_sent_zh_en_067
hsk26-v00327,打1,打,dǎ,动,2,2,0,2,0,0,1,0,True,True,False,0,,hsk2_sent_aug_seed_142|hsk2_sent_zh_en_024,hsk2_sent_aug_seed_142|hsk2_sent_zh_en_024
hsk26-v00328,打车,打车,dǎchē,动,2,2,0,2,0,0,1,0,True,True,False,0,,hsk2_sent_aug_dense_0065|hsk2_sent_aug_dense_0089,hsk2_sent_aug_dense_0065|hsk2_sent_aug_dense_0089
hsk26-v00329,打开,打开,dǎkāi,动,3,3,2,1,0,0,0,0,True,True,True,0,,hsk2_sent_aug_seed_070|sent_05003ff9335c45ebb19a2b3f6f48aae5|sent_b7a10d75908048bf94aa9a4bbf5e4d0e,hsk2_sent_aug_seed_070|scard_0d4bb746ab1f4db8a57e04b0fb823119|scard_9f0d4fcadf2e475aa6c09f2f1f0955ee
hsk26-v00330,但,但,dàn,连、（副）,2,2,2,0,0,0,1,0,True,True,False,0,,sent_6f9107918c5f4005ae0e29816203fa1d|sent_825e7473de3d49f6b722c954e309426e,scard_461b4b49a9a04dbbb9a9def5c5d698d4|scard_5e8d9cede1cd4a54ba8bf2ace4cf269e
hsk26-v00331,但是,但是,dànshì,连,2,2,1,1,0,0,1,0,True,True,False,0,,hsk2_sent_aug_dense_0042|sent_3fab3c4657bf458a81dcd96a508ecbec,hsk2_sent_aug_dense_0042|scard_862ae06d511c42beaf531f1d6349e6b3
hsk26-v00332,得,得,de,助,12,12,4,8,0,0,0,9,True,True,True,0,,hsk2_sent_aug_dense_0042|hsk2_sent_aug_dense_0082|hsk2_sent_aug_seed_083|hsk2_sent_en_zh_009|hsk2_sent_zh_en_010|hsk2_sent_zh_en_036|hsk2_sent_zh_en_039|hsk2_sent_zh_qa_020|sent_0c136c6500834b12af47dc8407f23073|sent_5f0ef5905b574c37b9cd3aa6e3849b7d|sent_9cfc9d65e3c440f0bf24c404689d40c6|sent_9d088786bb6e42f9bd8e1a26b4668ec0,hsk2_sent_aug_dense_0042|hsk2_sent_aug_dense_0082|hsk2_sent_aug_seed_083|hsk2_sent_en_zh_009|hsk2_sent_zh_en_010|hsk2_sent_zh_en_036|hsk2_sent_zh_en_039|hsk2_sent_zh_qa_020|scard_b1043f0c15d44c8bab18e3d677975e3c|scard_d68c674d3d23406598d7590aef81a5ed|scard_d84c7cbaa59c4526b6ac5ee852cded60|scard_ec0c24f381a94300bd2ea3bbec826522
hsk26-v00333,地,地,de,助,3,3,1,2,0,0,0,0,True,True,True,0,,hsk2_sent_aug_dense_0016|hsk2_sent_aug_dense_0077|sent_6fa5df43eb4246248781d0595c4452e0,hsk2_sent_aug_dense_0016|hsk2_sent_aug_dense_0077|scard_69c4bc7716644ec091bd2070d067fd00
hsk26-v00334,等1,等,děng,动、（介）,7,7,5,2,0,0,0,4,True,True,True,0,,hsk2_sent_aug_seed_081|hsk2_sent_zh_en_054|sent_7e0ad15b850949f080acd1f5ed7dde28|sent_ab1700ed819c4c3c9646c9f82e0578e9|sent_c30bae84af224916bd84e368f0a20575|sent_e89890799a064b82aec5fc079a5742a7|sent_f526164a37884fa38de8bcfb3280f3fb,hsk2_sent_aug_seed_081|hsk2_sent_zh_en_054|scard_0d4f80b8501f43989f9e6f926ca0d2d3|scard_21d638f7286d4aeeac5238e71c75a3bc|scard_33a8dda4f093412ab3bdedc3836b2cc8|scard_94d25450fc4a4a35916cc10be016a080|scard_f6b39f803d6a479b9d4723a0ff1329a3
hsk26-v00335,地铁,地铁,dìtiě,名,7,7,6,1,0,0,0,4,True,True,True,0,,hsk2_sent_zh_en_042|sent_10ca3c6c9e684637a696bc31a4925a01|sent_36e22233803d42b58e57bfc9c0fc8bc4|sent_433f5fdcdb204dc5bd3f2909c98b62f7|sent_b41e00be33544e9b939b43824c08646c|sent_ba9795dd27e24f0488b91a003439acb1|sent_f2effe8d09934cafb5c805b0c5ca1a04,hsk2_sent_zh_en_042|scard_07c19d56429e412bb0b2ce5ea53b9686|scard_1e763f3598aa4a82addee9002ba88d87|scard_541d1fc0431f4b799ada3e52a6b2f6f4|scard_546b79082944455481fde485b3929582|scard_88f23cb0337b4dfdb7234e4eabbb72cb|scard_cea4739683414892bee10f340d3dde87
hsk26-v00336,点2,点,diǎn,动、（名、量）,2,2,2,0,0,0,1,0,True,True,False,0,,sent_0b556a51d60e4fafbd76351f2ecfdba0|sent_a3387e2ce2c64708970e764fee3e13b0,scard_362443f878a449f998dc3b4e826e858c|scard_a505aa43283743ec8c91e021624d8fc2
hsk26-v00337,懂,懂,dǒng,动,2,2,1,1,0,0,1,0,True,True,False,0,,hsk2_sent_en_zh_037|sent_825e7473de3d49f6b722c954e309426e,hsk2_sent_en_zh_037|scard_461b4b49a9a04dbbb9a9def5c5d698d4
hsk26-v00338,动,动,dòng,动,2,2,0,2,0,0,1,0,True,True,False,0,,hsk2_sent_aug_dense_0091|hsk2_sent_en_zh_015,hsk2_sent_aug_dense_0091|hsk2_sent_en_zh_015
hsk26-v00339,饭馆,饭馆,fànguǎn,名,5,5,2,3,0,0,0,2,True,True,True,0,,hsk2_sent_aug_seed_082|hsk2_sent_en_zh_029|hsk2_sent_zh_en_026|sent_1e31c2b5309a43a59acbfe1262ffc28c|sent_c0149fae0a45470a812f85d70d6abb23,hsk2_sent_aug_seed_082|hsk2_sent_en_zh_029|hsk2_sent_zh_en_026|scard_5b62718d5fea4255990ff247320197e5|scard_811b3d0d460b4710a59a7fe1eb1d7e6e
hsk26-v00340,飞,飞,fēi,动,2,2,0,2,0,0,1,0,True,True,False,0,,hsk2_sent_aug_seed_083|hsk2_sent_en_zh_009,hsk2_sent_aug_seed_083|hsk2_sent_en_zh_009
hsk26-v00341,高,高,gāo,形、名,6,6,3,3,0,0,0,3,True,True,True,0,,hsk2_sent_aug_dense_0066|hsk2_sent_aug_seed_083|hsk2_sent_en_zh_009|sent_2f5d2ae8a60c4948a2c14089304c078f|sent_b0655c312316477198343aa2bae767bf|sent_b668647ee9c2408fb6078e4a534bd3cf,hsk2_sent_aug_dense_0066|hsk2_sent_aug_seed_083|hsk2_sent_en_zh_009|scard_38e653ceba854bf8bad0a899818397c4|scard_6f3de97f4fe64be8a50ef33ae3dcfc3f|scard_dcaf9f3fc4bc444ea89192f2be8165b8
hsk26-v00342,高中,高中,gāozhōng,名,2,2,0,2,0,0,1,0,True,True,False,0,,hsk2_sent_aug_dense_0020|hsk2_sent_aug_seed_084,hsk2_sent_aug_dense_0020|hsk2_sent_aug_seed_084
hsk26-v00343,告诉,告诉,gàosu,动,2,2,0,2,0,0,1,0,True,True,False,0,,hsk2_sent_aug_seed_086|hsk2_sent_en_zh_028,hsk2_sent_aug_seed_086|hsk2_sent_en_zh_028
hsk26-v00344,个子,个子,gèzi,名,2,2,1,1,0,0,1,0,True,True,False,0,,hsk2_sent_aug_dense_0066|sent_b668647ee9c2408fb6078e4a534bd3cf,hsk2_sent_aug_dense_0066|scard_dcaf9f3fc4bc444ea89192f2be8165b8
hsk26-v00345,跟,跟,gēn,介、连、（名、动）,2,2,2,0,0,0,1,0,True,True,False,0,,sent_802ce5951f3a4c7ba17462567143939b|sent_d035aad2e2ee4b62a53d6f1915b9e276,scard_031d3a1ba8e34443a3223df9e037e525|scard_89d0b621633c46c3939154571c09513f
hsk26-v00346,公交车,公交车,gōngjiāochē,名,2,2,2,0,0,0,1,0,True,True,False,0,,sent_10ca3c6c9e684637a696bc31a4925a01|sent_36e22233803d42b58e57bfc9c0fc8bc4,scard_546b79082944455481fde485b3929582|scard_cea4739683414892bee10f340d3dde87
hsk26-v00347,过,过,guò,动,2,2,2,0,0,0,1,0,True,True,False,0,,sent_76c9ce467e674cedb58429ee1a883f80|sent_c3fc772654d74543922885be49d0c084,scard_574f566b7d0a4ad28fcf1e2cedc2ea8e|scard_fb9a0a83d8a5417082c5e847b3a964d3
hsk26-v00348,过来,过来,guòlái,动,2,2,0,2,0,0,1,0,True,True,False,0,,hsk2_sent_aug_dense_0044|hsk2_sent_zh_en_048,hsk2_sent_aug_dense_0044|hsk2_sent_zh_en_048
hsk26-v00349,过年,过年,guònián,动,2,2,0,2,0,0,1,0,True,True,False,0,,hsk2_sent_aug_dense_0010|hsk2_sent_aug_dense_0029,hsk2_sent_aug_dense_0010|hsk2_sent_aug_dense_0029
hsk26-v00350,过去1,过去,guòqù,动,2,2,1,1,0,0,1,0,True,True,False,0,,hsk2_sent_en_zh_065|sent_c024614c065246a9b6c213bf91f6ec96,hsk2_sent_en_zh_065|scard_200906ea329841ef99b7c57848b30b81
hsk26-v00351,过,过,guo,助,3,3,3,0,0,0,0,0,True,True,True,0,,sent_70e5676297464083bddfbfbfe70280c1|sent_ba9795dd27e24f0488b91a003439acb1|sent_fa7c97c83d984dfc9b644124b64908f6,scard_48699f69a151468f93895f0d2917b249|scard_541d1fc0431f4b799ada3e52a6b2f6f4|scard_8560bad911dd45adbed0d3fb366e2075
hsk26-v00352,还是,还是,háishi,副、连,7,7,6,1,0,0,0,4,True,True,True,0,,hsk2_sent_aug_seed_093|sent_10ca3c6c9e684637a696bc31a4925a01|sent_36e22233803d42b58e57bfc9c0fc8bc4|sent_3fab3c4657bf458a81dcd96a508ecbec|sent_6f9107918c5f4005ae0e29816203fa1d|sent_7b10082c89254f33bcf7ea51c6c59c28|sent_f2effe8d09934cafb5c805b0c5ca1a04,hsk2_sent_aug_seed_093|scard_1e763f3598aa4a82addee9002ba88d87|scard_546b79082944455481fde485b3929582|scard_5e8d9cede1cd4a54ba8bf2ace4cf269e|scard_862ae06d511c42beaf531f1d6349e6b3|scard_cea4739683414892bee10f340d3dde87|scard_e758180888fe4b83a5dce9a2f70c46a6
hsk26-v00353,黑色,黑色,hēisè,名,2,2,0,2,0,0,1,0,True,True,False,0,,hsk2_sent_zh_en_008|hsk2_sent_zh_en_062,hsk2_sent_zh_en_008|hsk2_sent_zh_en_062
hsk26-v00354,红茶,红茶,hóngchá,名,2,2,0,2,0,0,1,0,True,True,False,0,,hsk2_sent_aug_seed_066|hsk2_sent_en_zh_035,hsk2_sent_aug_seed_066|hsk2_sent_en_zh_035
hsk26-v00355,红色,红色,hóngsè,名,2,2,1,1,0,0,1,0,True,True,False,0,,hsk2_sent_zh_en_022|sent_3de32e3536684360b92bcb34d2969e39,hsk2_sent_zh_en_022|scard_1173fa09742a432b8c549745e331b7b4
hsk26-v00356,后面,后面,hòumiàn,名,2,2,0,2,0,0,1,0,True,True,False,0,,hsk2_sent_aug_dense_0023|hsk2_sent_aug_seed_121,hsk2_sent_aug_dense_0023|hsk2_sent_aug_seed_121
hsk26-v00357,花1,花,huā,动,2,2,2,0,0,0,1,0,True,True,False,0,,sent_0b556a51d60e4fafbd76351f2ecfdba0|sent_5af8223e252441dda10f6c3a02e62edb,scard_362443f878a449f998dc3b4e826e858c|scard_ad6d6a04e9c94522a915afd3e582f88a
hsk26-v00358,花2,花,huā,名、（形）,2,2,2,0,0,0,1,0,True,True,False,0,,sent_1ef5403ab7de44f593bfb35d79312db8|sent_7d1b82f6b94a4566814ee1be8c4b32be,scard_58bacc8762d44ac7a06d008a4113a06d|scard_883b98ef6f8941bbbd1531add30bacf2
hsk26-v00359,画,画,huà,动、名,3,3,0,3,0,0,0,0,True,True,True,0,,hsk2_sent_aug_dense_0042|hsk2_sent_aug_seed_067|hsk2_sent_zh_en_001,hsk2_sent_aug_dense_0042|hsk2_sent_aug_seed_067|hsk2_sent_zh_en_001
hsk26-v00360,坏,坏,huài,形,2,2,0,2,0,0,1,0,True,True,False,0,,hsk2_sent_aug_dense_0023|hsk2_sent_aug_seed_098,hsk2_sent_aug_dense_0023|hsk2_sent_aug_seed_098
hsk26-v00361,回来,回来,huílái,动,2,2,1,1,0,0,1,0,True,True,False,0,,hsk2_sent_zh_en_017|sent_76c9ce467e674cedb58429ee1a883f80,hsk2_sent_zh_en_017|scard_fb9a0a83d8a5417082c5e847b3a964d3
hsk26-v00362,回去,回去,huíqù,动,2,2,0,2,0,0,1,0,True,True,False,0,,hsk2_sent_aug_dense_0010|hsk2_sent_aug_seed_100,hsk2_sent_aug_dense_0010|hsk2_sent_aug_seed_100
hsk26-v00363,机场,机场,jīchǎng,名,3,3,0,3,0,0,0,0,True,True,True,0,,hsk2_sent_aug_dense_0065|hsk2_sent_aug_seed_073|hsk2_sent_zh_en_014,hsk2_sent_aug_dense_0065|hsk2_sent_aug_seed_073|hsk2_sent_zh_en_014
hsk26-v00364,机票,机票,jīpiào,名,2,2,0,2,0,0,1,0,True,True,False,0,,hsk2_sent_aug_seed_101|hsk2_sent_en_zh_026,hsk2_sent_aug_seed_101|hsk2_sent_en_zh_026
hsk26-v00365,记得,记得,jìde,动,2,2,0,2,0,0,1,0,True,True,False,0,,hsk2_sent_aug_dense_0044|hsk2_sent_aug_seed_101,hsk2_sent_aug_dense_0044|hsk2_sent_aug_seed_101
hsk26-v00366,间,间,jiān,量、（名）,2,2,0,2,0,0,1,0,True,True,False,0,,hsk2_sent_aug_dense_0023|hsk2_sent_aug_dense_0051,hsk2_sent_aug_dense_0023|hsk2_sent_aug_dense_0051
hsk26-v00367,教,教,jiāo,动,2,2,1,1,0,0,1,0,True,True,False,0,,hsk2_sent_aug_dense_0016|sent_e4dca811d15342aea9afb71111f274c9,hsk2_sent_aug_dense_0016|scard_71e8765f15794c32afc0ea43fd47870b
hsk26-v00368,教室,教室,jiàoshì,名,4,4,2,2,0,0,0,1,True,True,True,0,,hsk2_sent_aug_dense_0020|hsk2_sent_aug_dense_0051|sent_0b3c9de1430647dc923a8d5881d04fb2|sent_8f4b753e96764c14b17b50fd8ec36408,hsk2_sent_aug_dense_0020|hsk2_sent_aug_dense_0051|scard_56b901c2cb2d44c7b3b95a25ab44db04|scard_a08704c9e48742839bdbbac42ee04dfd
hsk26-v00369,介绍,介绍,jièshào,动,2,2,0,2,0,0,1,0,True,True,False,0,,hsk2_sent_aug_dense_0074|hsk2_sent_aug_seed_103,hsk2_sent_aug_dense_0074|hsk2_sent_aug_seed_103
hsk26-v00370,进,进,jìn,动,2,2,1,1,0,0,1,0,True,True,False,0,,hsk2_sent_aug_dense_0051|sent_ec55feccbda04e82be04d9f942068c11,hsk2_sent_aug_dense_0051|scard_047f771e417a445990d1004bca59bc9f
hsk26-v00371,近,近,jìn,形,2,2,0,2,0,0,1,0,True,True,False,0,,hsk2_sent_aug_seed_073|hsk2_sent_zh_en_014,hsk2_sent_aug_seed_073|hsk2_sent_zh_en_014
hsk26-v00372,进来,进来,jìnlái,动,2,2,0,2,0,0,1,0,True,True,False,0,,hsk2_sent_aug_dense_0068|hsk2_sent_en_zh_007,hsk2_sent_aug_dense_0068|hsk2_sent_en_zh_007
hsk26-v00373,进去,进去,jìnqù,动,2,2,0,2,0,0,1,0,True,True,False,0,,hsk2_sent_aug_dense_0052|hsk2_sent_aug_seed_105,hsk2_sent_aug_dense_0052|hsk2_sent_aug_seed_105
hsk26-v00374,经常,经常,jīngcháng,副,2,2,1,1,0,0,1,0,True,True,False,0,,hsk2_sent_zh_en_024|sent_49e2e3ba3ebd4014b4b8ee7e06c18bc5,hsk2_sent_zh_en_024|scard_73d3ece9a48d42c8b6dae3ba8d003f8d
hsk26-v00375,酒店,酒店,jiǔdiàn,名,2,2,1,1,0,0,1,0,True,True,False,0,,hsk2_sent_zh_en_014|sent_1e31c2b5309a43a59acbfe1262ffc28c,hsk2_sent_zh_en_014|scard_811b3d0d460b4710a59a7fe1eb1d7e6e
hsk26-v00376,就,就,jiù,副、（介）,6,6,4,2,0,0,0,3,True,True,True,0,,hsk2_sent_aug_dense_0004|hsk2_sent_aug_dense_0052|sent_13bc7b05e84849778d2bee472f56b164|sent_1f35c6cbd2fc464d8f978658be77536f|sent_6108a2b4d2594e08b9ff3475b02b8dfa|sent_c3fc772654d74543922885be49d0c084,hsk2_sent_aug_dense_0004|hsk2_sent_aug_dense_0052|scard_0f791cf6c0c5489488549ce7e385c73c|scard_574f566b7d0a4ad28fcf1e2cedc2ea8e|scard_d087c5abf98f4cb6aa16d49420d5380b|scard_dbb3232e0b6446089be78751c64f50f8
hsk26-v00377,咖啡,咖啡,kāfēi,名,2,2,1,1,0,0,1,0,True,True,False,0,,hsk2_sent_aug_seed_093|sent_d035aad2e2ee4b62a53d6f1915b9e276,hsk2_sent_aug_seed_093|scard_031d3a1ba8e34443a3223df9e037e525
hsk26-v00378,开始,开始,kāishǐ,动、名,2,2,0,2,0,0,1,0,True,True,False,0,,hsk2_sent_aug_dense_0052|hsk2_sent_aug_seed_108,hsk2_sent_aug_dense_0052|hsk2_sent_aug_seed_108
hsk26-v00379,开学,开学,kāixué,动,2,2,0,2,0,0,1,0,True,True,False,0,,hsk2_sent_aug_dense_0053|hsk2_sent_aug_seed_084,hsk2_sent_aug_dense_0053|hsk2_sent_aug_seed_084
hsk26-v00380,考,考,kǎo,动,2,2,0,2,0,0,1,0,True,True,False,0,,hsk2_sent_zh_en_036|hsk2_sent_zh_qa_020,hsk2_sent_zh_en_036|hsk2_sent_zh_qa_020
hsk26-v00381,考试,考试,kǎoshì,动、名,7,7,2,5,0,0,0,4,True,True,True,0,,hsk2_sent_aug_dense_0052|hsk2_sent_aug_seed_108|hsk2_sent_en_zh_055|hsk2_sent_zh_en_036|hsk2_sent_zh_qa_020|sent_d79c3684731a4688ab4e2538a1c78fb5|sent_f570aa91f1954d3db142f98b68a845a4,hsk2_sent_aug_dense_0052|hsk2_sent_aug_seed_108|hsk2_sent_en_zh_055|hsk2_sent_zh_en_036|hsk2_sent_zh_qa_020|scard_18f3722210504b829a30f803e0b1a7c8|scard_8d5ad085f8a6433ba35cbdc16061018a
hsk26-v00382,可能,可能,kěnéng,形、名、动,3,3,1,2,0,0,0,0,True,True,True,0,,hsk2_sent_zh_en_033|hsk2_sent_zh_en_050|sent_333a743221584caaafee15ee2f8b4af4,hsk2_sent_zh_en_033|hsk2_sent_zh_en_050|scard_3e8dbf0c7d704885aac985d0dfd598f2
hsk26-v00383,裤子,裤子,kùzi,名,3,3,0,3,0,0,0,0,True,True,True,0,,hsk2_sent_en_zh_021|hsk2_sent_zh_en_008|hsk2_sent_zh_en_062,hsk2_sent_en_zh_021|hsk2_sent_zh_en_008|hsk2_sent_zh_en_062
hsk26-v00384,快,快,kuài,形、副,8,8,6,2,0,0,0,5,True,True,True,0,,hsk2_sent_aug_dense_0066|hsk2_sent_zh_en_010|sent_0c136c6500834b12af47dc8407f23073|sent_5f0ef5905b574c37b9cd3aa6e3849b7d|sent_9cfc9d65e3c440f0bf24c404689d40c6|sent_9d088786bb6e42f9bd8e1a26b4668ec0|sent_c30bae84af224916bd84e368f0a20575|sent_ec55feccbda04e82be04d9f942068c11,hsk2_sent_aug_dense_0066|hsk2_sent_zh_en_010|scard_047f771e417a445990d1004bca59bc9f|scard_0d4f80b8501f43989f9e6f926ca0d2d3|scard_b1043f0c15d44c8bab18e3d677975e3c|scard_d68c674d3d23406598d7590aef81a5ed|scard_d84c7cbaa59c4526b6ac5ee852cded60|scard_ec0c24f381a94300bd2ea3bbec826522
hsk26-v00385,快乐,快乐,kuàilè,形,2,2,0,2,0,0,1,0,True,True,False,0,,hsk2_sent_aug_dense_0016|hsk2_sent_aug_dense_0077,hsk2_sent_aug_dense_0016|hsk2_sent_aug_dense_0077
hsk26-v00386,快要,快要,kuàiyào,副,3,3,1,2,0,0,0,0,True,True,True,0,,hsk2_sent_aug_dense_0053|hsk2_sent_aug_seed_084|sent_f570aa91f1954d3db142f98b68a845a4,hsk2_sent_aug_dense_0053|hsk2_sent_aug_seed_084|scard_8d5ad085f8a6433ba35cbdc16061018a
hsk26-v00387,篮球,篮球,lánqiú,名,2,2,0,2,0,0,1,0,True,True,False,0,,hsk2_sent_aug_seed_142|hsk2_sent_zh_en_024,hsk2_sent_aug_seed_142|hsk2_sent_zh_en_024
